V1 V2 V3 V4
GAPDH 0 0 0 0
GATA3 0 0 0 0
GCN5L2 0 0 0 0
GPBB 0 0 0 0
GSK-3ab 0 0 0 0
GSK-3ab_pS21_S9 0 0 0 0
GSK-3b_pS9 0 0 0 0
Gys 0 0 0 0
Gys_pS641 0 0 0 0
HER2 0 0 0 0
HER2_pY1248 0 0 0 0
HER3 0 0 0 0
HER3_pY1289 0 0 0 0
Heregulin 0 0 0 0
HIAP 0 0 0 0
Histone-H3 0 -1 0 -1
IGF1R-beta 0 0 0 0
IGFBP2 0 0 0 0
INPP4b 0 1 1 1
IRS1 0 0 0 0
JAB1 0 0 1 1
JNK_pT183_Y185 0 0 0 0
JNK2 0 0 0 0
Lck 0 0 0 -1
MAPK_pT202_Y204 0 0 0 0
Mcl-1 0 1 1 1
MDM2_pS166 0 0 0 0
MEK1 0 0 0 0
MEK1_pS217_S221 0 0 0 1
MEK2 0 0 0 0
Merlin 0 0 0 0
MIG6 0 0 0 0
MSH2 0 0 0 1
MSH6 0 0 0 0
mTOR 0 1 0 0
mTOR_pS2448 0 1 1 1
Myosin-11 0 0 0 -1
Myosin-IIa_pS1943 0 0 0 0
N-Cadherin 0 0 0 0
N-Ras 0 0 0 0
NAPSIN-A 0 0 0 0
NDRG1_pT346 0 0 0 0
NF-kB-p65_pS536 0 -1 0 0
Notch1 0 0 0 0
p16INK4a 0 0 0 0
p21 0 0 0 0
p27-Kip-1 0 0 0 0
p27_pT157 0 0 0 0
p27_pT198 0 0 0 0
p38-alpha 0 0 0 0
p38 0 0 0 0
p38_pT180_Y182 0 0 0 0
p53 0 1 0 0
p70-S6K_pT389 0 1 1 0
p70-S6K1 0 0 0 1
PAI-1 0 0 0 0
PARP-cleaved 0 0 0 0
PARP1 0 0 0 0
Paxillin 0 0 0 0
PCNA 0 0 0 0
Pdcd-1L1 0 0 0 0
Pdcd4 0 0 0 0
PDGFR-beta 0 0 0 0
PDK1 0 0 0 0
PDK1_pS241 0 0 0 1
PEA-15 0 0 0 0
PEA-15_pS116 0 1 0 0
PI3K-p110-alpha 0 0 0 0
PI3K-p85 0 0 0 0
PKC-alpha 0 0 0 0
PKC-alpha_pS657 0 0 0 0
PKC-beta-II_pS660 0 0 0 0
PKC-delta_pS664 0 0 0 1
PMS2 0 0 1 0
Porin 0 0 0 0
PR 0 0 0 0
PRAS40_pT246 0 0 0 0
PREX1 0 0 0 0
PTEN 0 0 0 0
Rab11 0 0 0 0
Rab25 0 0 0 0
Rad50 0 0 0 0
Rad51 0 0 0 0
Raptor 0 0 0 0
Rb 0 0 0 1
Rb_pS807_S811 0 0 0 0
RBM15 0 0 0 0
Rictor 0 0 0 0
Rictor_pT1135 0 0 0 0
RSK 0 0 0 0
S6_pS235_S236 0 0 0 0
S6_pS240_S244 0 0 0 0
SCD 0 1 0 1
SETD2-R-QC 0 0 0 0
SF2 0 0 0 0
Shc_pY317 0 0 0 1
Smac 0 0 0 0
Smad1 0 0 0 0
Smad3 0 0 0 0
Smad4 0 0 0 0
Snail 0 0 0 0
Src 0 -1 0 -1
Src_pY416 0 0 0 1
Src_pY527 0 0 0 0
Stat3_pY705 0 0 0 0
Stat5a 0 0 0 0
Stathmin-1 0 0 0 0
Syk 0 0 0 0
TAZ 0 0 0 0
TFRC 0 0 0 -1
TIGAR 0 0 0 0
Transglutaminase 0 0 0 0
TSC1 0 0 0 0
TTF1 0 0 0 0
Tuberin 0 0 0 0
Tuberin_pT1462 0 0 0 0
TWIST 0 0 0 0
Tyro3 0 0 0 -1
UBAC1 0 0 0 0
UGT1A 0 0 0 0
UQCRC2 0 0 0 0
VEGFR-2 0 0 0 0
XRCC1 0 0 0 0
YAP 0 0 0 -1
YAP_pS127 0 0 0 0
YB1 0 0 0 0
YB1_pS102 0 0 0 0
