V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20
beta.Catenin.R.V_GBL9026194	-0.211	0.027	-0.162	0.349	0.655	0.783	0.209	0.057	0.442	0.592	-0.245	-0.151	-0.225	0.2	-0.836	-0.032	0.122	-0.018	0.199	0.672
Bid.R.C_GBL9026340	-0.1015	0.122	-0.188	0.9035	-0.59	-0.54	0.003	0.537	1.3545	1.118	0.2615	-0.263	0.9405	0.2205	-1.11	0.0625000000000001	0.8025	1.378	0.5805	-0.927
Bim.R.V_GBL9026351	0.4205	0.557	-0.6555	0.33	-0.3575	-0.519	-0.653	0.0525000000000001	-0.0125	0.673	-0.5655	-1.1285	0.5135	-0.8525	-1.0785	0.6315	0.0854999999999999	0.2965	-0.2305	-0.516
c.Jun_pS73.R.C_GBL9026231	0.776	0.268	-0.359	0.561	-0.437	0.559	-0.537	-0.394	0.026	0.584	-0.205	-0.341	0.274	0.156	0.934	0.021	-0.554	0.736	0.626	-0.284
c.Kit.R.V_GBL9026344	-0.181	0.244	-0.718	-0.467	-0.076	-0.129	0.276	-0.38	0.594	-0.236	-0.336	-0.801	-0.067	0.983	0.102	0.054	0.334	0.249	-0.437	0.291
c.Met.M.C_GBL9026314	-0.515	0.7085	-0.3005	-0.694	0.0275	0.592	0.7805	0.226	0.0424999999999999	0.3205	0.908	-0.5465	-0.0355	-0.3545	1.1755	-0.515	-0.4905	-0.137	-1.336	0.5045
c.Met_pY1235.R.C_GBL9026236	0.152	-1.0175	-0.171	-0.8	-0.247	0.4415	-1.0715	0.908	-0.0265000000000001	0.8685	-0.75	-0.886	-0.4605	0.758	0.265	-0.7255	0.3585	-0.7965	0.3525	-0.828
c.Myc.R.C_GBL9026241	-0.293	1.0155	1.6275	-1.007	-0.9475	-0.2585	2.5455	-1.1795	0.884	1.1655	2.196	1.1945	-0.0919999999999999	-0.0479999999999999	0.296	1.3805	0.923	2.07	-0.558	1.7485
C.Raf.R.V_GBL9026278	0.993	-1.302	-0.697	0.961	0.358	0.654	0.079	0.297	-0.683	0.3	-0.302	-0.517	-0.319	0.329	-0.327	-1.753	-0.047	-0.877	0.75	0.486
C.Raf_pS338.R.C_GBL9026279	-0.374	-0.323	-0.6055	0.9175	-0.188	-1.177	-0.424	-0.9765	0.1845	-0.3635	-0.984	-0.264	-0.9	-0.5195	1.067	-0.972	-0.6855	0.9455	0.502	1.179
Caspase.3_active.R.C_GBL9026352	0.602	-0.256	0.472	1.17	0.465	-0.012	0.567	-0.019	0.00200000000000003	-0.876	0.718	0.279	0.042	0.164	0.141	-0.433	-0.886	-0.042	0.067	0.407
Caspase.7_cleavedD198.R.C_GBL9026353	0.6875	-0.8335	0.1205	-0.4875	1.1795	-0.053	-1.0755	0.53	-0.884	0.9765	-0.4155	0.0235	-0.923	-0.018	-0.3755	-0.3815	0.785	-0.374	0.3875	0.0395
Caspase.9_cleavedD330.R.C_GBL9026193	-0.498	-0.371	-0.17	0.206	-0.863	-0.123	0.551	-0.667	0.452	-0.045	0.807	-0.012	-0.353	-0.859	-0.354	-0.595	-0.406	0.135	0.74	-0.198
Caveolin.1.R.V_GBL9026195	-0.0794999999999999	-1.336	-0.615	-0.2755	0.269	-0.274	-0.17	-1.549	0.3825	0.682	-0.1465	1.088	-0.3545	-0.2005	-0.451	-0.2045	-0.4245	-0.07	-0.3615	1.008
CD31.M.V_GBL9026349	-0.865	0.073	-1.078	0.498	0.822	0.013	1.474	-0.127	-0.199	0.232	-0.697	0.479	0.144	0.379	-1.248	-0.576	-0.169	0.17	-0.124	0.16
CDK1.R.V_GBL9026196	-0.154	0.249	0.104	0.43	-0.00699999999999997	-0.03	0.44	-0.464	0.693	0.609	-0.265	-1.183	-0.058	-0.089	-0.158	-0.553	-0.058	0.345	0.341	-0.176
Chk1.R.C_GBL9026197	-1.284	-0.074	-0.686	0.508	-1.05	0.295	0.653	0.065	0.02	-0.04	0.438	-0.327	-0.02	-0.31	0.078	-0.942	0.486	0.141	0.00899999999999997	-0.771
Chk1_pS345.R.C_GBL9026198	0.802	0.42	0.665	0.135	-0.293	-0.938	0.589	0.585	0.502	-0.128	-0.377	-0.794	-0.444	-0.317	-0.093	-0.09	1.427	0.341	-0.384	-0.708
Chk2.M.C_GBL9026306	0.103	-0.875	0.932	0.497	0.233	0.297	-0.21	0.956	-0.38	0.195	-0.059	-0.234	-0.135	-0.985	0.972	-0.167	-0.347	-0.111	-0.947	-0.967
Chk2_pT68.R.C_GBL9026199	0.82	-0.206	0.245	-0.548	-0.236	0.473	-0.842	0.078	0.697	-0.147	-0.465	-0.44	0.208	-0.81	-0.687	-0.307	0.396	0.439	-0.326	0.561
cIAP.R.V_GBL9026200	-1	0.175	-0.126	-0.524	-0.373	-0.964	-0.786	-0.275	-0.171	0.183	-0.527	0.267	0.156	0.647	0.404	1.051	0.165	-1.019	-0.555	0.172
Claudin.7.R.V_GBL9026201	0.228	-0.508	0.168	0.668	-0.527	0.174	-0.054	0.31	1.149	-0.906	-0.086	0.135	-0.349	0.036	-0.472	0.573	-0.421	0.15	-0.391	-0.544
Collagen_VI.R.V_GBL9026202	-0.492	0.159	-0.378	-0.094	-0.695	0.069	0.401	-0.019	1.203	0.072	-0.171	0.748	-0.251	-0.324	0.38	0.377	0.254	-0.061	0.713	0.547
COX.2.R.C_GBL9026203	0.211	0.359	-0.36	0.0615	-0.221	-0.058	0.5665	0.0795	-2.094	0.2315	-0.2765	0.7375	0.2485	-1.6865	0.46	0.13	0.5565	0.085	0.015	-0.6685
Cyclin_B1.R.V_GBL9026204	-1.173	-0.522	1.1265	-0.567	-0.1625	-0.3225	-0.446	0.0355	-0.553	-0.856	-0.6645	0.133	-0.3805	0.037	1.04	0.257	0.0784999999999999	-0.332	0.141	0.7205
Cyclin_D1.R.V_GBL9026205	0.1665	0.4945	0.4215	-0.524	-0.853	0.401	-0.703	0.083	0.2405	0.777	0.9225	0.9785	-0.6455	0.832	-1.407	1.029	-0.2035	-1.4885	-1.869	1.59
Cyclin_E1.M.V_GBL9026308	-0.098	-0.061	0.454	-0.378	0.149	0.146	-0.22	-1.172	-0.457	0.121	-0.108	0.665	0.736	-0.203	-0.294	0.143	-0.92	-1.002	0.699	-0.279
DJ.1.R.C_GBL9026206	-0.482	-0.073	-0.081	0.06	-0.425	-0.646	0.289	0.326	-0.559	-0.646	1.084	-0.521	-0.024	0.416	0.641	-0.53	0.14	-0.438	-0.401	0.175
Dvl3.R.V_GBL9026207	0.271	0.499	-0.259	-0.794	-0.181	-0.594	1.093	0.184	-0.229	0.111	-0.21	-0.434	-0.534	0.216	-0.534	-0.396	0.077	1.529	-0.181	-0.247
E.Cadherin.R.V_GBL9026188	0.8635	0.2265	0.261	1.2545	-0.8555	-0.6555	-0.1595	-1.2825	-0.734	-1.112	0.6235	-0.3895	0.4005	-0.798	-0.21	0.814	0.159	0.072	1.0855	-0.853
eEF2.R.V_GBL9026208	0.369	-0.411	0.152	0.211	-0.333	0.094	0.468	0.223	1.38777878078145e-17	-0.322	-0.498	0.093	-0.73	-0.046	-0.045	0.386	-0.497	-0.6	1.18	-0.259
eEF2K.R.V_GBL9026209	-0.722	0.02	-0.896	-0.14	0.407	-0.148	-0.032	-1.001	-0.444	-0.114	-0.748	0.291	-0.892	0.023	0.084	0.867	0.417	-0.889	-0.388	1.614
EGFR.R.C_GBL9026210	0.1835	-0.723	-0.35	-0.2795	0.341	0.244	-0.788	-0.007	0.4325	0.385	-0.9125	-0.69	1.0365	0.2155	-0.841	0.3595	-0.0405	0.477	-0.1835	-0.158
EGFR.CST2232..R.C_GBL9026334	-0.1495	0.48	0.047	0.1775	0.532	0.53	0.57	-0.019	0.7935	0.428	0.1525	-0.208	0.1605	-0.2155	-0.575	0.4065	-0.6355	0.35	0.2215	-0.016
EGFR_pY1068.R.V_GBL9026211	0.225	-0.542	-1.113	-0.336	0.56	0.105	-0.045	0.366	0.044	-4.33680868994202e-18	0.029	0.396	0.237	0.652	-0.097	-0.109	-0.872	-0.111	0.726	0.469
EGFR_pY1173.R.C_GBL9026212	-0.372	0.709	-0.017	0.158	0.392	0.056	-0.108	-1.369	0.035	0.076	0.685	-0.413	-1.51	0.393	-0.788	-0.733	0.434	-0.986	0.705	0.038
EGFR_pY992.R.V_GBL9026213	0.092	-0.065	-0.627	-0.021	-0.167	-0.54	-0.797	0.7	0.032	0.541	0.411	-0.986	0.346	-0.014	-0.264	-1.261	-0.666	0.097	-0.623	0.418
eIF4E.R.V_GBL9026214	0.722	1.761	-0.475	-0.4255	0.643	0.0855	0.755	-0.181	0.961	0.281	-0.1355	-0.1905	0.0885	0.17	0.4135	0.595	0.4065	-0.2265	-0.67	0.8255
ER.alpha.R.V_GBL9026215	0.078	-0.067	0.902	0.765	-0.557	1.103	0.298	-0.39	-0.315	-0.146	0.104	0.086	-0.509	-0.265	0.038	0.636	0.16	0.244	0.139	-0.172
ER.alpha_pS118.R.V_GBL9026217	-0.954	-0.562	-0.686	0.101	-0.339	0.377	0.461	-0.022	-0.766	-0.257	-0.198	0.621	-0.307	0.735	0.029	-0.117	-0.674	-0.252	0.636	-0.176
ERCC1.M.C_GBL9026309	0.294	-0.537	0.735	-0.082	0.894	-0.915	0.099	-0.643	-0.449	0.128	0.037	-0.569	0.077	-0.889	-0.203	-0.327	-0.97	0.202	-0.962	0.751
FAK.R.C_GBL9026218	-0.865	0.261	-0.576	0.198	-0.347	0.254	-0.697	0.301	0.286	-0.833	-0.105	0.185	-0.238	-0.465	0.939	0.066	0.273	0.331	-0.899	0.876
Fibronectin.R.C_GBL9026216	-0.217	-0.182	-0.645	0.639	0.796	-0.096	-0.222	-0.39	-0.067	1.057	0.438	-0.424	0.169	-0.294	0.274	0.352	-1.052	-0.29	-0.062	-0.108
FOXO3a.R.C_GBL9026219	-0.283	-0.722	1.299	-0.32	-0.281	0.498	-1.038	0.161	-0.107	0.642	0.401	-0.783	0.535	-0.483	0.101	0.357	0.0129999999999999	-0.0630000000000001	0.055	-0.466
FOXO3a_pS318_S321.R.C_GBL9026220	1.193	0.34	-0.886	-0.695	-0.454	0.085	-0.545	-0.118	-0.137	-0.248	0.065	0.669	-1.056	-0.294	0.613	0.474	-0.399	0.219	-0.054	0.275
GATA3.M.V_GBL9026310	-0.0110000000000001	0.554	-0.115	0.5915	0.221	0.3225	-0.7695	-0.682	0.2495	-0.573	-0.9515	-0.0854999999999999	-0.441	0.2205	0.5965	0.8225	-0.38	0.0224999999999999	-1.4625	0.2645
GSK3.alpha.beta.M.V_GBL9026312	-1.169	-0.045	0.062	-0.828	-0.066	0.599	-0.032	0.254	-0.443	0.254	-0.441	0.056	0.023	-0.271	0.085	-0.429	-0.05	-0.103	-0.056	-0.057
GSK3.alpha.beta_pS21_S9.R.V_GBL9026222	-0.9475	0.818	-0.501	0.033	0.144	0.9805	-0.142	-0.511	-0.696	-1.32	-0.9005	-0.619	0.9095	0.529	-0.4815	-1.3375	1.3155	-0.684	0.4105	-0.2155
GSK3_pS9.R.V_GBL9026221	0.25	0.123	0.00899999999999999	0.099	-0.496	-0.699	-0.118	0.137	-0.416	-0.034	-0.107	-0.414	-0.206	-1.186	-0.11	0.605	0.087	-0.595	-0.246	0.223
HER2.M.V_GBL9026313	-0.216	0.127	-0.344	0.5345	0.234	-1.3775	-0.799	0.908	0.329	0.266	0.1095	-1.0545	0.0604999999999999	0.294	-0.2745	-0.101	-0.4455	0.2535	0.068	-0.2125
HER2_pY1248.R.V_GBL9026223	0.456	-0.429	0.228	0.1765	-0.055	0.0975	0.186	0.493	-1.022	0.52	-0.2405	1.0185	0.0555	0.539	-0.1685	0.411	0.3775	-0.6435	0.589	-0.4385
HER3.R.V_GBL9026224	-0.056	0.651	1.108	-0.551	-0.18	-1.662	-0.00299999999999997	0.856	1.706	-0.384	0.248	0.962	0.939	-0.41	0.135	-1.676	-0.234	-0.765	0.156	0.646
HER3_pY1298.R.C_GBL9026225	0.233	-0.617	-0.002	0.469	-0.049	0.289	0.755	-0.118	0.044	-0.176	0.392	0.191	-0.177	0.159	0.248	-0.49	0.564	-0.047	0.238	1.679
IGF.1R.beta.R.C_GBL9026226	-0.218	-0.149	0.525	-0.142	-0.503	-0.231	-0.788	-0.568	-0.236	-0.057	-1.268	-0.106	-0.241	0.878	-0.62	-0.679	-0.218	-0.534	1.101	-1.035
IGFBP2.R.V_GBL9026227	0.98	-0.075	0.443	-0.027	0.383	0.349	-1.251	-0.231	-0.906	-1.047	0.255	-1.023	-0.892	0.047	0.762	0.246	0.462	-0.00500000000000002	0.121	0.404
INPP4B.G.C_GBL9026331	0.511	-0.956	0.073	-0.107	0.732	0.686	0.268	-0.551	-0.156	-0.533	0.425	0.336	-0.903	0.112	0.772	0.299	0.084	-0.061	0.89	-0.182
IRS1.R.V_GBL9026228	-0.262	-0.112	-0.202	0.672	-0.334	-0.088	-0.581	-0.456	-0.696	-0.418	-0.908	0.676	0.268	0.307	0.379	0.266	0.626	0.12	0.094	-0.435
JNK_pT183_pT185.R.V_GBL9026343	-0.067	-0.923	1.118	0.00800000000000003	-0.167	0.051	0.46	-0.015	-1.07	-0.744	-0.013	0.159	0.101	-0.101	0.136	0.485	-0.293	0.238	-0.503	0.625
JNK2.R.C_GBL9026230	-0.313	0.589	-0.271	0.698	0.113	0.271	0.0979999999999999	-0.515	0.00200000000000002	0.491	-0.189	-0.239	-0.289	0.601	-0.831	-0.155	0.049	0.328	0.52	-0.493
K.Ras.M.C_GBL9026322	0.512	-0.00999999999999999	0.585	-0.991	0.31	-0.214	0.394	0.171	-0.733	-0.055	1.734	0.042	0.892	0.047	-0.696	-0.036	0.679	0.037	-0.554	-0.362
MAPK_pT202_Y204.R.V_GBL9026233	0.254	0.029	-0.362	0.0910000000000001	0.858	-1.306	0.214	0.693	-0.282	-0.482	0.091	-0.242	0.101	-0.013	-0.633	-1.244	0.21	0.688	-0.174	-0.235
MEK1.R.V_GBL9026234	-0.136	-0.164	-0.00500000000000003	-0.36	-0.00999999999999999	0.393	-0.136	0.923	0.243	-0.658	0.583	0.15	-0.542	0.057	-0.613	-0.079	-0.222	0.098	-0.891	0.277
MEK1_pS217_S221.R.V_GBL9026345	0.19	-0.6075	0.448	-1.0755	-0.0930000000000001	-0.249	-0.218	-0.6515	0.151	0.351	0.1795	-0.479	0.7215	-0.2695	-0.0785	0.931	-0.076	-0.664	-0.183	0.4975
MIG.6.M.V_GBL9026315	-0.165	1.116	-0.56	0.245	-0.448	-0.731	0.1	0.792	-0.287	-0.352	0.424	-0.359	0.459	0.442	-0.273	-0.167	-0.417	-0.102	-0.453	-0.152
Mre11.R.C_GBL9026237	0.185	0.138	0.43	0.256	-0.397	-0.369	-0.11	-0.073	0.322	-0.686	-0.138	0.117	0.397	-0.218	0.203	0.374	-0.212	-0.582	-0.376	-0.354
MSH2.M.C_GBL9026316	-0.2735	-0.085	-0.622	-0.2305	-0.358	-0.041	-0.199	0.483	0.7165	1.879	-1.4665	-0.302	-0.5385	-0.4185	-0.34	0.7795	0.0885000000000001	0.878	-0.3385	0.237
MSH6.R.C_GBL9026238	0.343	-0.419	1.091	-0.087	0.291	0.185	0.557	-0.454	0.547	0.858	-0.774	0.3	-1.062	-1.84	0.18	1.064	0.548	-0.577	0.173	0.624
mTOR.R.V_GBL9026239	-0.736	0.669	0.045	0.238	-0.307	1.079	-0.334	0.309	0.133	0.138	-0.035	0.166	0.969	-0.698	0.536	0.169	-0.103	0.548	0.243	-1.694
mTOR_.pS2448.R.C_GBL9026240	-0.152	0.692	0.591	0.703	-0.471	0.528	-0.031	-0.418	-0.314	0.181	-0.911	0.47	-0.717	-0.233	0.185	-0.271	-0.794	0.353	-0.249	0.228
N.Cadherin.R.V_GBL9026341	-0.175	-0.315	0.643	-0.282	0.066	-1.051	-0.2	0.557	-0.334	-0.39	0.017	1.003	-0.033	0.437	-0.416	-0.351	0.726	-0.156	0.051	0.565
NF.kB.p65_pS536.R.C_GBL9026242	-0.406	-0.548	-0.583	0.042	0.54	-0.155	-0.433	-0.267	-0.815	0.535	1.872	-0.00900000000000001	0.224	-0.093	-0.686	-0.855	0.889	0.581	0.157	0.136
NF2.R.C_GBL9026243	0.33	-0.694	0.446	0.795	-0.135	-0.13	0.08	1.218	0.156	0.302	-0.486	0.182	-0.349	0.033	0.691	-0.239	-0.236	0.531	0.154	-0.915
Notch1.R.V_GBL9026244	-0.265	0.444	0.149	-0.6735	-0.113	-0.3815	-0.619	-0.747	0.194	0.616	0.1425	-0.1935	0.1505	-0.032	0.0455	0.165	0.8405	-0.1745	-0.918	0.4965
Notch3.R.C_GBL9026246	0.49	-0.011	-0.417	-0.432	0.107	-0.18	-1.008	-0.543	-0.072	0.415	-0.011	0.499	-1.229	0.241	1.341	0.29	-0.189	-0.000999999999999959	0.245	-0.108
P.Cadherin.R.C_GBL9026342	-0.277	-1.036	0.223	0.26	0.219	-0.398	-0.85	-1.109	0.139	-0.167	-0.619	0.0389999999999999	-0.145	-0.06	0.294	1.179	0.315	0.943	-1.396	-0.417
p21.R.C_GBL9026247	0.116	-0.3605	-0.00150000000000009	-1.1015	0.689	0.017	-0.687	-0.464	0.2345	0.1925	-0.718	-2.1415	-0.9575	0.729	-2.1715	0.6925	0.8425	0.4695	-0.7395	0.143
p27.R.V_GBL9026248	-0.738	-0.0845	-0.0565000000000001	0.487	0.858	0.613	-0.6995	0.0869999999999999	-0.2405	0.654	-0.4165	-0.2815	-0.1975	0.2545	-0.5	-1.6815	-0.059	-0.095	1.105	-1.5255
p27_pT157.R.C_GBL9026249	0.511	-0.137	-0.3095	0.611	-0.7195	0.278	-0.4195	-0.308	-0.817	-0.292	0.00899999999999997	0.579	1.0325	0.578	0.4385	0.8785	1.8365	-0.1785	0.173	0.5755
p27_pT198.R.V_GBL9026250	-0.562	1.249	0.5175	0.501	-0.00450000000000005	1.122	0.1835	-0.0580000000000001	0.115	0.477	-0.155	-0.288	1.0965	1.075	0.8985	-0.6735	0.0405	0.4845	-0.194	0.2185
p38_MAPK.R.C_GBL9026251	-0.172	-0.056	0.158	0.051	-0.106	0.448	0.063	-0.321	-1.518	-0.389	-0.315	1.047	-0.431	-1.935	-0.528	0.314	-0.459	0.648	-0.00400000000000001	-0.645
p38_pT180_Y182.R.V_GBL9026252	-0.0500000000000001	1.181	0.965	-0.828	0.408	0.236	-0.39	-0.812	-0.454	0.078	-0.507	-0.892	-0.325	-1.04	-0.441	0.256	-0.408	0.347	0.125	0.869
p53.R.V_GBL9026346	-0.232	-0.014	0.053	-0.3695	0.159	0.7615	0.526	-0.289	0.622	1.216	0.4385	0.3775	0.7455	0.44	-1.2435	0.647	0.5195	1.1165	-0.328	0.3655
p70S6K.R.V_GBL9026254	-0.379	-1.433	-0.0689999999999999	0.099	0.396	-0.538	-0.538	0.547	-1.078	0.191	-0.183	0.894	0.353	-0.639	0.224	-0.374	-0.716	0.405	0.138	-0.222
p70S6K_pT389.R.V_GBL9026255	0.555	0.439	-0.179	-0.164	1.067	0.894	0.776	-0.254	-1.226	-0.239	0.095	-0.541	0.074	-0.826	-0.186	0.101	0.895	0.641	0.482	-0.00300000000000002
p90RSK_pT359_S363.R.C_GBL9026256	0.44	-0.785	0.103	-1.025	0.624	-0.193	0.565	0.088	0.238	-0.845	0.183	0.789	1.164	-0.204	-0.964	-0.239	0.91	-0.304	-0.354	1.302
PARP_cleaved.M.C_GBL9026317	-0.021	0.47	-0.808	-0.334	-0.158	-0.241	0.528	0.36	0.254	-0.508	-0.096	0.041	-0.207	0.232	0.589	0.423	0.04	0.535	0.106	0.393
Paxillin.R.V_GBL9026257	-0.085	0.798	0.165	0.13	-1.315	-0.08	-0.71	0.294	-0.398	0.299	0.742	-0.297	-0.88	0.508	-0.608	-0.011	1.266	-0.214	0.123	0.022
PCNA.M.V_GBL9026318	0.0175	-0.373	0.131	-0.2785	0.313	0.935	0.052	-0.203	0.6245	0.567	0.3235	-0.024	0.8195	0.1735	-0.452	0.2175	0.2425	-0.116	-1.0535	-1.442
PDK1_pS241.R.V_GBL9026258	0.463	-0.243	0.759	0.632	0.346	-0.738	-0.434	0.045	-0.204	-0.193	-0.715	-0.853	-0.246	0.338	1.28	0.621	0.515	0.467	0.329	-0.91
PI3K.p110.alpha.R.C_GBL9026269	0.469	0.357	0.296	-0.669	-0.165	0.351	-0.49	-0.067	-0.195	-0.135	0.587	0.14	-0.56	1.309	0.048	0.315	-0.545	-0.179	0.587	0.574
PI3K.p85.R.V_GBL9026270	0.197	-0.629	0.499	-0.805	1.1645	1.0395	-0.793	-0.1625	0.682	0.626	0.6315	-1.041	-0.116	0.4045	-0.8265	0.3585	0.361	0.075	-1.1	0.841
PKC.alpha.M.V_GBL9026319	-0.714	-0.16	0.063	-0.471	0.697	-0.167	-0.305	0.849	0.256	0.052	0.576	-0.287	-0.33	-1.501	-0.796	0.00800000000000002	0.019	-0.81	0.51	-0.689
PKC.alpha_pS657.R.V_GBL9026271	0.026	0.186	-0.264	-0.941	-0.82	0.454	-0.027	-0.00500000000000002	-0.385	-0.386	1.071	-0.228	1.14	0.88	0.392	-0.323	0.458	-0.641	0.619	-0.221
PR.R.V_GBL9026272	-0.116	0.0494999999999999	0.166	-0.1475	-1.2445	0.0795	-0.421	-0.661	0.5605	-0.346	0.157	0.161	-1.1765	0.1745	-0.75	-0.148	-0.688	0.163	-0.3215	0.00499999999999999
PRAS40_pT246.R.V_GBL9026273	-0.377	-0.86	0.522	-0.666	0.943	0.728	-0.375	0.165	-0.494	-0.226	-0.373	0.511	0.79	-0.16	-0.091	0.184	-0.178	-0.053	0.233	0.532
PTCH.R.C_GBL9026274	0.791	0.021	-0.37	-0.479	-0.00199999999999997	-1.276	0.64	0.491	-0.732	0.52	0.051	0.195	0.725	0.646	0.546	-0.587	-0.601	-0.1	0.429	0.25
PTEN.R.V_GBL9026275	0.4535	0.032	-0.072	0.2915	0.066	0.185	0.113	0.833	0.5165	1.023	0.7785	0.382	0.3495	0.7325	-0.457	0.5375	-0.4545	0.945	-0.2345	0.351
Rab11.R.V_GBL9026276	0.4	-0.668	0.076	-0.925	-0.992	0.55	-0.056	0.208	-1.105	0.199	0.181	0.06	0.501	-0.601	-0.743	-0.581	-0.439	0.088	-0.378	0.364
Rab25.R.C_GBL9026277	-0.306	0.303	-0.984	-0.000999999999999993	-0.224	0.984	0.015	-1.001	0.049	-0.251	-0.072	0.645	-0.524	-0.496	0.159	-0.476	-0.502	0.665	-0.26	0.031
Rad50.M.C_GBL9026320	-0.838	0.643	-0.015	-1.074	-0.273	-0.294	0.118	-0.37	0.451	0.014	-0.019	-0.152	0.846	-0.178	-0.886	0.514	0.176	0.165	0.355	0.253
