V1 V2 V3 V4
c.Met_pY1234_Y1235.R.V_GBL1033735 0 0 0 0
c.Myc.R.C_GBL1033885 0 0 -1 0
C.Raf.R.V_GBL1033856 0 0 0 0
C.Raf_pS338.R.V_GBL1033691 0 0 0 0
Caspase.7.cleaved.R.C_GBL1033686 0 0 0 0
Caspase.8.M.QC_GBL1033903 0 0 0 0
Caveolin.1.R.V_GBL1033687 0 0 0 0
CD29.M.V_GBL1033911 0 0 0 0
CD31.M.V_GBL1033933 0 0 0 0
CD49b.M.V_GBL1033902 0 0 0 0
CDK1.R.V_GBL1033788 0 0 0 0
Chk1.M.C_GBL1033910 0 0 0 0
Chk1_pS345.R.C_GBL1033780 0 0 0 0
Chk2.M.V_GBL1033889 0 0 0 0
Chk2_pT68.R.C_GBL1033688 0 0 0 0
Claudin.7.R.V_GBL1033773 0 0 0 0
Collagen.VI.R.V_GBL1033877 0 0 0 0
Complex.II.Subunit.M.V_GBL1033934 0 0 0 0
Cox.IV.M.C_GBL1033935 0 0 0 0
Cox2.R.C_GBL1033859 0 0 0 0
Cyclin.B1.R.V_GBL1033693 0 0 0 0
Cyclin.D1.R.V_GBL1033878 0 0 0 -1
Cyclin.E1.M.V_GBL1033936 0 0 0 0
Cyclophilin.F.M.V_GBL1033937 0 0 0 0
DJ1.R.V_GBL1033777 0 0 0 0
Dvl3.R.V_GBL1033785 0 0 0 0
E.Cadherin.R.V_GBL1033835 0 0 0 0
E2F1.M.V_GBL1033938 0 0 0 0
eEF2.R.C_GBL1033822 0 0 0 0
eEF2K.R.V_GBL1033823 0 0 0 0
EGFR.R.V_GBL1033837 1 1 1 1
EGFR_pY1068.R.C_GBL1033694 0 0 0 0
EGFR_pY1173.R.V_GBL1033695 0 0 0 0
eIF4E.R.V_GBL1033734 0 0 0 0
eIF4G.R.C_GBL1033840 0 0 0 0
ER.alpha.R.V_GBL1033879 0 0 0 0
ER.alpha_pS118.R.V_GBL1033794 -1 0 -1 -1
ERCC1.M.V_GBL1033939 0 0 0 0
Ets.1.R.V_GBL1033886 0 0 0 0
FAK.R.E_GBL1033864 0 0 0 0
FAK_pY397.R.V_GBL1033863 0 0 0 0
FASN.R.V_GBL1033852 0 0 0 0
Fibronectin.R.V_GBL1033958 1 0 1 0
FoxM1.R.V_GBL1033839 -1 -1 -1 -1
FoxO3a.R.C_GBL1033838 0 0 0 0
FoxO3a_pS318_S321.R.C_GBL1033796 0 1 1 1
G6PD.M.V_GBL1033940 1 0 0 0
Gab2.R.V_GBL1033786 0 0 0 0
GAPDH.M.C_GBL1033890 0 0 0 0
GATA3.M.V_GBL1033951 0 0 0 0
GCN5L2.R.V_GBL1033871 0 0 0 0
GPBB.R.V_GBL1033868 0 0 0 0
GSK.3ab.M.V_GBL1033941 0 0 0 0
GSK.3ab_pS21_S9.R.V_GBL1033797 0 0 0 0
GSK.3b_pS9.R.V_GBL1033831 0 0 0 0
Gys.R.V_GBL1033818 0 0 0 0
Gys_pS641.R.V_GBL1033819 0 0 0 0
HER2.M.V_GBL1033942 1 0 0 0
HER2_pY1248.R.C_GBL1033827 0 0 0 0
HER3.R.V_GBL1033884 0 0 0 0
HER3_pY1289.R.C_GBL1033736 0 0 0 0
Heregulin.R.V_GBL1033776 0 0 0 0
HIAP.R.C_GBL1033783 0 0 0 0
Histone.H3.R.V_GBL1033869 0 0 0 0
IGF1R.beta.R.V_GBL1033860 0 0 0 0
IGFBP2.R.V_GBL1033922 0 0 0 0
INPP4b.R.V_GBL1033826 0 0 0 0
IRS1.R.V_GBL1033768 0 0 0 0
JAB1.M.C_GBL1033943 0 0 0 0
JNK_pT183_Y185.R.V_GBL1033775 0 0 0 0
JNK2.R.C_GBL1033799 0 0 0 0
Lck.R.V_GBL1033800 0 0 0 0
MAPK_pT202_Y204.R.V_GBL1033801 -1 -1 -1 -1
Mcl.1.R.V_GBL1033861 1 0 0 0
MDM2_pS166.R.V_GBL1033854 0 0 0 0
MEK1.R.V_GBL1033802 1 1 1 1
MEK1_pS217_S221.R.V_GBL1033828 0 0 0 0
MEK2.R.V_GBL1033866 0 0 0 0
Merlin.R.C_GBL1033821 0 0 0 0
MIG6.M.V_GBL1033905 0 0 0 0
MSH2.M.V_GBL1033900 0 -1 0 0
MSH6.R.C_GBL1033824 0 0 1 0
mTOR.R.V_GBL1033803 0 0 0 0
mTOR_pS2448.R.C_GBL1033804 0 0 0 0
Myosin.11.R.V_GBL1033848 0 0 0 0
Myosin.IIa_pS1943.R.V_GBL1033853 0 0 0 0
N.Cadherin.R.V_GBL1033805 0 0 0 0
N.Ras.M.V_GBL1033944 0 0 0 0
NAPSIN.A.R.C_GBL1033873 0 0 0 0
NDRG1_pT346.R.V_GBL1033842 0 0 0 0
NF.kB.p65_pS536.R.C_GBL1033806 0 0 0 0
Notch1.R.V_GBL1033825 0 0 0 0
p16INK4a.R.V_GBL1033865 0 0 0 0
p21.R.V_GBL1033880 0 1 1 1
p27.Kip.1.R.V_GBL1033778 0 0 0 0
p27_pT157.R.C_GBL1033772 0 0 0 0
p27_pT198.R.V_GBL1033774 0 0 0 0
p38.alpha.M.V_GBL1033908 0 0 0 0
p38.R.V_GBL1033807 1 1 0 1
p38_pT180_Y182.R.V_GBL1033808 0 0 0 0
p53.R.C_GBL1033956 0 0 1 0
p70.S6K_pT389.R.V_GBL1033811 0 0 0 0
p70.S6K1.R.V_GBL1033810 0 0 0 0
PAI.1.M.V_GBL1033891 0 0 0 0
PARP.cleaved.M.QC_GBL1033892 0 0 0 0
PARP1.R.V_GBL1033887 0 0 0 0
Paxillin.R.C_GBL1033812 0 0 0 0
PCNA.M.C_GBL1033893 0 0 0 0
Pdcd.1L1.G.C_GBL1033925 0 0 0 0
Pdcd4.R.C_GBL1033770 0 0 0 0
PDGFR.beta.R.V_GBL1033862 0 0 0 0
PDK1.R.V_GBL1033813 0 0 0 0
PDK1_pS241.R.V_GBL1033814 0 0 0 0
PEA.15.R.V_GBL1033789 0 0 0 0
PEA.15_pS116.R.V_GBL1033790 0 0 0 0
PI3K.p110.alpha.R.C_GBL1033769 0 0 0 0
PI3K.p85.R.V_GBL1033815 0 0 0 1
PKC.alpha.M.V_GBL1033894 0 0 0 0
PKC.alpha_pS657.R.C_GBL1033816 0 0 0 0
PKC.beta.II_pS660.R.V_GBL1033846 0 0 0 0
PKC.delta_pS664.R.V_GBL1033784 0 0 0 0
PMS2.R.V_GBL1033867 0 1 1 1
Porin.M.V_GBL1033946 0 0 0 0
PR.R.V_GBL1033720 0 0 0 0
PRAS40_pT246.R.V_GBL1033737 0 0 0 0
PREX1.R.V_GBL1033857 0 0 0 0
PTEN.R.V_GBL1033722 0 0 0 0
Rab11.R.E_GBL1033832 0 0 0 0
Rab25.R.V_GBL1033850 0 0 0 0
Rad50.M.V_GBL1033904 0 0 0 0
Rad51.R.V_GBL1033870 0 0 0 0
Raptor.R.V_GBL1033843 0 0 0 0
Rb.M.QC_GBL1033895 0 0 0 0
Rb_pS807_S811.R.V_GBL1033721 -1 -1 0 -1
RBM15.R.V_GBL1033847 0 0 0 0
Rictor.R.C_GBL1033844 0 0 0 0
Rictor_pT1135.R.V_GBL1033845 0 0 0 0
RSK.R.C_GBL1033739 0 1 0 1
S6_pS235_S236.R.V_GBL1033723 0 0 0 0
S6_pS240_S244.R.V_GBL1033724 0 0 0 0
SCD.M.V_GBL1033945 0 0 0 0
SETD2.R.QC_GBL1033820 0 0 0 0
SF2.M.V_GBL1033906 0 1 0 1
Shc_pY317.R.V_GBL1033791 -1 -1 -1 -1
Smac.M.QC_GBL1033896 0 0 0 0
Smad1.R.V_GBL1033782 0 0 0 0
Smad3.R.V_GBL1033743 0 0 0 0
Smad4.M.V_GBL1033947 0 0 0 0
Snail.M.QC_GBL1033897 0 0 0 0
Src.M.V_GBL1033898 0 0 0 0
Src_pY416.R.C_GBL1033725 -1 -1 0 0
Src_pY527.R.V_GBL1033726 1 1 1 0
Stat3_pY705.R.V_GBL1033727 0 -1 -1 -1
Stat5a.R.V_GBL1033728 0 0 0 0
Stathmin.1.R.V_GBL1033733 -1 0 -1 0
Syk.M.V_GBL1033948 0 0 0 0
TAZ.R.V_GBL1033741 0 0 0 0
TFRC.R.V_GBL1033849 0 0 0 0
TIGAR.R.V_GBL1033836 0 0 0 0
Transglutaminase.M.V_GBL1033901 0 0 1 0
TSC1.R.C_GBL1033841 0 0 0 0
TTF1.R.V_GBL1033830 0 0 0 0
Tuberin.R.V_GBL1033729 0 0 0 0
Tuberin_pT1462.R.V_GBL1033730 0 0 0 0
TWIST.M.C_GBL1033888 0 0 0 0
Tyro3.R.V_GBL1033829 0 0 0 0
UBAC1.R.V_GBL1033872 0 0 0 0
UGT1A.M.V_GBL1033950 0 0 0 0
UQCRC2.M.C_GBL1033949 0 0 0 0
VEGFR.2.R.V_GBL1033731 0 0 0 0
XRCC1.R.C_GBL1033781 0 0 0 0
YAP.R.E_GBL1033881 0 0 0 0
YAP_pS127.R.E_GBL1033742 0 0 0 0
YB1.R.V_GBL1033732 0 0 0 0
YB1_pS102.R.V_GBL1033771 0 0 0 0
