AntibodyLabel	Source	NodeName	Gene_Symbol	Sites	Effect
X4EBP1(V)_GBL9008590	MDACC	X4EBP1	EIFX4EBP1	NA	c
X4E.BP1 (phospho.Ser65)	MSKCC	X4EBP1_pS65	EIFX4EBP1	S65	i
X4E.BP1 (phospho.Thr37,Thr46)	MSKCC	X4EBP1_pT37	EIFX4EBP1	T37|T46	i
X4EBP1_pS37_RS00273595	MDACC	X4EBP1pS37	EIFX4EBP1	S37	i
X4E.BP1_pS65.R.V_GBL9026170	MDACC	X4EBP1pS65	EIFX4EBP1	S65	i
X4E.BP1_pS65.R.V_GBL1033671	MDACC	X4EBP1pS65	EIFX4EBP1	S65	i
X4E.BP1_pS65.R.V_GBL1113150	MDACC	X4EBP1pS65	EIFX4EBP1	S65	i
X4E.BP1_pS65.R.V_GBL1114852	MDACC	X4EBP1pS65	EIFX4EBP1	S65	i
X4EBP1_pS65_RS00269167	MDACC	X4EBP1pS65	EIFX4EBP1	S65	i
X4EBP1_pS65_RS00275827	MDACC	X4EBP1pS65	EIFX4EBP1	S65	i
X4EBP1_pS65(V)_GBL9007869	MDACC	X4EBP1pS65	EIFX4EBP1	S65	i
X4EBP1_pS65(V)_GBL9008591	MDACC	X4EBP1pS65	EIFX4EBP1	S65	i
X4EBP1_pT37_RS00275826	MDACC	X4EBP1pT37	EIFX4EBP1	T37	i
X4EBP1_pT37(V)_GBL9008592	MDACC	X4EBP1pT37	EIFX4EBP1	T37	i
X4E.BP1_pT37_T46.R.V_GBL1033672	MDACC	X4EBP1pT37T46	EIFX4EBP1	T37|T46	i
X4E.BP1_pT37_T46.R.V_GBL1113151	MDACC	X4EBP1pT37T46	EIFX4EBP1	T37|T46	i
X4E.BP1_pT37_T46.R.V_GBL1114853	MDACC	X4EBP1pT37T46	EIFX4EBP1	T37|T46	i
X4EBP1_pT70_RS00273577	MDACC	X4EBP1pT70	EIFX4EBP1	T70	i
X4EBP1_pT70_RS00275820	MDACC	X4EBP1pT70	EIFX4EBP1	T70	i
X4EBP1_pT70(V)_GBL9008561	MDACC	X4EBP1pT70	EIFX4EBP1	T70	i
X53BP1_GBL9008311	MDACC	X53BP1	TPX53BP1	NA	c
X53BP1.R.V_GBL1033787	MDACC	X53BP1	TPX53BP1	NA	c
X53BP1.R.V_GBL1113264	MDACC	X53BP1	TPX53BP1	NA	c
X53BP1.R.V_GBL1114936	MDACC	X53BP1	TPX53BP1	NA	c
ab_Crystalline_GBL9008549	MDACC	abCrystalline	ABCRYSTALLINE	NA	c
alpha.Catenin.M.V_GBL9026304	MDACC	aCatenin	CTNNA1	NA	c
ACC1.R.C_GBL9026173	MDACC	ACC1	ACACA	NA	c
ACC1.R.E_GBL1033674	MDACC	ACC1	ACACA	NA	c
ACC1.R.E_GBL1113153	MDACC	ACC1	ACACA	NA	c
ACC1.R.E_GBL1114855	MDACC	ACC1	ACACA	NA	c
ACC1.R.C_GBL.9013806	MDACC	ACC1	ACACA	NA	c
ACC1(C)_GBL9008595	MDACC	ACC1	ACACA	NA	c
ACC_pS79.R.V_GBL9026172	MDACC	ACC1pS79	ACACA	S79|S80	a
ACC_pS79.R.V_GBL9026172	MDACC	ACC1pS79	ACACB	S79	a
ACC_pS79_GBL9008594	MDACC	ACCpS79	ACACA	S79	a
ACC_pS79_RS00269173	MDACC	ACCpS79	ACACA	S79	a
ACC_pS79_RS00275573	MDACC	ACCpS79	ACACA	S79	a
ACC_pS79.R.V_GBL1033673	MDACC	ACCpS79	ACACA	S79	a
ACC_pS79.R.V_GBL1113152	MDACC	ACCpS79	ACACA	S79	a
ACC_pS79.R.V_GBL1114854	MDACC	ACCpS79	ACACA	S79	a
ACC_pS79.R.V_GBL.9012901	MDACC	ACCpS79	ACACA	S79	a
ACC_pS79.R.V_GBL.9013893	MDACC	ACCpS79	ACACA	S79	a
ACC_pS79.R.V_GBL.9014284	MDACC	ACCpS79	ACACA	S79	a
ACVRL1.R.C_GBL1033834	MDACC	ACVRL1	ACVRL1	NA	c
ACVRL1.R.C_GBL1113285	MDACC	ACVRL1	ACVRL1	NA	c
ACVRL1.wR.C_GBL1115125	MDACC	ACVRL1	ACVRL1	NA	c
ADAR1.M.V_GBL1033909	MDACC	ADAR1	ADAR	NA	c
ADAR1.M.V_GBL1113373	MDACC	ADAR1	ADAR	NA	c
ADAR1.M.V_GBL1115052	MDACC	ADAR1	ADAR	NA	c
AIB1.M.V_GBL9026302	MDACC	AIB1	NCOA3	NA	c
AIB.1_RS00273414 (MOUSE)	MDACC	AIB1	NCOA3	NA	c
AIB1_RS00276602 (mouse)	MDACC	AIB1	NCOA3	NA	c
AIB1.M.V_GBL.9012877	MDACC	AIB1	NCOA3	NA	c
AIB1(mouse)(C)_GBL9007871	MDACC	AIB1	NCOA3	NA	c
Akt	MSKCC	AKT	AKT1	NA	c
Akt	MSKCC	AKT	AKT2	NA	c
Akt	MSKCC	AKT	AKT3	NA	c
Akt.R.V_GBL9026174	MDACC	AKT	AKT1	NA	c
Akt.R.V_GBL9026174	MDACC	AKT	AKT2	NA	c
Akt.R.V_GBL9026174	MDACC	AKT	AKT3	NA	c
AKT_RS00269151	MDACC	AKT	AKT1	NA	c
AKT_RS00275814	MDACC	AKT	AKT1	NA	c
Akt.R.V_GBL1033833	MDACC	Akt	AKT1	NA	c
Akt.R.V_GBL1113284	MDACC	Akt	AKT1	NA	c
Akt.R.V_GBL1114953	MDACC	Akt	AKT1	NA	c
Akt.R.V_GBL.9012890	MDACC	Akt	AKT1	NA	c
Akt.R.V_GBL.9013807	MDACC	Akt	AKT1	NA	c
Akt.R.V_GBL.9014349	MDACC	Akt	AKT1	NA	c
AKT(V)_GBL9008596	MDACC	AKT	AKT1	NA	c
AKT_RS00269151	MDACC	AKT	AKT2	NA	c
AKT_RS00275814	MDACC	AKT	AKT2	NA	c
Akt.R.V_GBL1033833	MDACC	Akt	AKT2	NA	c
Akt.R.V_GBL1113284	MDACC	Akt	AKT2	NA	c
Akt.R.V_GBL1114953	MDACC	Akt	AKT2	NA	c
Akt.R.V_GBL.9012890	MDACC	Akt	AKT2	NA	c
Akt.R.V_GBL.9013807	MDACC	Akt	AKT2	NA	c
Akt.R.V_GBL.9014349	MDACC	Akt	AKT2	NA	c
AKT(V)_GBL9008596	MDACC	AKT	AKT2	NA	c
AKT_RS00269151	MDACC	AKT	AKT3	NA	c
AKT_RS00275814	MDACC	AKT	AKT3	NA	c
Akt.R.V_GBL1033833	MDACC	Akt	AKT3	NA	c
Akt.R.V_GBL1113284	MDACC	Akt	AKT3	NA	c
Akt.R.V_GBL1114953	MDACC	Akt	AKT3	NA	c
Akt.R.V_GBL.9012890	MDACC	Akt	AKT3	NA	c
Akt.R.V_GBL.9013807	MDACC	Akt	AKT3	NA	c
Akt.R.V_GBL.9014349	MDACC	Akt	AKT3	NA	c
AKT(V)_GBL9008596	MDACC	AKT	AKT3	NA	c
Akt (phospho.Ser473)	MSKCC	Akt_pS473	AKT1	S473	a
Akt (phospho.Ser473)	MSKCC	Akt_pS473	AKT2	S473	a
Akt (phospho.Ser473)	MSKCC	Akt_pS473	AKT3	S473	a
Akt (phospho.Thr308)	MSKCC	Akt_pT308	AKT1	T308	a
Akt (phospho.Thr308)	MSKCC	Akt_pT308	AKT2	T308	a
Akt (phospho.Thr308)	MSKCC	Akt_pT308	AKT3	T308	a
AKT_pS308_RS00269150	MDACC	AKTpS308	AKT1	S308	a
AKT_pS308_RS00269150	MDACC	AKTpS308	AKT2	S308	a
AKT_pS308_RS00269150	MDACC	AKTpS308	AKT3	S308	a
Akt_pS473.R.V_GBL9026175	MDACC	AKTpS473	AKT1	S473	a
Akt_pS473.R.V_GBL9026175	MDACC	AKTpS473	AKT2	S474	a
Akt_pS473.R.V_GBL9026175	MDACC	AKTpS473	AKT3	S472	a
AKT_pS473_RS00269149	MDACC	AKTpS473	AKT1	S473	a
AKT_pS473_RS00275811	MDACC	AKTpS473	AKT1	S473	a
Akt_pS473.R.V_GBL1033793	MDACC	AktpS473	AKT1	S473	a
Akt_pS473.R.V_GBL1113186	MDACC	AktpS473	AKT1	S473	a
Akt_pS473.R.V_GBL1114876	MDACC	AktpS473	AKT1	S473	a
Akt_pS473.R.V_GBL.9013808	MDACC	AktpS473	AKT1	S473	a
AKT_pS473(V)_GBL9008597	MDACC	AKTpS473	AKT1	S473	a
AKT_pS473_RS00269149	MDACC	AKTpS473	AKT2	S473	a
AKT_pS473_RS00275811	MDACC	AKTpS473	AKT2	S473	a
Akt_pS473.R.V_GBL1033793	MDACC	AktpS473	AKT2	S473	a
Akt_pS473.R.V_GBL1113186	MDACC	AktpS473	AKT2	S473	a
Akt_pS473.R.V_GBL1114876	MDACC	AktpS473	AKT2	S473	a
Akt_pS473.R.V_GBL.9013808	MDACC	AktpS473	AKT2	S473	a
AKT_pS473(V)_GBL9008597	MDACC	AKTpS473	AKT2	S473	a
AKT_pS473_RS00269149	MDACC	AKTpS473	AKT3	S473	a
AKT_pS473_RS00275811	MDACC	AKTpS473	AKT3	S473	a
Akt_pS473.R.V_GBL1033793	MDACC	AktpS473	AKT3	S473	a
Akt_pS473.R.V_GBL1113186	MDACC	AktpS473	AKT3	S473	a
Akt_pS473.R.V_GBL1114876	MDACC	AktpS473	AKT3	S473	a
Akt_pS473.R.V_GBL.9013808	MDACC	AktpS473	AKT3	S473	a
AKT_pS473(V)_GBL9008597	MDACC	AKTpS473	AKT3	S473	a
Akt_pT308.R.V_GBL9026176	MDACC	AKTpT308	AKT1	T308	a
Akt_pT308.R.V_GBL9026176	MDACC	AKTpT308	AKT2	T309	a
Akt_pT308.R.V_GBL9026176	MDACC	AKTpT308	AKT3	T305	a
AKT_pT308_RS00275813	MDACC	AKTpT308	AKT1	T308	a
Akt_pT308.R.V_GBL1033851	MDACC	AktpT308	AKT1	T308	a
Akt_pT308.R.V_GBL1113312	MDACC	AktpT308	AKT1	T308	a
Akt_pT308.R.V_GBL1114967	MDACC	AktpT308	AKT1	T308	a
Akt_pT308.R.V_GBL.9013809	MDACC	AktpT308	AKT1	T308	a
AKT_pT308(V)_GBL9008599	MDACC	AKTpT308	AKT1	T308	a
AKT_pT308_RS00275813	MDACC	AKTpT308	AKT2	T308	a
Akt_pT308.R.V_GBL1033851	MDACC	AktpT308	AKT2	T308	a
Akt_pT308.R.V_GBL1113312	MDACC	AktpT308	AKT2	T308	a
Akt_pT308.R.V_GBL1114967	MDACC	AktpT308	AKT2	T308	a
Akt_pT308.R.V_GBL.9013809	MDACC	AktpT308	AKT2	T308	a
AKT_pT308(V)_GBL9008599	MDACC	AKTpT308	AKT2	T308	a
alpha.Catenin.M.V_GBL.9012880	MDACC	alphaCatenin	CTNNA1	NA	c
Total AMPK ALPHA	MSKCC	AMPKa	PRKAA1	NA	c
Total AMPK ALPHA	MSKCC	AMPKa	PRKAA2	NA	c
AMPK_alpha.R.C_GBL9026177	MDACC	AMPKa	PRKAA1	NA	c
AMPK_alpha.R.C_GBL9026177	MDACC	AMPKa	PRKAA2	NA	c
AMPK.A_RS00276030	MDACC	AMPKA	PRKAA1	NA	c
AMPKa_RS00273428	MDACC	AMPKa	PRKAA1	NA	c
AMPKa.R.C_GBL1114856	MDACC	AMPKa	PRKAA1	NA	c
AMPKa(C )_GBL9007913	MDACC	AMPKa	PRKAA1	NA	c
AMPK.A_RS00276030	MDACC	AMPKA	PRKAA2	NA	c
AMPKa_RS00273428	MDACC	AMPKa	PRKAA2	NA	c
AMPKa.R.C_GBL1114856	MDACC	AMPKa	PRKAA2	NA	c
AMPKa(C )_GBL9007913	MDACC	AMPKa	PRKAA2	NA	c
AMPK alpha (phospho.Thr172)	MSKCC	AMPKa_pT172	PRKAA1	T172	a
AMPK alpha (phospho.Thr172)	MSKCC	AMPKa_pT172	PRKAA2	T172	a
AMPK_alpha.R.C_GBL.9013810	MDACC	AMPKalpha	PRKAA1	NA	c
AMPK.alpha.R.C_GBL1033675	MDACC	AMPKalpha	PRKAA1	NA	c
AMPK.alpha.R.C_GBL1113154	MDACC	AMPKalpha	PRKAA1	NA	c
AMPK.alpha_pT172.R.V_GBL1033676	MDACC	AMPKalphapT172	PRKAA1	T172	a
AMPK.alpha_pT172.R.V_GBL1113155	MDACC	AMPKalphapT172	PRKAA1	T172	a
AMPK_alpha.R.C_GBL.9013810	MDACC	AMPKalpha	PRKAA2	NA	c
AMPK.alpha.R.C_GBL1033675	MDACC	AMPKalpha	PRKAA2	NA	c
AMPK.alpha.R.C_GBL1113154	MDACC	AMPKalpha	PRKAA2	NA	c
AMPK.alpha_pT172.R.V_GBL1033676	MDACC	AMPKalphapT172	PRKAA2	T172	a
AMPK.alpha_pT172.R.V_GBL1113155	MDACC	AMPKalphapT172	PRKAA2	T172	a
AMPK_pT172.R.V_GBL9026178	MDACC	AMPKapT172	PRKAA1	T172|S172	a
AMPK_pT172.R.V_GBL9026178	MDACC	AMPKapT172	PRKAA2	T172|S172	a
AMPKa_pT172_RS00273427	MDACC	AMPKapT172	PRKAA1	T172	a
AMPKa_pT172.R.V_GBL1114859	MDACC	AMPKapT172	PRKAA1	T172	a
AMPK.A_pT272_RS00276029	MDACC	AMPKApT272	PRKAA1	T272	a
AMPK_pT172.R.V_GBL.9013811	MDACC	AMPKpT172	PRKAA1	T172	a
AMPK_pT172(V)_GBL9007911	MDACC	AMPKpT172	PRKAA1	T172	a
AMPKa_pT172_RS00273427	MDACC	AMPKapT172	PRKAA2	T172	a
AMPKa_pT172.R.V_GBL1114859	MDACC	AMPKapT172	PRKAA2	T172	a
AMPK.A_pT272_RS00276029	MDACC	AMPKApT272	PRKAA2	T272	a
AMPK_pT172.R.V_GBL.9013811	MDACC	AMPKpT172	PRKAA2	T172	a
AMPK_pT172(V)_GBL9007911	MDACC	AMPKpT172	PRKAA2	T172	a
Annexin_GBL9008513	MDACC	Annexin	ANXA1	NA	c
Annexin_I.R.V_GBL9026179	MDACC	AnnexinI	ANXA1	NA	c
Annexin_I.R.V_GBL.9013812	MDACC	AnnexinI	ANXA1	NA	c
Annexin.I.M.V_GBL1033912	MDACC	AnnexinI	ANXA1	NA	c
Annexin.I.M.V_GBL1113376	MDACC	AnnexinI	ANXA1	NA	c
Annexin.I.M.V_GBL1115055	MDACC	AnnexinI	ANXA1	NA	c
Annexin.VII.M.V_GBL1033907	MDACC	AnnexinVII	ANXA1	NA	c
Annexin.VII.M.V_GBL1113371	MDACC	AnnexinVII	ANXA1	NA	c
Annexin.VII.M.V_GBL1115050	MDACC	AnnexinVII	ANXA1	NA	c
AR.R.V_GBL9026335	MDACC	AR	AR	NA	c
AR_RS00273605	MDACC	AR	AR	NA	c
AR_RS00275696	MDACC	AR	AR	NA	c
AR.R.V_GBL1033738	MDACC	AR	AR	NA	c
AR.R.V_GBL1113229	MDACC	AR	AR	NA	c
AR.R.V_GBL1115200	MDACC	AR	AR	NA	c
AR.R.V_GBL.9013813	MDACC	AR	AR	NA	c
AR(AR441)(mouse)_GBL9008523	MDACC	AR	AR	NA	c
AR(C19)_GBL9008565	MDACC	AR	AR	NA	c
AR(N20)_GBL9008524	MDACC	AR	AR	NA	c
AR(N20)_GBL9008580	MDACC	AR	AR	NA	c
AR(V)_GBL9007914	MDACC	AR	AR	NA	c
A.Raf.R.V_GBL1033858	MDACC	ARaf	ARAF	NA	c
A.Raf.R.V_GBL1113319	MDACC	ARaf	ARAF	NA	c
A.Raf.R.V_GBL1114978	MDACC	ARaf	ARAF	NA	c
A.RAF_pS299_GBL9008341	MDACC	ARAFpS299	ARAF	S299	a
A.Raf_pS299.R.C_GBL1115225	MDACC	ARafpS299	ARAF	S299	a
ARHI.M.C_GBL1033929	MDACC	ARHI	DIRAS3 	NA	c
ARHI.M.C_GBL1113379	MDACC	ARHI	DIRAS3 	NA	c
ARHI.M.C_GBL1115171	MDACC	ARHI	DIRAS3 	NA	c
ARID1A.R.C_GBL1115009	MDACC	ARID1A	ARID1A	NA	c
ASNS_GBL9008566	MDACC	ASNS	ASNS	NA	c
ATM_GBL9008598	MDACC	ATM	ATM	NA	c
ATM_RS00275792	MDACC	ATM	ATM	NA	c
ATM.R.V_GBL1033874	MDACC	ATM	ATM	NA	c
ATM.R.V_GBL1113335	MDACC	ATM	ATM	NA	c
ATM.R.V_GBL1115001	MDACC	ATM	ATM	NA	c
ATM.R_GBL.9013814	MDACC	ATM	ATM	NA	c
ATM_pS1981_RS00276380 (mouse)	MDACC	ATMpS1981	ATM	S1981	a
ATM_pS1981_RS00276600 (mouse) (1_4000)	MDACC	ATMpS1981	ATM	S1981	a
ATM_pS1981.R.V_GBL1033875	MDACC	ATMpS1981	ATM	S1981	a
ATM_pS1981.R.V_GBL1113336	MDACC	ATMpS1981	ATM	S1981	a
ATM_pS1981.wR.V_GBL1115133	MDACC	ATMpS1981	ATM	S1981	a
ATM_pS1981(mouse)(V)_GBL9007888	MDACC	ATMpS1981	ATM	S1981	a
ATP5A.M.C_GBL1115060	MDACC	ATP5A	ATP5A1	NA	c
ATP5H.M.C_GBL1033913	MDACC	ATP5H	ATP5H	NA	c
ATP5H.M.C_GBL1113414	MDACC	ATP5H	ATP5H	NA	c
ATP5H.M.C_GBL1115057	MDACC	ATP5H	ATP5H	NA	c
ATR_GBL9008404	MDACC	ATR	ATR	NA	c
ATR_RS00276594	MDACC	ATR	ATR	NA	c
ATR.R.C_GBL1033779	MDACC	ATR	ATR	NA	c
ATR.R.C_GBL1113256	MDACC	ATR	ATR	NA	c
ATR.wR.C_GBL1115116	MDACC	ATR	ATR	NA	c
ATRIP_GBL9008406	MDACC	ATRIP	ATRIP	NA	c
ATRIP_RS00275795	MDACC	ATRIP	ATRIP	NA	c
ATR_pS428_GBL9008405	MDACC	ATRpS428	ATR	S428	a
ATR_pS428_RS00275794	MDACC	ATRpS428	ATR	S428	a
a.Tubulin_GBL9008350	MDACC	aTubulin	TUBA1A	NA	c
Aurora A (phospho.Thr288)	MSKCC	AuroraA_pT288	AURKA	T288	a
Aurora.B.wR.V_GBL1115238	MDACC	AuroraB	AURKB	NA	c
b.Actin	MSKCC	b.Actin	AURKB	NA	c
b.Actin.R.C_GBL1115228	MDACC	bActin	AURKA	NA	c
Bad (phospho.Ser112)	MSKCC	Bad_pS112	BAD	S112	i
Bad_pS112.R.V_GBL9026336	MDACC	BadpS112	BAD	S112|S118	a
Bad_pS112.R.V_GBL1033677	MDACC	BadpS112	BAD	S112	a
Bad_pS112.R.V_GBL1113156	MDACC	BadpS112	BAD	S112	a
Bad_pS112.R.V_GBL1114860	MDACC	BadpS112	BAD	S112	a
BAD_pS112(C)_GBL9007892	MDACC	BADpS112	BAD	S112	a
Bak.R.C_GBL9026182	MDACC	Bak	BAK1	NA	c
Bak.R.C_GBL1033678	MDACC	Bak	BAK1	NA	c
Bak.R.C_GBL1113416	MDACC	Bak	BAK1	NA	c
Bak.wR.C_GBL1115097	MDACC	Bak	BAK1	NA	c
Bak.R.C_GBL.9013815	MDACC	Bak	BAK1	NA	c
BAK(C)_GBL9007893	MDACC	BAK	BAK1	NA	c
BAP1.M.V_GBL1033930	MDACC	BAP1	BAP1	NA	c
BAP1.M.V_GBL1113396	MDACC	BAP1	BAP1	NA	c
BAP1.M.V_GBL1115082	MDACC	BAP1	BAP1	NA	c
Bax	MSKCC	Bax	BAX	NA	c
Bax.R.V_GBL9026183	MDACC	Bax	BAX	NA	c
Bax.R.V_GBL1033679	MDACC	Bax	BAX	NA	c
Bax.R.V_GBL1113158	MDACC	Bax	BAX	NA	c
Bax.R.V_GBL1114861	MDACC	Bax	BAX	NA	c
Bax.R.V_GBL.9013816	MDACC	Bax	BAX	NA	c
BAX(C)_GBL9007894	MDACC	BAX	BAX	NA	c
beta.Catenin	MSKCC	bCatenin	CTNNB1	NA	c
beta.Catenin.R.V_GBL9026194	MDACC	bCatenin	CTNNB1	NA	c
B.Catenin_RS00273592	MDACC	BCatenin	CTNNB1	NA	c
B.Catenin_RS00275590	MDACC	BCatenin	CTNNB1	NA	c
b.Catenin.R.V_GBL1033680	MDACC	bCatenin	CTNNB1	NA	c
b.Catenin.R.V_GBL1113159	MDACC	bCatenin	CTNNB1	NA	c
b.Catenin.R.V_GBL1114862	MDACC	bCatenin	CTNNB1	NA	c
b.Catenin(V)_GBL9008600	MDACC	bCatenin	CTNNB1	NA	c
B.Catenin_pS33_RS00273497	MDACC	BCateninpS33	CTNNB1	S33	i
b.Catenin_pT41_S45.R.V_GBL1033855	MDACC	bCateninpT41S45	CTNNB1	T41|S45	a
b.Catenin_pT41_S45.R.V_GBL1113316	MDACC	bCateninpT41S45	CTNNB1	T41|S45	a
b.Catenin_pT41_S45.wR.V_GBL1115129	MDACC	bCateninpT41S45	CTNNB1	T41|S45	a
Bcl.2	MSKCC	Bcl2	BCL2	NA	c
Bcl.2.M.V_GBL9026303	MDACC	Bcl2	BCL2	NA	c
Bcl.2.M.V_GBL.9012878	MDACC	Bcl2	BCL2	NA	c
BCL2_RS00273415 (MOUSE)	MDACC	BCL2	BCL2	NA	c
BCl2_RS00276603 (mouse)	MDACC	BCl2	BCL2	NA	c
Bcl2.M.V_GBL1033931	MDACC	Bcl2	BCL2	NA	c
Bcl2.M.V_GBL1113381	MDACC	Bcl2	BCL2	NA	c
Bcl2.M.V_GBL1115070	MDACC	Bcl2	BCL2	NA	c
BCl2(C)_GBL9007916	MDACC	BCl2	BCL2	NA	c
BCl2(mouse)(V)_GBL9007872	MDACC	BCl2	BCL2	NA	c
Bcl2A1.R.V_GBL1114992	MDACC	Bcl2A1	BCL2A1	NA	c
BCl2_pS70_GBL9008319	MDACC	BCl2pS70	BCL2	S70	a
Bcl2.R.S_GBL1113364	MDACC	Bcl2RS	BCL2RS	NA	c
Bcl.X.R.C_GBL9026338	MDACC	BclX	BCL2L1	NA	c
BCl.X(C)_GBL9007895	MDACC	BClX	BCL2L1	NA	c
Bcl.X.R.V_GBL.9012872	MDACC	BclX	BCL2L1	NA	c
Bcl.xL.R.V_GBL9026339	MDACC	BclxL	BCL2L1	NA	c
Bcl.xL.R.V_GBL1033682	MDACC	BclxL	BCL2L1	NA	c
Bcl.xL.R.V_GBL1113160	MDACC	BclxL	BCL2L1	NA	c
Bcl.xL.wR.V_GBL1115099	MDACC	BclxL	BCL2L1	NA	c
BCl.XL(C)_GBL9007896	MDACC	BClXL	BCL2L1	NA	c
Bcl.xL.R.V_GBL.9013819	MDACC	BclxL	BCL2L1	NA	c
Beclin.G.V_GBL9026330	MDACC	Beclin	BCL2L1	NA	c
Beclin.G.C_GBL1033953	MDACC	Beclin	BECN1	NA	c
Beclin.G.C_GBL1113406	MDACC	Beclin	BECN1	NA	c
Beclin.G.C_GBL1115093	MDACC	Beclin	BECN1	NA	c
Beclin.G.V_GBL.9014285	MDACC	Beclin	BECN1	NA	c
beta.Catenin.R.V_GBL.9013817	MDACC	betaCatenin	CTNNB1	NA	c
beta.Catenin.R.V_GBL.9013828	MDACC	betaCatenin	CTNNB1	NA	c
Bid.R.C_GBL9026340	MDACC	Bid	BID	NA	c
Bid	MSKCC	Bid	BID	NA	c
Bid.R.C_GBL1033683	MDACC	Bid	BID	NA	c
Bid.R.C_GBL1113161	MDACC	Bid	BID	NA	c
Bid.wR.C_GBL1115100	MDACC	Bid	BID	NA	c
Bid.R.C_GBL.9013820	MDACC	Bid	BID	NA	c
Bim	MSKCC	Bim	BCL2L11	NA	c
Bim.R.V_GBL9026351	MDACC	Bim	BCL2L11	NA	c
BIM_RS00273727	MDACC	BIM	BCL2L11	NA	c
BIM_RS00276021	MDACC	BIM	BCL2L11	NA	c
Bim.R.V_GBL1033684	MDACC	Bim	BCL2L11	NA	c
Bim.R.V_GBL1113162	MDACC	Bim	BCL2L11	NA	c
Bim.R.V_GBL1114863	MDACC	Bim	BCL2L11	NA	c
Bim.R.V_GBL.9013821	MDACC	Bim	BCL2L11	NA	c
BIM(V))_GBL9008601	MDACC	BIM	BCL2L11	NA	c
BOP1(N16)_GBL9008583	MDACC	BOP1	BOP1	NA	c
B.Raf.M.C_GBL1033932	MDACC	BRaf	BRAF	NA	c
B.Raf.M.C_GBL1113382	MDACC	BRaf	BRAF	NA	c
B.Raf.R.V_GBL1114864	MDACC	BRaf	BRAF	NA	c
b.RAF(mouse)_GBL9008385	MDACC	bRAF	BRAF	NA	c
b.RAF(mouse)(V)_GBL9007887	MDACC	bRAF	BRAF	NA	c
B.Raf.M.DNU_GBL.9012898	MDACC	BRafMDNU	BRAF	NA	c
B.Raf.M.DNU_GBL.9014280	MDACC	BRafMDNU	BRAF	NA	c
b.RAF_pS445_GBL9008382	MDACC	bRAFpS445	BRAF	S445	a
B.Raf_pS445.R.V_GBL1033685	MDACC	BRafpS445	BRAF	S445	a
B.Raf_pS445.R.V_GBL1113180	MDACC	BRafpS445	BRAF	S445	a
B.Raf_pS445.R.V_GBL1114878	MDACC	BRafpS445	BRAF	S445	a
BRCA1_RS00273571	MDACC	BRCA1	BRCA1	NA	c
BRCA2_RS00275700	MDACC	BRCA2	BRCA2	NA	c
BRCA2.R.C_GBL1033740	MDACC	BRCA2	BRCA2	NA	c
BRCA2.R.C_GBL1113231	MDACC	BRCA2	BRCA2	NA	c
BRCA2(C )_GBL9008400	MDACC	BRCA2	BRCA2	NA	c
c.Abl.R.V_GBL1115011	MDACC	cAbl	ABL1	NA	c
Casein Kinase 1.Epsillon(mouse)_GBL9008363	MDACC	Casein Kinase 1Epsillon	CSNK1E	NA	c
CASK(mouse)_GBL9008353	MDACC	CASK	CASK	NA	c
Caspase.3_active.R.C_GBL9026352	MDACC	Casp3ac	CASP3	NA	a
Caspase.7_cleavedD198.R.C_GBL9026353	MDACC	Casp7clD198	CASP7	NA	a
