"AntibodyLabel"	"Source"	"NodeName"	"Gene_Symbol"	"Sites"	"Effect"
"76"	"AKT_pS308"	"MDACC"	"AKTpS308"	"AKT1"	"S308"	"a"
"77"	"AKT_pS308_RS00269150"	"MDACC"	"AKTpS308"	"AKT1"	"S308"	"a"
"78"	"AKT_pS308_RS00269150"	"MDACC"	"AKTpS308"	"AKT2"	"S308"	"a"
"79"	"AKT_pS308_RS00269150"	"MDACC"	"AKTpS308"	"AKT3"	"S308"	"a"
"80"	"Akt_pS473"	"MDACC"	"AKTpS473"	"AKT1"	"S473"	"a"
"81"	"AKT_pS473"	"MDACC"	"AKTpS473"	"AKT1"	"S473"	"a"
"82"	"AKT_pS473_RS00269149"	"MDACC"	"AKTpS473"	"AKT1"	"S473"	"a"
"83"	"AKT_pS473_RS00269149"	"MDACC"	"AKTpS473"	"AKT2"	"S473"	"a"
"84"	"AKT_pS473_RS00269149"	"MDACC"	"AKTpS473"	"AKT3"	"S473"	"a"
"85"	"AKT_pS473_RS00275811"	"MDACC"	"AKTpS473"	"AKT1"	"S473"	"a"
"86"	"AKT_pS473_RS00275811"	"MDACC"	"AKTpS473"	"AKT2"	"S473"	"a"
"87"	"AKT_pS473_RS00275811"	"MDACC"	"AKTpS473"	"AKT3"	"S473"	"a"
"88"	"AKT_pS473_V"	"MDACC"	"AktpS473"	"AKT1"	"S473"	"a"
"89"	"Akt_pS473.R.V_GBL.9013808"	"MDACC"	"AktpS473"	"AKT1"	"S473"	"a"
"90"	"Akt_pS473.R.V_GBL.9013808"	"MDACC"	"AktpS473"	"AKT2"	"S473"	"a"
"91"	"Akt_pS473.R.V_GBL.9013808"	"MDACC"	"AktpS473"	"AKT3"	"S473"	"a"
"92"	"Akt_pS473.R.V_GBL1033793"	"MDACC"	"AktpS473"	"AKT1"	"S473"	"a"
"93"	"Akt_pS473.R.V_GBL1033793"	"MDACC"	"AktpS473"	"AKT2"	"S473"	"a"
"94"	"Akt_pS473.R.V_GBL1033793"	"MDACC"	"AktpS473"	"AKT3"	"S473"	"a"
"95"	"Akt_pS473.R.V_GBL1113186"	"MDACC"	"AktpS473"	"AKT1"	"S473"	"a"
"96"	"Akt_pS473.R.V_GBL1113186"	"MDACC"	"AktpS473"	"AKT2"	"S473"	"a"
"97"	"Akt_pS473.R.V_GBL1113186"	"MDACC"	"AktpS473"	"AKT3"	"S473"	"a"
"98"	"Akt_pS473.R.V_GBL1114876"	"MDACC"	"AktpS473"	"AKT1"	"S473"	"a"
"99"	"Akt_pS473.R.V_GBL1114876"	"MDACC"	"AktpS473"	"AKT2"	"S473"	"a"
"100"	"Akt_pS473.R.V_GBL1114876"	"MDACC"	"AktpS473"	"AKT3"	"S473"	"a"
"101"	"Akt_pS473.R.V_GBL9026175"	"MDACC"	"AKTpS473"	"AKT1"	"S473"	"a"
"102"	"Akt_pS473.R.V_GBL9026175"	"MDACC"	"AKTpS473"	"AKT2"	"S474"	"a"
"103"	"Akt_pS473.R.V_GBL9026175"	"MDACC"	"AKTpS473"	"AKT3"	"S472"	"a"
"104"	"AKT_pS473(V)_GBL9008597"	"MDACC"	"AKTpS473"	"AKT1"	"S473"	"a"
"105"	"AKT_pS473(V)_GBL9008597"	"MDACC"	"AKTpS473"	"AKT2"	"S473"	"a"
"106"	"AKT_pS473(V)_GBL9008597"	"MDACC"	"AKTpS473"	"AKT3"	"S473"	"a"
"107"	"AKT_pT308"	"MDACC"	"AKTpT308"	"AKT1"	"T308"	"a"
"108"	"AKT_pT308_RS00275813"	"MDACC"	"AKTpT308"	"AKT1"	"T308"	"a"
"109"	"AKT_pT308_RS00275813"	"MDACC"	"AKTpT308"	"AKT2"	"T308"	"a"
"110"	"AKT_pT308_V"	"MDACC"	"AktpT308"	"AKT1"	"T308"	"a"
"111"	"Akt_pT308.R.V_GBL.9013809"	"MDACC"	"AktpT308"	"AKT1"	"T308"	"a"
"112"	"Akt_pT308.R.V_GBL.9013809"	"MDACC"	"AktpT308"	"AKT2"	"T308"	"a"
"113"	"Akt_pT308.R.V_GBL1033851"	"MDACC"	"AktpT308"	"AKT1"	"T308"	"a"
"114"	"Akt_pT308.R.V_GBL1033851"	"MDACC"	"AktpT308"	"AKT2"	"T308"	"a"
"115"	"Akt_pT308.R.V_GBL1113312"	"MDACC"	"AktpT308"	"AKT1"	"T308"	"a"
"116"	"Akt_pT308.R.V_GBL1113312"	"MDACC"	"AktpT308"	"AKT2"	"T308"	"a"
"117"	"Akt_pT308.R.V_GBL1114967"	"MDACC"	"AktpT308"	"AKT1"	"T308"	"a"
"118"	"Akt_pT308.R.V_GBL1114967"	"MDACC"	"AktpT308"	"AKT2"	"T308"	"a"
"119"	"Akt_pT308.R.V_GBL9026176"	"MDACC"	"AKTpT308"	"AKT1"	"T308"	"a"
"120"	"Akt_pT308.R.V_GBL9026176"	"MDACC"	"AKTpT308"	"AKT2"	"T309"	"a"
"121"	"Akt_pT308.R.V_GBL9026176"	"MDACC"	"AKTpT308"	"AKT3"	"T305"	"a"
"122"	"AKT_pT308(V)_GBL9008599"	"MDACC"	"AKTpT308"	"AKT1"	"T308"	"a"
"123"	"AKT_pT308(V)_GBL9008599"	"MDACC"	"AKTpT308"	"AKT2"	"T308"	"a"
"124"	"AKT_RS00269151"	"MDACC"	"AKT"	"AKT1"	NA	"c"
"125"	"AKT_RS00269151"	"MDACC"	"AKT"	"AKT2"	NA	"c"
"126"	"AKT_RS00269151"	"MDACC"	"AKT"	"AKT3"	NA	"c"
"127"	"AKT_RS00275814"	"MDACC"	"AKT"	"AKT1"	NA	"c"
"128"	"AKT_RS00275814"	"MDACC"	"AKT"	"AKT2"	NA	"c"
"129"	"AKT_RS00275814"	"MDACC"	"AKT"	"AKT3"	NA	"c"
"130"	"AKT_V"	"MDACC"	"Akt"	"AKT1"	NA	""
"131"	"Akt.R.V_GBL.9012890"	"MDACC"	"Akt"	"AKT1"	NA	"c"
"132"	"Akt.R.V_GBL.9012890"	"MDACC"	"Akt"	"AKT2"	NA	"c"
"133"	"Akt.R.V_GBL.9012890"	"MDACC"	"Akt"	"AKT3"	NA	"c"
"134"	"Akt.R.V_GBL.9013807"	"MDACC"	"Akt"	"AKT1"	NA	"c"
"135"	"Akt.R.V_GBL.9013807"	"MDACC"	"Akt"	"AKT2"	NA	"c"
"136"	"Akt.R.V_GBL.9013807"	"MDACC"	"Akt"	"AKT3"	NA	"c"
"137"	"Akt.R.V_GBL.9014349"	"MDACC"	"Akt"	"AKT1"	NA	"c"
"138"	"Akt.R.V_GBL.9014349"	"MDACC"	"Akt"	"AKT2"	NA	"c"
"139"	"Akt.R.V_GBL.9014349"	"MDACC"	"Akt"	"AKT3"	NA	"c"
"140"	"Akt.R.V_GBL1033833"	"MDACC"	"Akt"	"AKT1"	NA	"c"
"141"	"Akt.R.V_GBL1033833"	"MDACC"	"Akt"	"AKT2"	NA	"c"
"142"	"Akt.R.V_GBL1033833"	"MDACC"	"Akt"	"AKT3"	NA	"c"
"143"	"Akt.R.V_GBL1113284"	"MDACC"	"Akt"	"AKT1"	NA	"c"
"144"	"Akt.R.V_GBL1113284"	"MDACC"	"Akt"	"AKT2"	NA	"c"
"145"	"Akt.R.V_GBL1113284"	"MDACC"	"Akt"	"AKT3"	NA	"c"
"146"	"Akt.R.V_GBL1114953"	"MDACC"	"Akt"	"AKT1"	NA	"c"
"147"	"Akt.R.V_GBL1114953"	"MDACC"	"Akt"	"AKT2"	NA	"c"
"148"	"Akt.R.V_GBL1114953"	"MDACC"	"Akt"	"AKT3"	NA	"c"
"149"	"Akt.R.V_GBL9026174"	"MDACC"	"AKT"	"AKT1"	NA	"c"
"150"	"Akt.R.V_GBL9026174"	"MDACC"	"AKT"	"AKT2"	NA	"c"
"151"	"Akt.R.V_GBL9026174"	"MDACC"	"AKT"	"AKT3"	NA	"c"
"152"	"AKT(V)_GBL9008596"	"MDACC"	"AKT"	"AKT1"	NA	"c"
"153"	"AKT(V)_GBL9008596"	"MDACC"	"AKT"	"AKT2"	NA	"c"
"154"	"AKT(V)_GBL9008596"	"MDACC"	"AKT"	"AKT3"	NA	"c"
"155"	"AKT3"	"MDACC"	"AKT3"	"AKT3"	NA	"c"
"156"	"ALPHACATENIN"	"MDACC"	"alphaCatenin"	"CTNNA1"	NA	"c"
"157"	"a.Catenin"	"MDACC"	"alphaCatenin"	"CTNNA1"	NA	"c"
"158"	"alpha.Catenin.M.V_GBL.9012880"	"MDACC"	"alphaCatenin"	"CTNNA1"	NA	"c"
"159"	"alpha.Catenin.M.V_GBL9026304"	"MDACC"	"aCatenin"	"CTNNA1"	NA	"c"
"160"	"ALPHATUBULIN"	"MDACC"	"AMPKalpha"	"PRKAA1"	NA	"c"
"161"	"alpha.tublin"	"MDACC"	"AMPKalpha"	"PRKAA1"	NA	"c"
"162"	"AMBRA1"	"MDACC"	"AMBRA1"	"AMBRA1"	NA	"c"
"163"	"AMBRA1_PS52"	"MDACC"	"AMBRA1_pS52"	"AMBRA1"	"S52"	"a"
"164"	"AMPK alpha (phospho.Thr172)"	"MSKCC"	"AMPKa_pT172"	"PRKAA1"	"T172"	"a"
"165"	"AMPK alpha (phospho.Thr172)"	"MSKCC"	"AMPKa_pT172"	"PRKAA2"	"T172"	"a"
"166"	"AMPK_alpha.R.C_GBL.9013810"	"MDACC"	"AMPKalpha"	"PRKAA1"	NA	"c"
"167"	"AMPK_alpha.R.C_GBL.9013810"	"MDACC"	"AMPKalpha"	"PRKAA2"	NA	"c"
"168"	"AMPK_alpha.R.C_GBL9026177"	"MDACC"	"AMPKa"	"PRKAA1"	NA	"c"
"169"	"AMPK_alpha.R.C_GBL9026177"	"MDACC"	"AMPKa"	"PRKAA2"	NA	"c"
"170"	"AMPKALPHA2_PS345"	"MDACC"	"AMPKApS345"	"PRKAA2"	"S345"	"a"
"171"	"AMPK.a2_pS345"	"MDACC"	"AMPKApS345"	"PRKAA2"	"S345"	"a"
"172"	"AMPK_pT172"	"MDACC"	"AMPKpT172"	"PRKAA1"	"T172"	"a"
"173"	"AMPK_pT172"	"MDACC"	"AMPKpT172"	"PRKAA2"	"T172"	"a"
"174"	"AMPK_pT172_V"	"MDACC"	"AMPKpT172"	"PRKAA1"	"T172"	"a"
"175"	"AMPK_pT172.R.V_GBL.9013811"	"MDACC"	"AMPKpT172"	"PRKAA1"	"T172"	"a"
"176"	"AMPK_pT172.R.V_GBL.9013811"	"MDACC"	"AMPKpT172"	"PRKAA2"	"T172"	"a"
"177"	"AMPK_pT172.R.V_GBL9026178"	"MDACC"	"AMPKapT172"	"PRKAA1"	"T172|S172"	"a"
"178"	"AMPK_pT172.R.V_GBL9026178"	"MDACC"	"AMPKapT172"	"PRKAA2"	"T172|S172"	"a"
"179"	"AMPK_pT172(V)_GBL9007911"	"MDACC"	"AMPKpT172"	"PRKAA1"	"T172"	"a"
"180"	"AMPK_pT172(V)_GBL9007911"	"MDACC"	"AMPKpT172"	"PRKAA2"	"T172"	"a"
"181"	"AMPK.A_pT272"	"MDACC"	"AMPKApT272"	"PRKAA1"	"T272"	"a"
"182"	"AMPK.A_pT272_RS00276029"	"MDACC"	"AMPKApT272"	"PRKAA1"	"T272"	"a"
"183"	"AMPK.A_pT272_RS00276029"	"MDACC"	"AMPKApT272"	"PRKAA2"	"T272"	"a"
"184"	"AMPKALPHA"	"MDACC"	"AMPKA"	"PRKAA1"	NA	"c"
"185"	"AMPKALPHA"	"MDACC"	"AMPKA"	"PRKAA2"	NA	"c"
"186"	"AMPK.A"	"MDACC"	"AMPKA"	"PRKAA1"	NA	"c"
"187"	"AMPK.A"	"MDACC"	"AMPKA"	"PRKAA2"	NA	"c"
"188"	"AMPKa"	"MDACC"	"AMPKA"	"PRKAA1"	NA	"c"
"189"	"AMPKa"	"MDACC"	"AMPKA"	"PRKAA2"	NA	"c"
"190"	"AMPK.A_RS00276030"	"MDACC"	"AMPKA"	"PRKAA1"	NA	"c"
"191"	"AMPK.A_RS00276030"	"MDACC"	"AMPKA"	"PRKAA2"	NA	"c"
"192"	"AMPKALPHA_PT172"	"MDACC"	"AMPKalphapT172"	"PRKAA1"	"T172"	"a"
"193"	"AMPKa_pT172"	"MDACC"	"AMPKalphapT172"	"PRKAA1"	"T172"	"a"
"194"	"AMPKa_pT172"	"MDACC"	"AMPKalphapT172"	"PRKAA2"	"T172"	"a"
"195"	"AMPK.alpha_pT172.R.V_GBL1033676"	"MDACC"	"AMPKalphapT172"	"PRKAA1"	"T172"	"a"
"196"	"AMPK.alpha_pT172.R.V_GBL1033676"	"MDACC"	"AMPKalphapT172"	"PRKAA2"	"T172"	"a"
"197"	"AMPK.alpha_pT172.R.V_GBL1113155"	"MDACC"	"AMPKalphapT172"	"PRKAA1"	"T172"	"a"
"198"	"AMPK.alpha_pT172.R.V_GBL1113155"	"MDACC"	"AMPKalphapT172"	"PRKAA2"	"T172"	"a"
"199"	"AMPK_alpha"	"MDACC"	"AMPKalpha"	"PRKAA1"	NA	"c"
"200"	"AMPK_alpha"	"MDACC"	"AMPKalpha"	"PRKAA2"	NA	"c"
"201"	"AMPK.alpha.R.C_GBL1033675"	"MDACC"	"AMPKalpha"	"PRKAA1"	NA	"c"
"202"	"AMPK.alpha.R.C_GBL1033675"	"MDACC"	"AMPKalpha"	"PRKAA2"	NA	"c"
"203"	"AMPK.alpha.R.C_GBL1113154"	"MDACC"	"AMPKalpha"	"PRKAA1"	NA	"c"
"204"	"AMPK.alpha.R.C_GBL1113154"	"MDACC"	"AMPKalpha"	"PRKAA2"	NA	"c"
"205"	"AMPKa_C"	"MDACC"	"AMPKa"	"PRKAA1"	NA	"c"
"206"	"AMPKa_pT172_RS00273427"	"MDACC"	"AMPKapT172"	"PRKAA1"	"T172"	"a"
"207"	"AMPKa_pT172_RS00273427"	"MDACC"	"AMPKapT172"	"PRKAA2"	"T172"	"a"
"208"	"AMPKa_pT172.R.V_GBL1114859"	"MDACC"	"AMPKapT172"	"PRKAA1"	"T172"	"a"
"209"	"AMPKa_pT172.R.V_GBL1114859"	"MDACC"	"AMPKapT172"	"PRKAA2"	"T172"	"a"
"210"	"AMPKa_RS00273428"	"MDACC"	"AMPKa"	"PRKAA1"	NA	"c"
"211"	"AMPKa_RS00273428"	"MDACC"	"AMPKa"	"PRKAA2"	NA	"c"
"212"	"AMPKa.R.C_GBL1114856"	"MDACC"	"AMPKa"	"PRKAA1"	NA	"c"
"213"	"AMPKa.R.C_GBL1114856"	"MDACC"	"AMPKa"	"PRKAA2"	NA	"c"
"214"	"AMPKa(C )_GBL9007913"	"MDACC"	"AMPKa"	"PRKAA1"	NA	"c"
"215"	"AMPKa(C )_GBL9007913"	"MDACC"	"AMPKa"	"PRKAA2"	NA	"c"
"216"	"ANLN"	"MDACC"	"ANLN"	"ANLN"	NA	"c"
"217"	"Annexin"	"MDACC"	"Annexin"	"ANXA1"	NA	"c"
"218"	"Annexin_GBL9008513"	"MDACC"	"Annexin"	"ANXA1"	NA	"c"
"219"	"ANNEXIN1"	"MDACC"	"AnnexinI"	"ANXA1"	NA	"c"
"220"	"Annexin.I"	"MDACC"	"AnnexinI"	"ANXA1"	NA	"c"
"221"	"Annexin_I"	"MDACC"	"AnnexinI"	"ANXA1"	NA	"c"
"222"	"Annexin_I.R.V_GBL.9013812"	"MDACC"	"AnnexinI"	"ANXA1"	NA	"c"
"223"	"Annexin_I.R.V_GBL9026179"	"MDACC"	"AnnexinI"	"ANXA1"	NA	"c"
"224"	"Annexin.I.M.V_GBL1033912"	"MDACC"	"AnnexinI"	"ANXA1"	NA	"c"
"225"	"Annexin.I.M.V_GBL1113376"	"MDACC"	"AnnexinI"	"ANXA1"	NA	"c"
"226"	"Annexin.I.M.V_GBL1115055"	"MDACC"	"AnnexinI"	"ANXA1"	NA	"c"
"227"	"ANNEXINVII"	"MDACC"	"AnnexinVII"	"ANXA1"	NA	"c"
"228"	"Annexin.VII"	"MDACC"	"AnnexinVII"	"ANXA1"	NA	"c"
"229"	"Annexin.VII.M.V_GBL1033907"	"MDACC"	"AnnexinVII"	"ANXA1"	NA	"c"
"230"	"Annexin.VII.M.V_GBL1113371"	"MDACC"	"AnnexinVII"	"ANXA1"	NA	"c"
"231"	"Annexin.VII.M.V_GBL1115050"	"MDACC"	"AnnexinVII"	"ANXA1"	NA	"c"
"232"	"AR"	"MDACC"	"AR"	"AR"	NA	"c"
"233"	"AR_RS00273605"	"MDACC"	"AR"	"AR"	NA	"c"
"234"	"AR_RS00275696"	"MDACC"	"AR"	"AR"	NA	"c"
"235"	"AR_V"	"MDACC"	"AR"	"AR"	NA	"c"
"236"	"AR.R.V_GBL.9013813"	"MDACC"	"AR"	"AR"	NA	"c"
"237"	"AR.R.V_GBL1033738"	"MDACC"	"AR"	"AR"	NA	"c"
"238"	"AR.R.V_GBL1113229"	"MDACC"	"AR"	"AR"	NA	"c"
"239"	"AR.R.V_GBL1115200"	"MDACC"	"AR"	"AR"	NA	"c"
"240"	"AR.R.V_GBL9026335"	"MDACC"	"AR"	"AR"	NA	"c"
"241"	"AR(AR441)(mouse)_GBL9008523"	"MDACC"	"AR"	"AR"	NA	"c"
"242"	"AR(C19)_GBL9008565"	"MDACC"	"AR"	"AR"	NA	"c"
"243"	"AR(N20)_GBL9008524"	"MDACC"	"AR"	"AR"	NA	"c"
"244"	"AR(N20)_GBL9008580"	"MDACC"	"AR"	"AR"	NA	"c"
"245"	"AR(V)_GBL9007914"	"MDACC"	"AR"	"AR"	NA	"c"
"246"	"ARHI.M.C_GBL1033929"	"MDACC"	"ARHI"	"DIRAS3 "	NA	"c"
"247"	"ARHI.M.C_GBL1113379"	"MDACC"	"ARHI"	"DIRAS3 "	NA	"c"
"248"	"ARHI.M.C_GBL1115171"	"MDACC"	"ARHI"	"DIRAS3 "	NA	"c"
"249"	"ARID1A"	"MDACC"	"ARID1A"	"ARID1A"	NA	"c"
"250"	"ARID1A.R.C_GBL1115009"	"MDACC"	"ARID1A"	"ARID1A"	NA	"c"
"251"	"ASNS"	"MDACC"	"ASNS"	"ASNS"	NA	"c"
"252"	"ASNS_GBL9008566"	"MDACC"	"ASNS"	"ASNS"	NA	"c"
"253"	"Atg3"	"MDACC"	"ATG3"	"ATG3"	NA	"c"
"254"	"ATG5"	"MDACC"	"ATG5"	"ATG5"	NA	"c"
"255"	"ATG7"	"MDACC"	"ATG7"	"ATG7"	NA	"c"
"256"	"Atg7"	"MDACC"	"ATG7"	"ATG7"	NA	"c"
"257"	"ATG12"	"MDACC"	"ATG12"	"ATG12"	NA	"c"
"258"	"ATM_GBL9008598"	"MDACC"	"ATM"	"ATM"	NA	"c"
"259"	"ATM_PS1981"	"MDACC"	"ATMpS1981"	"ATM"	"S1981"	"a"
"260"	"ATM_pS1981"	"MDACC"	"ATMpS1981"	"ATM"	"S1981"	"a"
"261"	"ATM_pS1981_mouse"	"MDACC"	"ATMpS1981"	"ATM"	"S1981"	"a"
"262"	"ATM_pS1981_RS00276380 (mouse)"	"MDACC"	"ATMpS1981"	"ATM"	"S1981"	"a"
"263"	"ATM_pS1981_RS00276600 (mouse) (1_4000)"	"MDACC"	"ATMpS1981"	"ATM"	"S1981"	"a"
"264"	"ATM_pS1981.R.V_GBL1033875"	"MDACC"	"ATMpS1981"	"ATM"	"S1981"	"a"
"265"	"ATM_pS1981.R.V_GBL1113336"	"MDACC"	"ATMpS1981"	"ATM"	"S1981"	"a"
"266"	"ATM_pS1981.wR.V_GBL1115133"	"MDACC"	"ATMpS1981"	"ATM"	"S1981"	"a"
"267"	"ATM_pS1981(mouse)(V)_GBL9007888"	"MDACC"	"ATMpS1981"	"ATM"	"S1981"	"a"
"268"	"ATM"	"MDACC"	"ATM"	"ATM"	NA	"c"
"269"	"ATM_RS00275792"	"MDACC"	"ATM"	"ATM"	NA	"c"
"270"	"ATM.R_GBL.9013814"	"MDACC"	"ATM"	"ATM"	NA	"c"
"271"	"ATM.R.V_GBL1033874"	"MDACC"	"ATM"	"ATM"	NA	"c"
"272"	"ATM.R.V_GBL1113335"	"MDACC"	"ATM"	"ATM"	NA	"c"
"273"	"ATM.R.V_GBL1115001"	"MDACC"	"ATM"	"ATM"	NA	"c"
"274"	"ATP_SYNTHASE_SUBUNIT_A"	"MDACC"	"ATP5A"	"ATP5F1A"	NA	"c"
