abname2	TS	abname	spCorr	p_val
ER.alpha.R.V_GBL9026215	10.11452663	ER.alpha.R.V_GBL9026215	-0.296969712	0.404701647
AIB1.M.V_GBL9026302	10.08825383	AIB1.M.V_GBL9026302	-0.781818211	0.007547004
Akt.R.V_GBL9026174	9.625959563	Akt.R.V_GBL9026174	-0.842424214	0.002220033
Rab11.R.V_GBL9026276	9.221197925	Rab11.R.V_GBL9026276	-0.551515162	0.098401169
mTOR.R.V_GBL9026239	8.576457201	mTOR.R.V_GBL9026239	-0.418181807	0.229112855
INPP4B.G.C_GBL9026331	8.538034851	INPP4B.G.C_GBL9026331	-0.072948664	0.841271269
FOXO3a.R.C_GBL9026219	8.387190209	FOXO3a.R.C_GBL9026219	-0.903030276	0.000343613
p70S6K.R.V_GBL9026254	6.96843707	p70S6K.R.V_GBL9026254	-0.684848487	0.028882797
FAK.R.C_GBL9026218	6.024637126	FAK.R.C_GBL9026218	-0.151515156	0.676065167
MSH6.R.C_GBL9026238	5.813418834	MSH6.R.C_GBL9026238	-0.878787875	0.000813862
CD31.M.V_GBL9026349	5.734414083	CD31.M.V_GBL9026349	-0.624242425	0.053717767
AR.R.V_GBL9026335	5.603766019	AR.R.V_GBL9026335	-0.418181807	0.229112855
MEK1.R.V_GBL9026234	5.381684016	MEK1.R.V_GBL9026234	-0.721212149	0.018573148
Bak.R.C_GBL9026182	5.213802251	Bak.R.C_GBL9026182	-0.600000024	0.066687986
Caspase.9_cleavedD330.R.C_GBL9026193	5.212406666	Caspase.9_cleavedD330.R.C_GBL9026193	-0.006060606	0.986742912
JNK2.R.C_GBL9026230	5.03001438	JNK2.R.C_GBL9026230	-0.806060612	0.004862061
N.Cadherin.R.V_GBL9026341	4.309586019	N.Cadherin.R.V_GBL9026341	-0.078787878	0.828717396
Caveolin.1.R.V_GBL9026195	4.303617762	Caveolin.1.R.V_GBL9026195	-0.781818211	0.007547004
Notch3.R.C_GBL9026246	4.152039337	Notch3.R.C_GBL9026246	0.672727287	0.033041217
X53BP1.R.C_GBL9026171	3.984326547	X53BP1.R.C_GBL9026171	-0.806060612	0.004862061
ERCC1.M.C_GBL9026309	3.91808545	ERCC1.M.C_GBL9026309	0.115151517	0.751419648
p53.R.V_GBL9026346	3.776120022	p53.R.V_GBL9026346	-0.212121218	0.556305763
EGFR.CST2232..R.C_GBL9026334	3.755732253	EGFR.CST2232..R.C_GBL9026334	-0.478787869	0.161522938
STAT5.alpha.R.V_GBL9026288	3.566209947	STAT5.alpha.R.V_GBL9026288	0.042424243	0.907363817
Cyclin_D1.R.V_GBL9026205	3.475195868	Cyclin_D1.R.V_GBL9026205	0.175757572	0.627188352
eEF2.R.V_GBL9026208	3.392829522	eEF2.R.V_GBL9026208	-0.5030303	0.138333701
Dvl3.R.V_GBL9026207	3.374645722	Dvl3.R.V_GBL9026207	-0.878787875	0.000813862
p38_MAPK.R.C_GBL9026251	3.31120351	p38_MAPK.R.C_GBL9026251	-0.890909076	0.000542145
NF2.R.C_GBL9026243	2.680913516	NF2.R.C_GBL9026243	-0.527272701	0.117308087
C.Raf.R.V_GBL9026278	2.561469865	C.Raf.R.V_GBL9026278	0.309090912	0.384841225
c.Jun_pS73.R.C_GBL9026231	2.538898838	c.Jun_pS73.R.C_GBL9026231	-0.127272725	0.726057019
K.Ras.M.C_GBL9026322	2.178293438	K.Ras.M.C_GBL9026322	0.078787878	0.828717396
Tau.M.C_GBL9026329	1.961668528	Tau.M.C_GBL9026329	0.539393961	0.107593171
VASP.R.C_GBL9026294	1.931885972	VASP.R.C_GBL9026294	0.187878788	0.603217611
eEF2K.R.V_GBL9026209	1.850934175	eEF2K.R.V_GBL9026209	-0.127272725	0.726057019
X4E.BP1.R.V_GBL9026169	1.475454744	X4E.BP1.R.V_GBL9026169	0.660606086	0.037588368
Paxillin.R.V_GBL9026257	1.128125128	Paxillin.R.V_GBL9026257	0.06666667	0.854813081
c.Kit.R.V_GBL9026344	0.995978872	c.Kit.R.V_GBL9026344	0.709090889	0.021665929
GSK3.alpha.beta.M.V_GBL9026312	0.792369078	GSK3.alpha.beta.M.V_GBL9026312	0.515151501	0.127552882
Beclin.G.V_GBL9026330	0	Beclin.G.V_GBL9026330	NaN	NaN
Chk1.R.C_GBL9026197	0	Chk1.R.C_GBL9026197	NaN	NaN
Chk1_pS345.R.C_GBL9026198	0	Chk1_pS345.R.C_GBL9026198	NaN	NaN
Chk2.M.C_GBL9026306	0	Chk2.M.C_GBL9026306	NaN	NaN
Chk2_pT68.R.C_GBL9026199	0	Chk2_pT68.R.C_GBL9026199	NaN	NaN
PARP_cleaved.M.C_GBL9026317	0	PARP_cleaved.M.C_GBL9026317	NaN	NaN
PCNA.M.V_GBL9026318	0	PCNA.M.V_GBL9026318	NaN	NaN
Smad1.R.V_GBL9026283	0	Smad1.R.V_GBL9026283	NaN	NaN
Smad3.R.V_GBL9026284	0	Smad3.R.V_GBL9026284	NaN	NaN
Smad4.M.V_GBL9026325	0	Smad4.M.V_GBL9026325	NaN	NaN
TIGAR.R.V_GBL9026292	0	TIGAR.R.V_GBL9026292	NaN	NaN
XRCC1.R.C_GBL9026297	0	XRCC1.R.C_GBL9026297	NaN	NaN
Rad50.M.C_GBL9026320	-0.771257771	Rad50.M.C_GBL9026320	-0.478787869	0.161522938
cIAP.R.V_GBL9026200	-1.48704979	cIAP.R.V_GBL9026200	-0.528877795	0.115991344
Cyclin_E1.M.V_GBL9026308	-1.78534569	Cyclin_E1.M.V_GBL9026308	-0.721212149	0.018573148
HER3_pY1298.R.C_GBL9026225	-1.863365737	HER3_pY1298.R.C_GBL9026225	-0.272727281	0.445838327
MEK1_pS217_S221.R.V_GBL9026345	-2.714238626	MEK1_pS217_S221.R.V_GBL9026345	0.806060612	0.004862061
Syk.M.V_GBL9026328	-2.829728075	Syk.M.V_GBL9026328	0.006060606	0.986742912
Annexin_I.R.V_GBL9026179	-2.96018423	Annexin_I.R.V_GBL9026179	0.769696951	0.009221956
Caspase.3_active.R.C_GBL9026352	-3.064237797	Caspase.3_active.R.C_GBL9026352	0.418181807	0.229112855
DJ.1.R.C_GBL9026206	-3.104497715	DJ.1.R.C_GBL9026206	-0.890909076	0.000542145
Snail.M.C_GBL9026326	-3.671899979	Snail.M.C_GBL9026326	0.151515156	0.676065167
MAPK_pT202_Y204.R.V_GBL9026233	-3.941627608	MAPK_pT202_Y204.R.V_GBL9026233	-0.006060606	0.986742912
PTCH.R.C_GBL9026274	-4.462884181	PTCH.R.C_GBL9026274	0.5030303	0.138333701
Caspase.7_cleavedD198.R.C_GBL9026353	-5.253832115	Caspase.7_cleavedD198.R.C_GBL9026353	0.830303013	0.002940228
IGFBP2.R.V_GBL9026227	-5.40300917	IGFBP2.R.V_GBL9026227	0.321212113	0.365468324
Claudin.7.R.V_GBL9026201	-5.467610918	Claudin.7.R.V_GBL9026201	0.030303031	0.933772956
Mre11.R.C_GBL9026237	-5.907372874	Mre11.R.C_GBL9026237	-0.139393941	0.700931882
GATA3.M.V_GBL9026310	-6.019251757	GATA3.M.V_GBL9026310	0.200000003	0.579583994
AMPK_alpha.R.C_GBL9026177	-6.080136078	AMPK_alpha.R.C_GBL9026177	-0.090909094	0.802771725
PTEN.R.V_GBL9026275	-6.142690462	PTEN.R.V_GBL9026275	0.866666675	0.001173538
c.Met.M.C_GBL9026314	-6.218912593	c.Met.M.C_GBL9026314	0.636363626	0.047911731
PI3K.p110.alpha.R.C_GBL9026269	-6.236684503	PI3K.p110.alpha.R.C_GBL9026269	0.042424243	0.907363817
ACC1.R.C_GBL9026173	-6.72111256	ACC1.R.C_GBL9026173	-0.733333349	0.015800593
E.Cadherin.R.V_GBL9026188	-6.94740361	E.Cadherin.R.V_GBL9026188	0.103030302	0.776998466
Rad51.M.C_GBL9026321	-7.096745239	Rad51.M.C_GBL9026321	-0.830303013	0.002940228
Bcl.xL.R.V_GBL9026339	-7.17538284	Bcl.xL.R.V_GBL9026339	0.781818211	0.007547004
PDK1_pS241.R.V_GBL9026258	-7.568433536	PDK1_pS241.R.V_GBL9026258	-0.406060606	0.244282294
Notch1.R.V_GBL9026244	-7.806775	Notch1.R.V_GBL9026244	0.781818211	0.007547004
Bcl.X.R.C_GBL9026338	-8.193327255	Bcl.X.R.C_GBL9026338	0.369696975	0.293050068
alpha.Catenin.M.V_GBL9026304	-8.415628929	alpha.Catenin.M.V_GBL9026304	0.778119087	0.00803314
XIAP.R.C_GBL9026296	-8.715167035	XIAP.R.C_GBL9026296	0.951515138	2.28E-05
X14.3.3_epsilon.M.C_GBL9026348	-9.533538642	X14.3.3_epsilon.M.C_GBL9026348	0.303952783	0.393201096
YB.1.R.V_GBL9026332	-10.4780022	YB.1.R.V_GBL9026332	0.309090912	0.384841225
Smac.M.V_GBL9026324	-10.91566444	Smac.M.V_GBL9026324	0.406060606	0.244282294
MSH2.M.C_GBL9026316	-10.96711082	MSH2.M.C_GBL9026316	-0.418181807	0.229112855
MIG.6.M.V_GBL9026315	-11.0642463	MIG.6.M.V_GBL9026315	0.830303013	0.002940228
beta.Catenin.R.V_GBL9026194	-12.17709396	beta.Catenin.R.V_GBL9026194	0.406060606	0.244282294
AMPK_pT172.R.V_GBL9026178	-12.74678292	AMPK_pT172.R.V_GBL9026178	0.818181813	0.003814921
CDK1.R.V_GBL9026196	-13.1943365	CDK1.R.V_GBL9026196	0.806060612	0.004862061
VEGFR2.R.V_GBL9026347	-13.39610132	VEGFR2.R.V_GBL9026347	-0.818181813	0.003814921
p90RSK_pT359_S363.R.C_GBL9026256	-13.40995302	p90RSK_pT359_S363.R.C_GBL9026256	0.709090889	0.021665929
HER3.R.V_GBL9026224	-13.67284948	HER3.R.V_GBL9026224	0.854545474	0.001636802
Src_pY416.R.C_GBL9026285	-14.88171431	Src_pY416.R.C_GBL9026285	0.74545455	0.013330145
HER2_pY1248.R.V_GBL9026223	-14.93056898	HER2_pY1248.R.V_GBL9026223	0.212121218	0.556305763
S6_pS240_S244.R.V_GBL9026282	-15.43545801	S6_pS240_S244.R.V_GBL9026282	0.951515138	2.28E-05
Rb.M.V_GBL9026323	-15.67708777	Rb.M.V_GBL9026323	-0.478787869	0.161522938
PKC.alpha_pS657.R.V_GBL9026271	-15.75867482	PKC.alpha_pS657.R.V_GBL9026271	0.236363634	0.510885321
NF.kB.p65_pS536.R.C_GBL9026242	-16.80493185	NF.kB.p65_pS536.R.C_GBL9026242	0.454545468	0.186904796
Tuberin.R.C_GBL9026293	-17.09678182	Tuberin.R.C_GBL9026293	0.672727287	0.033041217
Bim.R.V_GBL9026351	-17.23435454	Bim.R.V_GBL9026351	0.878787875	0.000813862
p27.R.V_GBL9026248	-17.24187896	p27.R.V_GBL9026248	0.842424214	0.002220033
Bid.R.C_GBL9026340	-17.24303918	Bid.R.C_GBL9026340	0.296969712	0.404701647
S6_pS235_S236.R.V_GBL9026281	-17.56274762	S6_pS235_S236.R.V_GBL9026281	0.951515138	2.28E-05
IGF.1R.beta.R.C_GBL9026226	-20.40010665	IGF.1R.beta.R.C_GBL9026226	0.5030303	0.138333701
Src_pY527.R.V_GBL9026286	-20.68245585	Src_pY527.R.V_GBL9026286	0.4909091	0.149655665
GSK3_pS9.R.V_GBL9026221	-20.86636997	GSK3_pS9.R.V_GBL9026221	0.26060605	0.467089072
JNK_pT183_pT185.R.V_GBL9026343	-24.21395169	JNK_pT183_pT185.R.V_GBL9026343	0.878787875	0.000813862
ACC_pS79.R.V_GBL9026172	-24.2676145	ACC_pS79.R.V_GBL9026172	0.357575744	0.310376111
Src.M.V_GBL9026327	-24.5206405	Src.M.V_GBL9026327	0.5030303	0.138333701
Cyclin_B1.R.V_GBL9026204	-27.58998472	Cyclin_B1.R.V_GBL9026204	0.5030303	0.138333701
p38_pT180_Y182.R.V_GBL9026252	-27.60175463	p38_pT180_Y182.R.V_GBL9026252	0.284848481	0.425038161
mTOR_.pS2448.R.C_GBL9026240	-30.15531164	mTOR_.pS2448.R.C_GBL9026240	0.939393938	5.48E-05
YAP_pS127.R.C_GBL9026299	-31.95750547	YAP_pS127.R.C_GBL9026299	0.951515138	2.28E-05
X4E.BP1_pS65.R.V_GBL9026170	-32.00338179	X4E.BP1_pS65.R.V_GBL9026170	0.927272737	0.000112034
c.Myc.R.C_GBL9026241	-33.51327351	c.Myc.R.C_GBL9026241	0.709090889	0.021665929
Akt_pT308.R.V_GBL9026176	-33.81227126	Akt_pT308.R.V_GBL9026176	0.418181807	0.229112855
PRAS40_pT246.R.V_GBL9026273	-33.88406804	PRAS40_pT246.R.V_GBL9026273	0.975757599	1.47E-06
p70S6K_pT389.R.V_GBL9026255	-34.55471902	p70S6K_pT389.R.V_GBL9026255	0.903030276	0.000343613
Bad_pS112.R.V_GBL9026336	-35.07731116	Bad_pS112.R.V_GBL9026336	0.939393938	5.48E-05
YB.1_pS102.R.V_GBL9026333	-35.4336168	YB.1_pS102.R.V_GBL9026333	0.466666669	0.173938595
Rb_pS807_S811.R.V_GBL9026280	-36.34519406	Rb_pS807_S811.R.V_GBL9026280	0.951515138	2.28E-05
EGFR_pY1173.R.C_GBL9026212	-36.65815858	EGFR_pY1173.R.C_GBL9026212	0.442424238	0.200422692
Akt_pS473.R.V_GBL9026175	-38.16690922	Akt_pS473.R.V_GBL9026175	0.539393961	0.107593171
C.Raf_pS338.R.C_GBL9026279	-39.09915942	C.Raf_pS338.R.C_GBL9026279	0.915151536	0.000204472
TFF1.R.V_GBL9026291	-40.82492827	TFF1.R.V_GBL9026291	0.127272725	0.726057019
ER.alpha_pS118.R.V_GBL9026217	-42.58859254	ER.alpha_pS118.R.V_GBL9026217	0.903030276	0.000343613
EGFR_pY992.R.V_GBL9026213	-46.30074326	EGFR_pY992.R.V_GBL9026213	0.442424238	0.200422692
p21.R.C_GBL9026247	-50.63311632	p21.R.C_GBL9026247	0.296969712	0.404701647
STAT3_pY705.R.V_GBL9026287	-55.39037019	STAT3_pY705.R.V_GBL9026287	0.818181813	0.003814921
EGFR_pY1068.R.V_GBL9026211	-63.72133621	EGFR_pY1068.R.V_GBL9026211	0.587878764	0.073877722
