abname2	TS	abname	spCorr	p_val
c.Met_pY1235.R.C_GBL9026236	10.96414882	c.Met_pY1235.R.C_GBL9026236	-0.030303031	0.933772956
MSH6.R.C_GBL9026238	10.63774905	MSH6.R.C_GBL9026238	-0.927272737	0.000112034
MEK1.R.V_GBL9026234	10.05520507	MEK1.R.V_GBL9026234	-0.890909076	0.000542145
Caspase.3_active.R.C_GBL9026352	9.925070962	Caspase.3_active.R.C_GBL9026352	0.236363634	0.510885321
Notch1.R.V_GBL9026244	9.275042507	Notch1.R.V_GBL9026244	-0.818181813	0.003814921
K.Ras.M.C_GBL9026322	9.262482531	K.Ras.M.C_GBL9026322	-0.442424238	0.200422692
p90RSK_pT359_S363.R.C_GBL9026256	9.055888041	p90RSK_pT359_S363.R.C_GBL9026256	-0.600000024	0.066687986
IRS1.R.V_GBL9026228	8.349866421	IRS1.R.V_GBL9026228	-0.418181807	0.229112855
Akt.R.V_GBL9026174	7.70806831	Akt.R.V_GBL9026174	-0.551515162	0.098401169
PTCH.R.C_GBL9026274	7.472701168	PTCH.R.C_GBL9026274	-0.733333349	0.015800593
VASP.R.C_GBL9026294	7.427242267	VASP.R.C_GBL9026294	0.430303037	0.214492324
p53.R.V_GBL9026346	7.313013695	p53.R.V_GBL9026346	-0.636363626	0.047911731
X53BP1.R.C_GBL9026171	7.224539244	X53BP1.R.C_GBL9026171	-0.939393938	5.48E-05
PI3K.p85.R.V_GBL9026270	7.052359627	PI3K.p85.R.V_GBL9026270	-0.563636363	0.089724029
Bcl.xL.R.V_GBL9026339	6.918178149	Bcl.xL.R.V_GBL9026339	0.442424238	0.200422692
FOXO3a.R.C_GBL9026219	6.84688598	FOXO3a.R.C_GBL9026219	-0.733333349	0.015800593
Claudin.7.R.V_GBL9026201	6.302095255	Claudin.7.R.V_GBL9026201	-0.793939412	0.006099921
IGF.1R.beta.R.C_GBL9026226	5.984080883	IGF.1R.beta.R.C_GBL9026226	0.26060605	0.467089072
c.Kit.R.V_GBL9026344	5.916233776	c.Kit.R.V_GBL9026344	-0.575757563	0.081552823
EGFR.R.C_GBL9026210	5.763512074	EGFR.R.C_GBL9026210	-0.042424243	0.907363817
ERCC1.M.C_GBL9026309	5.700430204	ERCC1.M.C_GBL9026309	0.139393941	0.700931882
YAP.R.V_GBL9026298	5.324041053	YAP.R.V_GBL9026298	0.236363634	0.510885321
EGFR_pY1173.R.C_GBL9026212	5.288465658	EGFR_pY1173.R.C_GBL9026212	-0.563636363	0.089724029
Fibronectin.R.C_GBL9026216	4.417272135	Fibronectin.R.C_GBL9026216	-0.74545455	0.013330145
Tuberin.R.C_GBL9026293	4.357971938	Tuberin.R.C_GBL9026293	-0.866666675	0.001173538
EGFR_pY992.R.V_GBL9026213	4.320014939	EGFR_pY992.R.V_GBL9026213	-0.006060606	0.986742912
Dvl3.R.V_GBL9026207	3.814020933	Dvl3.R.V_GBL9026207	-0.296969712	0.404701647
Bad_pS112.R.V_GBL9026336	3.795522327	Bad_pS112.R.V_GBL9026336	0.442424238	0.200422692
GATA3.M.V_GBL9026310	3.781203933	GATA3.M.V_GBL9026310	0.527272701	0.117308087
EGFR.CST2232..R.C_GBL9026334	3.357969934	EGFR.CST2232..R.C_GBL9026334	0.539393961	0.107593171
IGFBP2.R.V_GBL9026227	2.624834171	IGFBP2.R.V_GBL9026227	-0.806060612	0.004862061
AR.R.V_GBL9026335	2.512033043	AR.R.V_GBL9026335	0.527272701	0.117308087
p70S6K.R.V_GBL9026254	2.51064989	p70S6K.R.V_GBL9026254	-0.668696105	0.034509539
FAK.R.C_GBL9026218	2.209563484	FAK.R.C_GBL9026218	-0.175757572	0.627188352
Cyclin_D1.R.V_GBL9026205	2.147069659	Cyclin_D1.R.V_GBL9026205	0.357575744	0.310376111
Akt_pS473.R.V_GBL9026175	2.03833439	Akt_pS473.R.V_GBL9026175	0.74545455	0.013330145
eEF2K.R.V_GBL9026209	2.005178689	eEF2K.R.V_GBL9026209	-0.103343941	0.776334063
TAZ_pS89.R.C_GBL9026290	1.821073789	TAZ_pS89.R.C_GBL9026290	0.518302321	0.124838491
NF2.R.C_GBL9026243	1.738763909	NF2.R.C_GBL9026243	-0.419454813	0.227551525
eEF2.R.V_GBL9026208	1.734311017	eEF2.R.V_GBL9026208	-0.357575744	0.310376111
p70S6K_pT389.R.V_GBL9026255	1.10294853	p70S6K_pT389.R.V_GBL9026255	0.806060612	0.004862061
MSH2.M.C_GBL9026316	1.028080434	MSH2.M.C_GBL9026316	-0.890909076	0.000542145
p27.R.V_GBL9026248	0.680561687	p27.R.V_GBL9026248	0.284848481	0.425038161
X14.3.3_epsilon.M.C_GBL9026348	0.563220583	X14.3.3_epsilon.M.C_GBL9026348	-0.662617028	0.036806408
MEK1_pS217_S221.R.V_GBL9026345	0.454628617	MEK1_pS217_S221.R.V_GBL9026345	-0.212121218	0.556305763
Rab25.R.C_GBL9026277	0.36453306	Rab25.R.C_GBL9026277	0.442424238	0.200422692
CD31.M.V_GBL9026349	0.345446631	CD31.M.V_GBL9026349	-0.650458932	0.041705451
CDK1.R.V_GBL9026196	0.240992447	CDK1.R.V_GBL9026196	0.381818175	0.276255342
Bak.R.C_GBL9026182	0.217808971	Bak.R.C_GBL9026182	-0.139393941	0.700931882
GSK3.alpha.beta.M.V_GBL9026312	0.166584603	GSK3.alpha.beta.M.V_GBL9026312	-0.5030303	0.138333701
C.Raf.R.V_GBL9026278	0.041582303	C.Raf.R.V_GBL9026278	0.407296717	0.242710267
PR.R.V_GBL9026272	0.010663476	PR.R.V_GBL9026272	0.042424243	0.907363817
Beclin.G.V_GBL9026330	0	Beclin.G.V_GBL9026330	NaN	NaN
Chk1.R.C_GBL9026197	0	Chk1.R.C_GBL9026197	NaN	NaN
Chk1_pS345.R.C_GBL9026198	0	Chk1_pS345.R.C_GBL9026198	NaN	NaN
Chk2.M.C_GBL9026306	0	Chk2.M.C_GBL9026306	NaN	NaN
Chk2_pT68.R.C_GBL9026199	0	Chk2_pT68.R.C_GBL9026199	NaN	NaN
PARP_cleaved.M.C_GBL9026317	0	PARP_cleaved.M.C_GBL9026317	NaN	NaN
PCNA.M.V_GBL9026318	0	PCNA.M.V_GBL9026318	NaN	NaN
Smad1.R.V_GBL9026283	0	Smad1.R.V_GBL9026283	NaN	NaN
Smad3.R.V_GBL9026284	0	Smad3.R.V_GBL9026284	NaN	NaN
Smad4.M.V_GBL9026325	0	Smad4.M.V_GBL9026325	NaN	NaN
TIGAR.R.V_GBL9026292	0	TIGAR.R.V_GBL9026292	NaN	NaN
XRCC1.R.C_GBL9026297	0	XRCC1.R.C_GBL9026297	NaN	NaN
X4E.BP1.R.V_GBL9026169	-0.276907176	X4E.BP1.R.V_GBL9026169	-0.369696975	0.293050068
YB.1_pS102.R.V_GBL9026333	-0.347536971	YB.1_pS102.R.V_GBL9026333	0.200000003	0.579583994
Bax.R.V_GBL9026183	-0.433782218	Bax.R.V_GBL9026183	0.151515156	0.676065167
HER2.M.V_GBL9026313	-0.534305547	HER2.M.V_GBL9026313	0.224242419	0.533400571
Annexin_I.R.V_GBL9026179	-0.809137564	Annexin_I.R.V_GBL9026179	0.054545455	0.881036181
P.Cadherin.R.C_GBL9026342	-1.032548164	P.Cadherin.R.C_GBL9026342	-0.553194046	0.09716879
p38_MAPK.R.C_GBL9026251	-1.12242385	p38_MAPK.R.C_GBL9026251	-0.660606086	0.037588368
DJ.1.R.C_GBL9026206	-1.162553843	DJ.1.R.C_GBL9026206	-0.406060606	0.244282294
c.Myc.R.C_GBL9026241	-2.015287581	c.Myc.R.C_GBL9026241	0.854545474	0.001636802
ER.alpha.R.V_GBL9026215	-2.315134689	ER.alpha.R.V_GBL9026215	-0.212121218	0.556305763
VEGFR2.R.V_GBL9026347	-2.473354252	VEGFR2.R.V_GBL9026347	0.418181807	0.229112855
STAT5.alpha.R.V_GBL9026288	-2.554896678	STAT5.alpha.R.V_GBL9026288	-0.224242419	0.533400571
PTEN.R.V_GBL9026275	-2.838681584	PTEN.R.V_GBL9026275	0.709090889	0.021665929
Bcl.X.R.C_GBL9026338	-3.143441405	Bcl.X.R.C_GBL9026338	0.478787869	0.161522938
Mre11.R.C_GBL9026237	-3.148240634	Mre11.R.C_GBL9026237	0.430303037	0.214492324
mTOR_.pS2448.R.C_GBL9026240	-3.250357976	mTOR_.pS2448.R.C_GBL9026240	0.963636339	7.32E-06
PI3K.p110.alpha.R.C_GBL9026269	-3.460777031	PI3K.p110.alpha.R.C_GBL9026269	0.854545474	0.001636802
STAT3_pY705.R.V_GBL9026287	-3.634513936	STAT3_pY705.R.V_GBL9026287	0.684848487	0.028882797
C.Raf_pS338.R.C_GBL9026279	-3.654248483	C.Raf_pS338.R.C_GBL9026279	-0.296969712	0.404701647
cIAP.R.V_GBL9026200	-3.660943206	cIAP.R.V_GBL9026200	0.881463051	0.000746861
Bid.R.C_GBL9026340	-3.675076842	Bid.R.C_GBL9026340	0.236363634	0.510885321
INPP4B.G.C_GBL9026331	-4.20815567	INPP4B.G.C_GBL9026331	0.4909091	0.149655665
Bcl.2.M.V_GBL9026303	-4.303311272	Bcl.2.M.V_GBL9026303	0.806060612	0.004862061
alpha.Catenin.M.V_GBL9026304	-4.459564048	alpha.Catenin.M.V_GBL9026304	0.636363626	0.047911731
Rb.M.V_GBL9026323	-4.529985973	Rb.M.V_GBL9026323	-0.600000024	0.066687986
JNK2.R.C_GBL9026230	-4.541767448	JNK2.R.C_GBL9026230	-0.078787878	0.828717396
AIB1.M.V_GBL9026302	-4.875691217	AIB1.M.V_GBL9026302	0.430303037	0.214492324
Caspase.7_cleavedD198.R.C_GBL9026353	-5.039882765	Caspase.7_cleavedD198.R.C_GBL9026353	0.903030276	0.000343613
HER3.R.V_GBL9026224	-5.225414709	HER3.R.V_GBL9026224	0.875383973	0.000905326
ACC1.R.C_GBL9026173	-5.281622393	ACC1.R.C_GBL9026173	0.624242425	0.053717767
X4E.BP1_pS65.R.V_GBL9026170	-5.316216993	X4E.BP1_pS65.R.V_GBL9026170	0.818181813	0.003814921
Cyclin_E1.M.V_GBL9026308	-5.506288609	Cyclin_E1.M.V_GBL9026308	0.769696951	0.009221956
Cyclin_B1.R.V_GBL9026204	-6.625070013	Cyclin_B1.R.V_GBL9026204	0.478787869	0.161522938
NF.kB.p65_pS536.R.C_GBL9026242	-6.74307415	NF.kB.p65_pS536.R.C_GBL9026242	0.06666667	0.854813081
c.Met.M.C_GBL9026314	-6.839479235	c.Met.M.C_GBL9026314	0.672727287	0.033041217
YB.1.R.V_GBL9026332	-7.447816164	YB.1.R.V_GBL9026332	0.309090912	0.384841225
ER.alpha_pS118.R.V_GBL9026217	-7.671115619	ER.alpha_pS118.R.V_GBL9026217	0.769696951	0.009221956
AMPK_alpha.R.C_GBL9026177	-8.703420596	AMPK_alpha.R.C_GBL9026177	0.624242425	0.053717767
TFF1.R.V_GBL9026291	-9.644045715	TFF1.R.V_GBL9026291	-0.26060605	0.467089072
MIG.6.M.V_GBL9026315	-9.786466585	MIG.6.M.V_GBL9026315	0.357575744	0.310376111
Rad50.M.C_GBL9026320	-9.835246357	Rad50.M.C_GBL9026320	0.030303031	0.933772956
mTOR.R.V_GBL9026239	-9.927950457	mTOR.R.V_GBL9026239	0.830303013	0.002940228
Caveolin.1.R.V_GBL9026195	-9.978736807	Caveolin.1.R.V_GBL9026195	0.74545455	0.013330145
S6_pS235_S236.R.V_GBL9026281	-10.60371393	S6_pS235_S236.R.V_GBL9026281	0.842424214	0.002220033
Paxillin.R.V_GBL9026257	-10.91931167	Paxillin.R.V_GBL9026257	0.769696951	0.009221956
JNK_pT183_pT185.R.V_GBL9026343	-11.02231973	JNK_pT183_pT185.R.V_GBL9026343	0.624242425	0.053717767
Rad51.M.C_GBL9026321	-11.61127517	Rad51.M.C_GBL9026321	-0.4909091	0.149655665
S6_pS240_S244.R.V_GBL9026282	-11.67004388	S6_pS240_S244.R.V_GBL9026282	0.830303013	0.002940228
Smac.M.V_GBL9026324	-12.05959606	Smac.M.V_GBL9026324	0.442424238	0.200422692
XIAP.R.C_GBL9026296	-12.06616166	XIAP.R.C_GBL9026296	0.927272737	0.000112034
Caspase.9_cleavedD330.R.C_GBL9026193	-12.41107664	Caspase.9_cleavedD330.R.C_GBL9026193	0.648484826	0.042540137
AMPK_pT172.R.V_GBL9026178	-12.79382801	AMPK_pT172.R.V_GBL9026178	0.927272737	0.000112034
EGFR_pY1068.R.V_GBL9026211	-12.93043867	EGFR_pY1068.R.V_GBL9026211	0.018181818	0.960240419
beta.Catenin.R.V_GBL9026194	-15.07527774	beta.Catenin.R.V_GBL9026194	0.963636339	7.32E-06
Syk.M.V_GBL9026328	-15.11576263	Syk.M.V_GBL9026328	0.854545474	0.001636802
Tau.M.C_GBL9026329	-15.2060761	Tau.M.C_GBL9026329	0.696969688	0.025096679
Rb_pS807_S811.R.V_GBL9026280	-15.46066623	Rb_pS807_S811.R.V_GBL9026280	0.333333343	0.346593492
PRAS40_pT246.R.V_GBL9026273	-17.00871689	PRAS40_pT246.R.V_GBL9026273	0.878787875	0.000813862
p38_pT180_Y182.R.V_GBL9026252	-18.50022718	p38_pT180_Y182.R.V_GBL9026252	0.539393961	0.107593171
Src.M.V_GBL9026327	-18.94513996	Src.M.V_GBL9026327	0.830303013	0.002940228
p21.R.C_GBL9026247	-19.04444345	p21.R.C_GBL9026247	0.612121224	0.059972136
YAP_pS127.R.C_GBL9026299	-19.52051925	YAP_pS127.R.C_GBL9026299	0.866666675	0.001173538
Notch3.R.C_GBL9026246	-19.59692125	Notch3.R.C_GBL9026246	0.793939412	0.006099921
ACC_pS79.R.V_GBL9026172	-20.23901876	ACC_pS79.R.V_GBL9026172	0.733333349	0.015800593
Snail.M.C_GBL9026326	-20.38303127	Snail.M.C_GBL9026326	0.854545474	0.001636802
PKC.alpha_pS657.R.V_GBL9026271	-21.0173494	PKC.alpha_pS657.R.V_GBL9026271	0.74545455	0.013330145
Bim.R.V_GBL9026351	-24.57373334	Bim.R.V_GBL9026351	0.915151536	0.000204472
Src_pY527.R.V_GBL9026286	-26.41174111	Src_pY527.R.V_GBL9026286	0.309090912	0.384841225
HER2_pY1248.R.V_GBL9026223	-27.49400788	HER2_pY1248.R.V_GBL9026223	0.563636363	0.089724029
E.Cadherin.R.V_GBL9026188	-27.7336848	E.Cadherin.R.V_GBL9026188	0.963636339	7.32E-06
