AntibodyLabel	Source	NodeName	Gene_Symbol	Sites	Effect	FunctionalScore
53BP1-R-V_GBL1033787	MDACC	53BP1	53BP1	NA		
53BP1-R-V_GBL1113264	MDACC	53BP1	53BP1	NA		
53BP1-R-V_GBL1114936	MDACC	53BP1	53BP1	NA		
A-RAF_pS299_GBL9008341.txt	MDACC	ARAFpS299	ARAF	S299		
A-Raf_pS299-R-C_GBL1115225	MDACC	ARafpS299	ARAF	S299		
A-Raf-R-V_GBL1033858	MDACC	ARaf	ARAF	NA		
A-Raf-R-V_GBL1113319	MDACC	ARaf	ARAF	NA		
A-Raf-R-V_GBL1114978	MDACC	ARaf	ARAF	NA		
a-Tubulin_GBL9008350.txt	MDACC	aTubulin	ATUBULIN	NA		
ab_Crystalline_GBL9008549.txt	MDACC	abCrystalline	ABCRYSTALLINE	NA		
ACC_pS79_GBL9008594.txt	MDACC	ACCpS79	ACC	S79		
ACC_pS79_RS00269173.txt	MDACC	ACCpS79	ACC	S79		
ACC_pS79_RS00275573.txt	MDACC	ACCpS79	ACC	S79		
ACC_pS79-R-V_GBL1033673	MDACC	ACCpS79	ACC	S79		
ACC_pS79-R-V_GBL1113152	MDACC	ACCpS79	ACC	S79		
ACC_pS79-R-V_GBL1114854	MDACC	ACCpS79	ACC	S79		
ACC_pS79.R.V_GBL.9012901	MDACC	ACCpS79	ACC	S79		
ACC_pS79.R.V_GBL.9013893	MDACC	ACCpS79	ACC	S79		
ACC_pS79.R.V_GBL.9014284	MDACC	ACCpS79	ACC	S79		
ACC1-R-E_GBL1033674	MDACC	ACC1	ACC1	NA		
ACC1-R-E_GBL1113153	MDACC	ACC1	ACC1	NA		
ACC1-R-E_GBL1114855	MDACC	ACC1	ACC1	NA		
ACC1.R.C_GBL.9013806	MDACC	ACC1	ACC1	NA		
ACC1(C)_GBL9008595.txt	MDACC	ACC1	ACC1	NA		
ACVRL1-R-C_GBL1033834	MDACC	ACVRL1	ACVRL1	NA		
ACVRL1-R-C_GBL1113285	MDACC	ACVRL1	ACVRL1	NA		
ACVRL1-wR-C_GBL1115125	MDACC	ACVRL1	ACVRL1	NA		
ADAR1-M-V_GBL1033909	MDACC	ADAR1	ADAR1	NA		
ADAR1-M-V_GBL1113373	MDACC	ADAR1	ADAR1	NA		
ADAR1-M-V_GBL1115052	MDACC	ADAR1	ADAR1	NA		
AIB-1_RS00273414 (MOUSE).txt	MDACC	AIB1	AIB1	NA		
AIB1_RS00276602 (mouse).txt	MDACC	AIB1	AIB1	NA		
AIB1.M.V_GBL.9012877	MDACC	AIB1	AIB1	NA		
AIB1(mouse)(C)_GBL9007871.txt	MDACC	AIB1	AIB1	NA		
AKT_pS308_RS00269150.txt	MDACC	AKTpS308	AKT	S308		
AKT_pS473_RS00269149.txt	MDACC	AKTpS473	AKT	S473		
AKT_pS473_RS00275811.txt	MDACC	AKTpS473	AKT	S473		
Akt_pS473-R-V_GBL1033793	MDACC	AktpS473	AKT	S473		
Akt_pS473-R-V_GBL1113186	MDACC	AktpS473	AKT	S473		
Akt_pS473-R-V_GBL1114876	MDACC	AktpS473	AKT	S473		
Akt_pS473.R.V_GBL.9013808	MDACC	AktpS473	AKT	S473		
AKT_pS473(V)_GBL9008597.txt	MDACC	AKTpS473	AKT	S473		
AKT_pT308_RS00275813.txt	MDACC	AKTpT308	AKT	T308		
Akt_pT308-R-V_GBL1033851	MDACC	AktpT308	AKT	T308		
Akt_pT308-R-V_GBL1113312	MDACC	AktpT308	AKT	T308		
Akt_pT308-R-V_GBL1114967	MDACC	AktpT308	AKT	T308		
Akt_pT308.R.V_GBL.9013809	MDACC	AktpT308	AKT	T308		
AKT_pT308(V)_GBL9008599.txt	MDACC	AKTpT308	AKT	T308		
AKT_RS00269151.txt	MDACC	AKT	AKT	NA		
AKT_RS00275814.txt	MDACC	AKT	AKT	NA		
Akt-R-V_GBL1033833	MDACC	Akt	AKT	NA		
Akt-R-V_GBL1113284	MDACC	Akt	AKT	NA		
Akt-R-V_GBL1114953	MDACC	Akt	AKT	NA		
Akt.R.V_GBL.9012890	MDACC	Akt	AKT	NA		
Akt.R.V_GBL.9013807	MDACC	Akt	AKT	NA		
Akt.R.V_GBL.9014349	MDACC	Akt	AKT	NA		
AKT(V)_GBL9008596.txt	MDACC	AKT	AKT	NA		
alpha.Catenin.M.V_GBL.9012880	MDACC	alphaCatenin	ALPHACATENIN	NA		
AMPK_alpha.R.C_GBL.9013810	MDACC	AMPKalpha	AMPKALPHA	NA		
AMPK_pT172.R.V_GBL.9013811	MDACC	AMPKpT172	AMPK	T172		
AMPK_pT172(V)_GBL9007911.txt	MDACC	AMPKpT172	AMPK	T172		
AMPK-A_pT272_RS00276029.txt	MDACC	AMPKApT272	AMPKA	T272		
AMPK-A_RS00276030.txt	MDACC	AMPKA	AMPKA	NA		
AMPK-alpha_pT172-R-V_GBL1033676	MDACC	AMPKalphapT172	AMPKALPHA	T172		
AMPK-alpha_pT172-R-V_GBL1113155	MDACC	AMPKalphapT172	AMPKALPHA	T172		
AMPK-alpha-R-C_GBL1033675	MDACC	AMPKalpha	AMPKALPHA	NA		
AMPK-alpha-R-C_GBL1113154	MDACC	AMPKalpha	AMPKALPHA	NA		
AMPKa_pT172_RS00273427.txt	MDACC	AMPKapT172	AMPKA	T172		
AMPKa_pT172-R-V_GBL1114859	MDACC	AMPKapT172	AMPKA	T172		
AMPKa_RS00273428.txt	MDACC	AMPKa	AMPKA	NA		
AMPKa-R-C_GBL1114856	MDACC	AMPKa	AMPKA	NA		
AMPKa(C )_GBL9007913.txt	MDACC	AMPKa	AMPKA	NA		
Annexin_GBL9008513.txt	MDACC	Annexin	ANNEXIN	NA		
Annexin_I.R.V_GBL.9013812	MDACC	AnnexinI	ANNEXINI	NA		
Annexin-I-M-V_GBL1033912	MDACC	AnnexinI	ANNEXINI	NA		
Annexin-I-M-V_GBL1113376	MDACC	AnnexinI	ANNEXINI	NA		
Annexin-I-M-V_GBL1115055	MDACC	AnnexinI	ANNEXINI	NA		
Annexin-VII-M-V_GBL1033907	MDACC	AnnexinVII	ANNEXINVII	NA		
Annexin-VII-M-V_GBL1113371	MDACC	AnnexinVII	ANNEXINVII	NA		
Annexin-VII-M-V_GBL1115050	MDACC	AnnexinVII	ANNEXINVII	NA		
AR_RS00273605.txt	MDACC	AR	AR	NA		
AR_RS00275696.txt	MDACC	AR	AR	NA		
AR-R-V_GBL1033738	MDACC	AR	AR	NA		
AR-R-V_GBL1113229	MDACC	AR	AR	NA		
AR-R-V_GBL1115200	MDACC	AR	AR	NA		
AR.R.V_GBL.9013813	MDACC	AR	AR	NA		
AR(AR441)(mouse)_GBL9008523.txt	MDACC	AR	AR	NA		
AR(C19)_GBL9008565.txt	MDACC	AR	AR	NA		
AR(N20)_GBL9008524.txt	MDACC	AR	AR	NA		
AR(N20)_GBL9008580.txt	MDACC	AR	AR	NA		
AR(V)_GBL9007914.txt	MDACC	AR	AR	NA		
ARHI-M-C_GBL1033929	MDACC	ARHI	ARHI	NA		
ARHI-M-C_GBL1113379	MDACC	ARHI	ARHI	NA		
ARHI-M-C_GBL1115171	MDACC	ARHI	ARHI	NA		
ARID1A-R-C_GBL1115009	MDACC	ARID1A	ARID1A	NA		
ASNS_GBL9008566.txt	MDACC	ASNS	ASNS	NA		
ATM_GBL9008598.txt	MDACC	ATM	ATM	NA		
ATM_pS1981_RS00276380 (mouse).txt	MDACC	ATMpS1981	ATM	S1981		
ATM_pS1981_RS00276600 (mouse) (1_4000).txt	MDACC	ATMpS1981	ATM	S1981		
ATM_pS1981-R-V_GBL1033875	MDACC	ATMpS1981	ATM	S1981		
ATM_pS1981-R-V_GBL1113336	MDACC	ATMpS1981	ATM	S1981		
ATM_pS1981-wR-V_GBL1115133	MDACC	ATMpS1981	ATM	S1981		
ATM_pS1981(mouse)(V)_GBL9007888.txt	MDACC	ATMpS1981	ATM	S1981		
ATM_RS00275792.txt	MDACC	ATM	ATM	NA		
ATM-R-V_GBL1033874	MDACC	ATM	ATM	NA		
ATM-R-V_GBL1113335	MDACC	ATM	ATM	NA		
ATM-R-V_GBL1115001	MDACC	ATM	ATM	NA		
ATM.R_GBL.9013814	MDACC	ATM	ATM	NA		
ATP5A-M-C_GBL1115060	MDACC	ATP5A	ATP5A	NA		
ATP5H-M-C_GBL1033913	MDACC	ATP5H	ATP5H	NA		
ATP5H-M-C_GBL1113414	MDACC	ATP5H	ATP5H	NA		
ATP5H-M-C_GBL1115057	MDACC	ATP5H	ATP5H	NA		
ATR_GBL9008404.txt	MDACC	ATR	ATR	NA		
ATR_pS428_GBL9008405.txt	MDACC	ATRpS428	ATR	S428		
ATR_pS428_RS00275794.txt	MDACC	ATRpS428	ATR	S428		
ATR_RS00276594.txt	MDACC	ATR	ATR	NA		
ATR-R-C_GBL1033779	MDACC	ATR	ATR	NA		
ATR-R-C_GBL1113256	MDACC	ATR	ATR	NA		
ATR-wR-C_GBL1115116	MDACC	ATR	ATR	NA		
ATRIP_GBL9008406.txt	MDACC	ATRIP	ATRIP	NA		
ATRIP_RS00275795.txt	MDACC	ATRIP	ATRIP	NA		
Aurora-B-wR-V_GBL1115238	MDACC	AuroraB	AURORAB	NA		
b-Actin-R-C_GBL1115228	MDACC	bActin	BACTIN	NA		
B-Catenin_pS33_RS00273497.txt	MDACC	BCateninpS33	BCATENIN	S33		
b-Catenin_pT41_S45-R-V_GBL1033855	MDACC	bCateninpT41S45	BCATENIN	T41|S45		
b-Catenin_pT41_S45-R-V_GBL1113316	MDACC	bCateninpT41S45	BCATENIN	T41|S45		
b-Catenin_pT41_S45-wR-V_GBL1115129	MDACC	bCateninpT41S45	BCATENIN	T41|S45		
B-Catenin_RS00273592.txt	MDACC	BCatenin	BCATENIN	NA		
B-Catenin_RS00275590.txt	MDACC	BCatenin	BCATENIN	NA		
b-Catenin-R-V_GBL1033680	MDACC	bCatenin	BCATENIN	NA		
b-Catenin-R-V_GBL1113159	MDACC	bCatenin	BCATENIN	NA		
b-Catenin-R-V_GBL1114862	MDACC	bCatenin	BCATENIN	NA		
b-Catenin(V)_GBL9008600.txt	MDACC	bCatenin	BCATENIN	NA		
b-RAF_pS445_GBL9008382.txt	MDACC	bRAFpS445	BRAF	S445		
B-Raf_pS445-R-V_GBL1033685	MDACC	BRafpS445	BRAF	S445		
B-Raf_pS445-R-V_GBL1113180	MDACC	BRafpS445	BRAF	S445		
B-Raf_pS445-R-V_GBL1114878	MDACC	BRafpS445	BRAF	S445		
B-Raf-M-C_GBL1033932	MDACC	BRaf	BRAF	NA		
B-Raf-M-C_GBL1113382	MDACC	BRaf	BRAF	NA		
B-Raf-R-V_GBL1114864	MDACC	BRaf	BRAF	NA		
b-RAF(mouse)_GBL9008385.txt	MDACC	bRAF	BRAF	NA		
b-RAF(mouse)(V)_GBL9007887.txt	MDACC	bRAF	BRAF	NA		
B.Raf.M.DNU_GBL.9012898	MDACC	BRafMDNU	BRAFMDNU	NA		
B.Raf.M.DNU_GBL.9014280	MDACC	BRafMDNU	BRAFMDNU	NA		
Bad_pS112-R-V_GBL1033677	MDACC	BadpS112	BAD	S112		
Bad_pS112-R-V_GBL1113156	MDACC	BadpS112	BAD	S112		
Bad_pS112-R-V_GBL1114860	MDACC	BadpS112	BAD	S112		
BAD_pS112(C)_GBL9007892.txt	MDACC	BADpS112	BAD	S112		
Bak-R-C_GBL1033678	MDACC	Bak	BAK	NA		
Bak-R-C_GBL1113416	MDACC	Bak	BAK	NA		
Bak-wR-C_GBL1115097	MDACC	Bak	BAK	NA		
Bak.R.C_GBL.9013815	MDACC	Bak	BAK	NA		
BAK(C)_GBL9007893.txt	MDACC	BAK	BAK	NA		
BAP1-M-V_GBL1033930	MDACC	BAP1	BAP1	NA		
BAP1-M-V_GBL1113396	MDACC	BAP1	BAP1	NA		
BAP1-M-V_GBL1115082	MDACC	BAP1	BAP1	NA		
Bax-R-V_GBL1033679	MDACC	Bax	BAX	NA		
Bax-R-V_GBL1113158	MDACC	Bax	BAX	NA		
Bax-R-V_GBL1114861	MDACC	Bax	BAX	NA		
Bax.R.V_GBL.9013816	MDACC	Bax	BAX	NA		
BAX(C)_GBL9007894.txt	MDACC	BAX	BAX	NA		
BCl-X(C)_GBL9007895.txt	MDACC	BClX	BCLX	NA		
Bcl-xL-R-V_GBL1033682	MDACC	BclxL	BCLXL	NA		
Bcl-xL-R-V_GBL1113160	MDACC	BclxL	BCLXL	NA		
Bcl-xL-wR-V_GBL1115099	MDACC	BclxL	BCLXL	NA		
BCl-XL(C)_GBL9007896.txt	MDACC	BClXL	BCLXL	NA		
Bcl.2.M.V_GBL.9012878	MDACC	Bcl2	BCL2	NA		
Bcl.X.R.V_GBL.9012872	MDACC	BclX	BCLX	NA		
Bcl.xL.R.V_GBL.9013819	MDACC	BclxL	BCLXL	NA		
BCl2_pS70_GBL9008319.txt	MDACC	BCl2pS70	BCL2	S70		
BCL2_RS00273415 (MOUSE).txt	MDACC	BCL2	BCL2	NA		
BCl2_RS00276603 (mouse).txt	MDACC	BCl2	BCL2	NA		
Bcl2-M-V_GBL1033931	MDACC	Bcl2	BCL2	NA		
Bcl2-M-V_GBL1113381	MDACC	Bcl2	BCL2	NA		
Bcl2-M-V_GBL1115070	MDACC	Bcl2	BCL2	NA		
Bcl2-R-S_GBL1113364	MDACC	Bcl2RS	BCL2RS	NA		
BCl2(C)_GBL9007916.txt	MDACC	BCl2	BCL2	NA		
BCl2(mouse)(V)_GBL9007872.txt	MDACC	BCl2	BCL2	NA		
Bcl2A1-R-V_GBL1114992	MDACC	Bcl2A1	BCL2A1	NA		
Beclin-G-C_GBL1033953	MDACC	Beclin	BECLIN	NA		
Beclin-G-C_GBL1113406	MDACC	Beclin	BECLIN	NA		
Beclin-G-C_GBL1115093	MDACC	Beclin	BECLIN	NA		
Beclin.G.V_GBL.9014285	MDACC	Beclin	BECLIN	NA		
beta.Catenin.R.V_GBL.9013817	MDACC	betaCatenin	BETACATENIN	NA		
beta.Catenin.R.V_GBL.9013828	MDACC	betaCatenin	BETACATENIN	NA		
Bid-R-C_GBL1033683	MDACC	Bid	BID	NA		
Bid-R-C_GBL1113161	MDACC	Bid	BID	NA		
Bid-wR-C_GBL1115100	MDACC	Bid	BID	NA		
Bid.R.C_GBL.9013820	MDACC	Bid	BID	NA		
BIM_RS00273727.txt	MDACC	BIM	BIM	NA		
BIM_RS00276021.txt	MDACC	BIM	BIM	NA		
Bim-R-V_GBL1033684	MDACC	Bim	BIM	NA		
Bim-R-V_GBL1113162	MDACC	Bim	BIM	NA		
Bim-R-V_GBL1114863	MDACC	Bim	BIM	NA		
Bim.R.V_GBL.9013821	MDACC	Bim	BIM	NA		
BIM(V))_GBL9008601.txt	MDACC	BIM	BIM	NA		
BOP1(N16)_GBL9008583.txt	MDACC	BOP1	BOP1	NA		
BRCA1_RS00273571.txt	MDACC	BRCA1	BRCA1	NA		
BRCA2_RS00275700.txt	MDACC	BRCA2	BRCA2	NA		
BRCA2-R-C_GBL1033740	MDACC	BRCA2	BRCA2	NA		
BRCA2-R-C_GBL1113231	MDACC	BRCA2	BRCA2	NA		
BRCA2(C )_GBL9008400.txt	MDACC	BRCA2	BRCA2	NA		
c-Abl-R-V_GBL1115011	MDACC	cAbl	CABL	NA		
c-JUN_pS73_RS00273490.txt	MDACC	cJUNpS73	CJUN	S73		
c-JUN_pS73_RS00275861.txt	MDACC	cJUNpS73	CJUN	S73		
c-Jun_pS73-R-V_GBL1033689	MDACC	cJunpS73	CJUN	S73		
c-Jun_pS73-R-V_GBL1113167	MDACC	cJunpS73	CJUN	S73		
c-Jun_pS73-wR-V_GBL1115101	MDACC	cJunpS73	CJUN	S73		
c-JUN_pS73(C)_GBL9007937.txt	MDACC	cJUNpS73	CJUN	S73		
c-JUN_RS00273491.txt	MDACC	cJUN	CJUN	NA		
c-JUN_RS00275862.txt	MDACC	cJUN	CJUN	NA		
c-KIT_RS00273426.txt	MDACC	cKIT	CKIT	NA		
c-KIT_RS00276024.txt	MDACC	cKIT	CKIT	NA		
c-Kit-R-V_GBL1033690	MDACC	cKit	CKIT	NA		
c-Kit-R-V_GBL1113181	MDACC	cKit	CKIT	NA		
c-Kit-wR-V_GBL1115102	MDACC	cKit	CKIT	NA		
c-KIT(V)_GBL9007931.txt	MDACC	cKIT	CKIT	NA		
c-Met_pY1234_Y1235-R-V_GBL1033735	MDACC	cMetpY1234Y1235	CMET	Y1234|Y1235		
c-Met_pY1234_Y1235-R-V_GBL1113226	MDACC	cMetpY1234Y1235	CMET	Y1234|Y1235		
c-Met_pY1234_Y1235-R-V_GBL1114912	MDACC	cMetpY1234Y1235	CMET	Y1234|Y1235		
c-Met-M-Q_GBL1115169	MDACC	cMet	CMET	NA		
c-Met-M-QC_GBL1033899	MDACC	cMet	CMET	NA		
c-Met-M-QC_GBL1113359	MDACC	cMet	CMET	NA		
c-Myc_GBL9008327.txt	MDACC	cMyc	CMYC	NA		
c-Myc_pT58_GBL9008547.txt	MDACC	cMycpT58	CMYC	T58		
c-Myc_pT58_RS00275705.txt	MDACC	cMycpT58	CMYC	T58		
c-Myc_RS00267485.txt	MDACC	cMyc	CMYC	NA		
c-Myc_RS00275704.txt	MDACC	cMyc	CMYC	NA		
c-Myc-R-C_GBL1033885	MDACC	cMyc	CMYC	NA		
c-Myc-R-C_GBL1113345	MDACC	cMyc	CMYC	NA		
c-Myc-R-C_GBL1115025	MDACC	cMyc	CMYC	NA		
c-RAF_pS338_GBL9008390.txt	MDACC	cRAFpS338	CRAF	S338		
C-Raf_pS338-R-V_GBL1033691	MDACC	CRafpS338	CRAF	S338		
C-Raf_pS338-R-V_GBL1113169	MDACC	CRafpS338	CRAF	S338		
C-Raf_pS338-R-V_GBL1114870	MDACC	CRafpS338	CRAF	S338		
c-RAF_RS00275585.txt	MDACC	cRAF	CRAF	NA		
C-Raf-R-V_GBL1033856	MDACC	CRaf	CRAF	NA		
C-Raf-R-V_GBL1113317	MDACC	CRaf	CRAF	NA		
C-Raf-R-V_GBL1114976	MDACC	CRaf	CRAF	NA		
c-RAF(V)_GBL9007917.txt	MDACC	cRAF	CRAF	NA		
c-RAF(V)_GBL9008520.txt	MDACC	cRAF	CRAF	NA		
c.Jun_pS73.R.C_GBL.9013865	MDACC	cJunpS73	CJUN	S73		
c.Kit.R.V_GBL.9013866	MDACC	cKit	CKIT	NA		
c.Met_pY1235.R.C_GBL.9013872	MDACC	cMetpY1235	CMET	Y1235		
c.Met.M.C_GBL.9012891	MDACC	cMet	CMET	NA		
c.Myc.R.C_GBL.9013875	MDACC	cMyc	CMYC	NA		
C.Raf_pS338.R.C_GBL.9013909	MDACC	CRafpS338	CRAF	S338		
C.Raf.R.V_GBL.9013897	MDACC	CRaf	CRAF	NA		
Casein Kinase 1-Epsillon(mouse)_GBL9008363.txt	MDACC	Casein Kinase 1Epsillon	CASEIN KINASE 1EPSILLON	NA		
CASK(mouse)_GBL9008353.txt	MDACC	CASK	CASK	NA		
Caspase 3_RS00273572.txt	MDACC	Caspase 3	CASPASE 3	NA		
Caspase 3_RS00275709 (better).txt	MDACC	Caspase 3	CASPASE 3	NA		
Caspase 3_RS00275860.txt	MDACC	Caspase 3	CASPASE 3	NA		
Caspase 7_RS00273726.txt	MDACC	Caspase 7	CASPASE 7	NA		
Caspase 7_RS00275470.txt	MDACC	Caspase 7	CASPASE 7	NA		
Caspase 7_RS00276020.txt	MDACC	Caspase 7	CASPASE 7	NA		
Caspase-3-R-C_GBL1114866	MDACC	Caspase3	CASPASE3	NA		
Caspase-3(Active)(C )_GBL9008562.txt	MDACC	Caspase3	CASPASE3	NA		
Caspase-7-cleaved-R-C_GBL1033686	MDACC	Caspase7cleaved	CASPASE7CLEAVED	NA		
Caspase-7-cleaved-R-C_GBL1113164	MDACC	Caspase7cleaved	CASPASE7CLEAVED	NA		
Caspase-7-cleaved-R-C_GBL1114867	MDACC	Caspase7cleaved	CASPASE7CLEAVED	NA		
Caspase-7(cleaved)(C)_GBL9007918.txt	MDACC	Caspase7	CASPASE7	NA		
Caspase-8-M-Q_GBL1115045	MDACC	Caspase8	CASPASE8	NA		
Caspase-8-M-QC_GBL1033903	MDACC	Caspase8	CASPASE8	NA		
Caspase-8-M-QC_GBL1113363	MDACC	Caspase8	CASPASE8	NA		
Caspase-8(mouse)_GBL9008354.txt	MDACC	Caspase8	CASPASE8	NA		
Caspase-9_GBL9008548.txt	MDACC	Caspase9	CASPASE9	NA		
Caspase-9-cleaved-R-C_GBL1115222	MDACC	Caspase9cleaved	CASPASE9CLEAVED	NA		
Caspase.3_active.R.C_GBL.9013825	MDACC	Caspase3active	CASPASE3ACTIVE	NA		
Caspase.7_cleavedD198.R.C_GBL.9013826	MDACC	Caspase7cleavedD198	CASPASE7CLEAVEDD198	NA		
Caspase.8.M.C_GBL.9012879	MDACC	Caspase8	CASPASE8	NA		
Caspase.9_cleavedD330.R.C_GBL.9013827	MDACC	Caspase9cleavedD330	CASPASE9CLEAVEDD330	NA		
Catenin-alpha(mouse)_GBL9008376.txt	MDACC	Cateninalpha	CATENINALPHA	NA		
Caveolin_RS00273722.txt	MDACC	Caveolin	CAVEOLIN	NA		
Caveolin_RS00276017.txt	MDACC	Caveolin	CAVEOLIN	NA		
Caveolin-1-R-V_GBL1033687	MDACC	Caveolin1	CAVEOLIN1	NA		
Caveolin-1-R-V_GBL1113165	MDACC	Caveolin1	CAVEOLIN1	NA		
Caveolin-1-R-V_GBL1114868	MDACC	Caveolin1	CAVEOLIN1	NA		
Caveolin-1(V)_GBL9008603.txt	MDACC	Caveolin1	CAVEOLIN1	NA		
Caveolin.1.R.V_GBL.9013829	MDACC	Caveolin1	CAVEOLIN1	NA		
CD20(C )_GBL90085557.txt	MDACC	CD20	CD20	NA		
CD20(C)_GBL9008604.txt	MDACC	CD20	CD20	NA		
CD26-R-V_GBL1114995	MDACC	CD26	CD26	NA		
CD29-M-V_GBL1033911	MDACC	CD29	CD29	NA		
CD29-M-V_GBL1113413	MDACC	CD29	CD29	NA		
CD29-M-V_GBL1115054	MDACC	CD29	CD29	NA		
CD31_RS00273758 (MOUSE).txt	MDACC	CD31	CD31	NA		
CD31_RS00276604 (mouse).txt	MDACC	CD31	CD31	NA		
CD31-M-V_GBL1033933	MDACC	CD31	CD31	NA		
CD31-M-V_GBL1113383	MDACC	CD31	CD31	NA		
CD31-wM-V_GBL1115138	MDACC	CD31	CD31	NA		
CD31.M.V_GBL.9012881	MDACC	CD31	CD31	NA		
CD31(mouse)(V)_GBL9007873.txt	MDACC	CD31	CD31	NA		
CD44-M-C_GBL1115173	MDACC	CD44	CD44	NA		
CD49.M.V_GBL.9012882	MDACC	CD49	CD49	NA		
CD49b-M-V_GBL1033902	MDACC	CD49b	CD49B	NA		
CD49b-M-V_GBL1113362	MDACC	CD49b	CD49B	NA		
CD49b-wM-V_GBL1115137	MDACC	CD49b	CD49B	NA		
CD49b(mouse)_GBL9008351.txt	MDACC	CD49b	CD49B	NA		
CDC2-p34-M-V_GBL1115091	MDACC	CDC2p34	CDC2	NA		
CDC2(mouse)_GBL9008375.txt	MDACC	CDC2	CDC2	NA		
CDK1-R-V_GBL1033788	MDACC	CDK1	CDK1	NA		
CDK1-R-V_GBL1113265	MDACC	CDK1	CDK1	NA		
CDK1-R-V_GBL1114937	MDACC	CDK1	CDK1	NA		
CDK1.R.V_GBL.9012883	MDACC	CDK1	CDK1	NA		
CDK1.R.V_GBL.9013830	MDACC	CDK1	CDK1	NA		
CDK1(mouse)_GBL9008515.txt	MDACC	CDK1	CDK1	NA		
CHK1_GBL9008605.txt	MDACC	CHK1	CHK1	NA		
Chk1_pS296-R-V_GBL1114999	MDACC	Chk1pS296	CHK1	S296		
CHK1_pS345_GBL9008407.txt	MDACC	CHK1pS345	CHK1	S345		
CHK1_pS345_RS00275797.txt	MDACC	CHK1pS345	CHK1	S345		
Chk1_pS345-R-C_GBL1033780	MDACC	Chk1pS345	CHK1	S345		
Chk1_pS345-R-C_GBL1113257	MDACC	Chk1pS345	CHK1	S345		
Chk1_pS345-wR-C_GBL1115117	MDACC	Chk1pS345	CHK1	S345		
Chk1_pS345.R.C_GBL.9013832	MDACC	Chk1pS345	CHK1	S345		
CHK1_RS00275796.txt	MDACC	CHK1	CHK1	NA		
