"X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15" "X16" "X17" "X18" "X19" "X20" "X21" "X22" "X23" "X24" "X25" "X26" "X27" "X28" "X29" "X30"
"39" -0.035 -0.333 -0.139 -0.089 -0.015 -0.185 -0.241 -0.205 -0.045 -0.131 -0.117 -0.115 -0.119 -0.223 -0.115 -0.107 -0.163 -0.127 -0.107 -0.161 -0.291 -0.163 -0.191 -0.151 -0.115 -0.199 -0.143 -0.121 -0.229 -0.205
"40" -1.181 -1.699 -0.465 -0.895 -0.919 -0.0529999999999999 -1.713 -0.583 -1.453 -1.183 -1.235 -0.895 -0.219 -0.205 -0.929 -0.611 -1.247 -0.119 -1.235 -0.465 -0.623 -0.905 -0.771 -0.191 -0.717 -1.147 -0.379 -1.235 -0.871 -1.187
"41" 0.117 -0.093 0.359 0.139 -0.023 -0.123 -0.165 -0.039 -0.073 0.111 0.151 0.277 0.017 -0.073 -0.00899999999999998 0.359 -0.335 0.309 0.073 0.205 0.017 0.067 0.219 0.079 -0.163 0.115 0.131 0.083 -0.345 0.125
"42" -0.33 -0.348 -0.342 -0.094 -0.346 -0.034 -0.126 -0.014 -0.288 -0.382 -0.012 -0.148 -0.514 -0.13 -0.012 -0.52 -0.144 -0.062 -0.252 -0.26 -0.184 0.00400000000000002 -0.262 -0.596 -0.014 0.042 -0.362 -0.05 -0.028 -0.504
"43" 0.0315 -0.0135 -0.1445 -0.0805 -0.2205 -0.0755 -0.2625 -0.1345 -0.3935 -0.4515 -0.1875 -0.3195 -0.3465 -0.1315 -0.0325 -0.0685 -0.0945 -0.4345 -0.0695 -0.4755 0.0205 -0.2255 -0.0505 0.2175 0.1115 -0.0535 -0.1525 0.0215 -0.0765 -0.2435
"44" -0.435 -0.117 0.045 0.231 0.093 -0.175 -0.491 0.165 -0.475 0.703 0.121 -0.351 0.129 -0.143 0.837 0.527 0.703 -0.307 -0.141 0.541 -0.429 0.231 -0.487 -0.475 0.00500000000000001 -0.257 -0.467 0.225 -0.453 0.391
"45" 0.808 0.314 1.066 0.314 0.544 0.172 0.326 -0.00600000000000004 0.024 0.666 0.798 0.574 1.108 0.548 0.396 1.184 -0.358 0.584 0.456 0.836 0.498 0.366 0.696 0.354 0.446 0.84 0.756 0.854 0.386 0.574
"46" 0.249 -0.137 0.209 -0.271 0.055 -0.031 0.077 0.383 0.029 0.047 -0.267 0.063 -0.129 -0.141 0.323 0.045 -0.101 -0.079 -0.251 0.019 -0.097 -0.173 0.023 -0.079 0.155 0.109 0.087 0.005 0.213 -0.227
"47" -0.243 0.00299999999999999 -0.347 -0.329 0.101 -0.243 -0.461 -0.157 -0.055 -0.167 -0.363 -1.047 -0.307 -0.025 0.253 -0.213 -0.329 0.097 0.077 0.137 0.047 -0.579 -0.523 -0.367 0.459 0.015 -0.489 0.015 -0.197 -0.307
"48" -0.052 0.01 -0.078 -0.13 -0.016 0.01 -0.132 0.024 -0.002 -0.004 -0.04 -0.142 -0.032 -3.46944695195361e-18 -0.134 -0.04 -0.166 -0.118 -0.146 -0.028 0.034 0.024 -0.182 -0.07 -0.018 0.024 0.076 -0.08 -0.118 -0.058
"49" -0.183 -0.503 -0.135 -0.165 -0.719 -0.007 -0.715 -0.363 -0.437 -1.087 -0.859 -0.859 -0.305 0.203 -0.251 -0.761 -0.183 -0.705 -0.437 -0.179 -0.745 -0.761 -0.475 -0.475 0.289 -0.773 -0.607 -1.087 -0.563 -0.885
"50" -0.311 0.781 0.149 0.537 0.905 0.931 1.245 -0.129 0.879 0.181 0.851 0.357 0.449 0.435 0.759 0.127 1.007 0.967 1.307 0.445 0.511 0.537 0.583 0.781 0.573 0.723 0.981 0.093 0.693 0.547
"51" 0.456 -0.086 0.52 0.714 0.186 0.138 0.694 0.196 0.52 0.132 0.53 0.432 0.944 0.374 0.442 0.442 0.122 0.49 0.128 0.488 0.552 0.698 0.468 0.27 0.708 0.678 0.666 0.378 1.002 0.138
"52" 0.949 0.965 0.569 0.335 0.295 0.439 1.297 0.323 0.439 0.637 0.637 0.749 0.919 0.317 0.653 0.495 0.247 0.119 0.743 0.569 0.743 1.031 1.231 0.743 0.249 1.077 0.425 0.723 0.917 0.627
"53" 0.936 1.51 0.362 -0.224 0.328 0.222 1.274 0.672 1.876 0.984 0.77 1.072 1.102 1.198 1.386 0.734 0.962 0.652 0.226 0.35 0.782 1.93 -0.062 1.102 0.398 0.748 1.51 1.622 1.102 0.274
"54" 0.906 0.996 0.212 0.942 1.532 0.602 0.704 0.576 0.486 0.326 0.284 1.202 0.628 0.83 1.018 1.362 1.332 0.396 1.108 1.498 0.916 1.032 0.212 0.704 0.828 0.414 1.752 0.786 1.172 0.728
"55" -0.079 0.081 -0.219 0.041 -0.169 -0.113 0.043 -0.111 0.077 -0.247 -0.255 0.099 -0.133 -0.027 0.105 -0.247 -0.211 -0.137 0.107 -0.271 -0.087 -0.077 -0.249 0.019 -0.217 -0.253 -0.189 -0.003 -0.061 0.055
"56" -0.472 -0.27 -0.338 -0.262 -0.566 -0.136 -0.652 -0.404 -0.484 -0.432 -0.546 -0.31 -0.386 -0.386 -0.544 -0.542 -0.29 -0.382 -0.544 -0.296 -0.504 -0.204 -0.282 -0.484 -0.19 -0.598 -0.404 -0.606 -0.136 -0.1
"57" -0.418 -0.122 0.034 -0.044 -0.084 0.054 -0.15 -0.168 -0.252 -0.156 -0.246 -0.14 -0.208 -0.274 -0.238 -0.142 -0.052 0.086 -0.152 0.196 -0.156 -0.122 0.116 -0.084 -0.096 0.198 -0.222 0.016 -0.108 -0.332
"58" 0.132 -0.106 0.276 0.134 0.096 0.164 0.104 -0.072 0.36 0.326 0.19 0.224 0.18 0.166 0.014 0.12 0.156 0.204 0.426 0.214 0.218 0.34 -0.054 0.234 0.254 0.254 1.38777878078145e-17 0.218 0.232 0.334
"59" 0.469 0.211 0.247 0.167 0.275 0.195 0.287 0.103 0.207 0.069 -0.087 0.379 0.443 0.153 0.519 0.011 0.305 0.263 0.305 0.195 0.537 0.509 0.229 0.453 0.419 0.097 -0.079 0.161 -0.00100000000000001 0.413
"60" 0.322 0.558 0.528 0.266 0.39 0.476 0.476 0.306 0.27 0.666 0.498 0.808 0.49 0.412 0.476 0.304 0.286 0.558 0.548 0.352 0.558 0.404 0.376 0.128 0.584 0.27 0.39 0.316 0.518 0.638
"61" -0.296 -0.28 -0.11 -0.476 -0.328 -0.584 -0.272 -0.28 -0.148 -0.584 -0.72 -0.28 -0.536 -0.456 -0.374 -0.28 -0.23 -0.446 -0.39 -0.436 -0.18 -0.514 -0.622 -0.446 -0.39 -0.596 -0.468 -0.328 -0.514 -0.732
"62" 0.336 -0.162 0.45 -0.268 0.158 0.408 0.134 -0.026 0.12 0.19 -0.208 0.31 -0.242 -0.362 0.228 0.196 -0.234 0.526 0.136 -0.222 0.214 0.07 0.454 0.408 0.468 0.45 0.242 0.052 -0.31 0.2
"63" 0.00700000000000001 0.293 0.143 0.153 0.137 0.013 0.011 0.049 0.185 0.000999999999999993 0.117 0.081 -0.137 -0.055 0.105 0.043 0.115 0.011 -0.075 0.187 0.211 0.103 0.049 -0.075 0.117 0.069 0.051 0.011 0.155 0.00899999999999999
"64" -0.177 0.461 -0.055 -0.00900000000000001 0.399 0.165 0.195 -0.011 0.367 0.125 0.125 0.039 0.235 0.359 -0.173 0.339 0.341 0.351 0.245 0.127 0.373 0.367 -0.189 0.531 0.183 0.387 0.373 0.393 0.165 0.339
"65" -0.138 -0.198 -0.296 -0.24 -0.452 -0.252 -0.556 -0.568 -0.5 -0.368 -0.254 -0.4 -0.682 -0.036 -0.526 -0.426 -0.078 -0.126 -0.422 -0.072 -0.194 -0.338 -0.224 -0.394 -0.354 -0.356 -0.4 -0.134 -0.072 -0.34
"66" 0.644 0.354 -0.238 0.39 0.4 0.442 0.246 0.316 0.238 0.188 0.246 0.264 0.898 0.06 0.636 0.644 -0.134 -0.21 0.322 0.492 0.636 0.146 0.422 0.128 0.408 -0.074 0.586 0.33 0.42 -0.01
"67" 0.069 0.211 0.125 0.183 0.117 -0.043 0.229 0.245 -0.043 0.163 -0.00100000000000001 0.117 0.00699999999999999 0.145 0.133 0.133 -0.089 0.201 0.087 0.299 0.257 -0.127 0.201 0.141 0.141 0.057 0.173 0.109 0.019 0.133
"68" 0.189 0.167 -0.031 0.037 0.339 -0.255 0.169 0.161 -0.207 0.199 0.165 -0.207 -0.311 0.217 0.293 -0.181 -0.157 0.167 0.067 -0.031 -0.017 -0.387 0.069 -0.007 -0.107 -0.013 -0.059 0.189 0.119 0.065
"69" 0.889 0.719 1.483 1.195 0.769 1.461 1.873 0.595 0.879 1.325 1.895 1.873 0.887 0.953 -0.015 1.777 1.179 0.911 0.293 1.565 0.305 0.465 1.497 1.593 0.747 0.305 2.081 1.007 1.515 1.303
"70" 0.381 0.355 0.485 -0.137 0.485 -0.045 0.425 -0.175 0.605 0.157 0.529 0.539 0.539 0.607 0.015 0.485 0.157 0.481 0.447 0.381 0.321 0.481 -0.011 0.249 0.573 0.265 0.249 0.099 0.317 0.317
"71" -0.205 -0.083 -0.335 0.407 0.465 0.457 -0.013 0.701 -0.143 -0.013 0.295 0.027 0.311 -0.175 0.159 0.245 -0.085 0.481 0.353 -0.141 0.481 -0.075 0.701 -0.085 0.415 0.465 0.337 -0.185 -0.077 0.159
"72" 0.124 -0.294 -0.284 -0.058 -0.218 -0.186 -0.306 -0.01 -0.214 -0.478 -0.058 -0.238 -0.104 -0.086 -0.248 0.028 -0.434 0.156 -0.15 -0.27 -0.01 -0.484 0.094 -0.06 -0.22 0.048 -0.168 0.024 -0.18 -0.364
"73" -0.528 -0.51 -0.648 -0.306 -0.088 -0.564 -0.378 -0.388 -0.622 -0.508 -0.512 -0.792 -0.28 -0.102 -0.336 -0.472 -0.47 -0.382 -0.338 -0.338 -0.412 -0.434 -0.708 -0.886 -0.484 -0.622 -0.448 -0.262 -0.088 -0.344
"74" 0.361 0.083 0.393 0.105 0.229 0.307 0.137 0.025 0.193 0.137 0.481 0.161 0.361 0.135 0.119 0.347 0.253 0.351 0.351 0.025 -0.163 0.335 0.347 -0.081 0.073 0.435 0.083 -0.027 0.253 0.105
"75" 0.085 -0.027 -0.207 -0.031 -0.079 0.105 -0.075 0.177 -0.051 -0.229 0.263 -0.057 0.051 -0.235 0.239 0.113 0.043 0.051 -0.207 0.193 0.035 0.077 0.131 -0.235 0.263 -0.235 0.125 0.00900000000000001 0.159 0.165
"76" -0.131 -0.343 -0.159 -0.221 0.099 -0.00299999999999998 -0.159 -0.259 -0.265 -0.141 0.083 -0.483 -0.605 0.069 0.085 0.00700000000000002 -0.00699999999999997 0.435 0.171 -0.353 0.063 -0.253 0.079 0.069 -0.147 -0.253 -0.143 0.213 -0.135 -0.343
"77" 0.192 0.456 0.15 0.398 0.304 0.366 0.194 0.174 0.236 0.176 0.318 0.474 0.412 0.322 0.212 0.174 0.376 0.214 0.244 -0.018 0.206 0.174 0.402 0.174 0.304 0.148 0.126 0.336 0.00199999999999998 0.282
"78" 0.332 0.15 -0.108 0.196 0.108 0.11 -0.176 -0.174 0.00799999999999998 0.15 -0.078 -0.518 0.226 0.48 0.11 -0.3 0.062 0.102 0.19 0.07 -0.04 0.118 0.226 0.34 -0.144 -0.392 0.138 0.408 0.118 -0.212
"79" 0.246 -0.132 0.03 0.208 -0.084 -0.202 -0.032 0.198 -0.132 0.246 -0.162 0.332 -0.36 0.068 0.098 -0.032 0.126 0.37 -0.194 0.106 0.016 0.06 0.146 -0.058 -0.154 0.296 0.14 0.098 0.164 0.042
"80" -0.345 -0.361 -0.325 -0.289 -0.327 -0.179 -0.115 -0.193 -0.345 -0.235 -0.181 -0.361 -0.363 -0.359 -0.175 -0.255 -0.229 -0.143 -0.307 -0.301 -0.175 -0.169 -0.187 -0.163 -0.199 -0.313 -0.155 -0.387 -0.289 -0.243
"81" 1.503 0.121 0.923 0.641 0.409 -0.399 0.851 0.087 1.409 0.087 0.695 0.607 0.895 0.631 0.989 0.631 0.0910000000000001 0.939 0.601 0.151 0.577 0.365 0.483 0.665 0.637 0.895 0.671 0.929 0.765 0.687
"82" 0.12 0.124 0.044 -0.032 0.12 0.314 0.12 0.128 0.114 0.414 0.114 0.046 -0.08 0.566 -0.088 0.322 0.33 0.214 0.196 0.06 0.398 0.132 0.302 0.01 0.036 0.026 0.15 0.31 0.33 0.198
"83" 0.195 -0.281 -1.053 -0.769 -1.287 -0.805 -0.263 -0.745 -0.287 -0.667 -1.149 0.243 0.347 -0.247 -0.433 -1.115 -0.415 -1.069 -0.805 0.115 -1.287 -0.185 -0.343 -0.377 0.453 -0.305 0.195 -0.263 -0.367 -0.867
"84" 1.471 1.647 1.153 1.085 1.699 1.245 1.919 1.519 2.003 1.315 1.745 2.491 1.917 1.311 1.989 1.213 0.797 2.037 2.165 0.729 1.243 0.973 1.749 1.261 0.953 1.423 0.729 2.779 2.375 1.313
"85" -0.102 -0.044 0.154 0.118 -0.14 -0.152 -0.072 0.152 -0.1 -0.152 0.182 -0.014 -0.124 0.01 -0.042 0.094 0.152 0.176 -0.066 0.03 -0.094 -0.188 -0.166 -0.014 -0.076 -0.15 0.02 -0.072 0.094 0.182
"86" 0.287 0.353 0.311 0.363 0.177 0.143 0.127 -0.017 0.205 0.031 -0.009 0.253 0.127 0.075 0.273 0.177 0.387 0.163 0.387 0.049 0.049 0.193 0.395 0.287 0.033 0.283 0.387 -0.081 0.165 -0.081
"87" 0.803 0.417 0.289 0.405 0.669 0.867 0.465 0.901 0.781 0.591 0.685 0.339 0.569 0.717 0.597 0.781 0.829 0.591 0.541 0.843 0.789 1.001 0.515 0.655 0.579 0.655 0.595 0.613 0.653 0.635
"88" -0.229 -0.00300000000000001 -0.211 -0.071 0.135 -0.317 0.085 -0.389 -0.139 0.399 0.189 -0.139 -0.121 -0.241 0.189 -0.033 0.433 0.00699999999999999 0.003 0.053 0.087 -0.119 -0.119 0.00099999999999999 0.105 -0.439 -0.101 0.193 0.135 -0.083
"89" -0.048 -0.102 -0.128 0.012 -0.232 -0.23 -0.602 -0.054 -0.158 -0.522 -0.122 -0.134 -0.424 -0.31 -0.03 -0.054 0.018 -0.184 -0.136 -0.232 -0.772 -0.39 -0.496 -0.416 -0.406 0.082 -0.752 -0.39 0.018 -0.422
"90" -0.051 0.127 -0.089 0.099 -0.167 -0.131 -0.227 -0.209 -0.017 -0.043 -0.145 -0.161 -0.155 -0.209 -0.153 0.181 -0.165 -0.073 0.013 -0.299 -0.141 -0.153 -0.013 -0.153 0.119 0.069 -0.071 0.031 -0.023 -0.017
"91" 0.011 -0.157 -0.269 -0.315 -0.053 0.033 -0.283 -0.215 -0.061 -0.037 -0.261 -0.405 -0.087 -0.261 -0.061 -0.373 -0.075 -0.341 0.049 -0.171 -0.129 -0.015 -0.585 0.125 -0.037 0.071 -0.311 -0.265 -0.107 -0.249
"92" 0.431 0.353 -0.129 -0.219 -0.129 -0.221 0.151 0.261 0.057 0.355 0.041 -0.107 0.063 0.355 -0.031 0.355 0.177 0.057 0.045 0.057 0.339 0.339 0.159 0.045 0.245 -0.037 -0.221 0.073 0.339 0.263
"93" -0.79 -0.342 -0.146 -0.838 -0.166 -0.206 -0.442 -0.38 -0.52 -0.758 -0.754 -0.716 -0.68 -0.384 -1.028 -0.146 -0.502 -0.558 -1.21 -0.122 -0.166 -0.14 -1.044 -0.93 -0.436 -0.58 -0.108 -0.384 -0.758 -0.442
"94" -0.289 -0.205 0.045 -0.339 -1.099 -0.417 -0.969 -0.175 -1.157 -1.013 -0.281 -1.101 -1.101 -1.223 -0.501 -0.805 -0.029 -0.621 -1.113 -0.197 -0.401 -0.283 -1.235 -0.409 -0.857 -0.949 -0.805 -0.735 -1.263 -0.283
"95" 2.516 2.416 1.938 2.092 2.624 1.652 3.452 1.428 2.746 2.682 3.036 2.41 3.584 1.42 3.452 1.628 1.844 2.776 3.346 2.198 2.456 2.06 2.654 2.518 2.424 2.106 1.658 2.41 2.624 2.092
"96" -3.013 -2.409 -1.629 -3.013 -1.863 -2.291 -1.577 -1.827 -1.699 -2.267 -1.131 -2.001 -1.001 -1.281 -1.001 -2.245 -1.641 -1.553 -2.433 -2.467 -2.521 -2.073 -1.909 -1.709 -1.931 -2.245 -1.647 -2.899 -2.677 -1.779
"97" 0.169 0.109 -0.291 -0.369 -0.369 -0.369 -0.195 0.169 -0.291 0.149 -0.073 -0.621 -0.311 -0.223 0.237 -0.211 -0.377 0.297 -0.327 0.081 -0.301 0.031 0.071 0.227 0.249 -0.249 -0.161 -0.163 -0.037 0.297
