prot	fs
INPP4B.G.C_GBL9026331	-1
IRS1.R.V_GBL9026228	1
JNK_pT183_pT185.R.V_GBL9026343	1
JNK2.R.C_GBL9026230	1
K.Ras.M.C_GBL9026322	1
MAPK_pT202_Y204.R.V_GBL9026233	1
MEK1.R.V_GBL9026234	1
MEK1_pS217_S221.R.V_GBL9026345	1
MIG.6.M.V_GBL9026315	-1
Mre11.R.C_GBL9026237	-1
MSH2.M.C_GBL9026316	-1
MSH6.R.C_GBL9026238	-1
mTOR.R.V_GBL9026239	1
mTOR_.pS2448.R.C_GBL9026240	1
N.Cadherin.R.V_GBL9026341	1
NF.kB.p65_pS536.R.C_GBL9026242	1
NF2.R.C_GBL9026243	-1
Notch1.R.V_GBL9026244	1
Notch3.R.C_GBL9026246	1
P.Cadherin.R.C_GBL9026342	1
p21.R.C_GBL9026247	-1
p27.R.V_GBL9026248	-1
p27_pT157.R.C_GBL9026249	-1
p27_pT198.R.V_GBL9026250	-1
p38_MAPK.R.C_GBL9026251	1
p38_pT180_Y182.R.V_GBL9026252	1
p53.R.V_GBL9026346	-1
p70S6K.R.V_GBL9026254	1
p70S6K_pT389.R.V_GBL9026255	1
p90RSK_pT359_S363.R.C_GBL9026256	1
PARP_cleaved.M.C_GBL9026317	0
Paxillin.R.V_GBL9026257	1
PCNA.M.V_GBL9026318	0
PDK1_pS241.R.V_GBL9026258	1
PI3K.p110.alpha.R.C_GBL9026269	1
PI3K.p85.R.V_GBL9026270	1
PKC.alpha.M.V_GBL9026319	1
PKC.alpha_pS657.R.V_GBL9026271	1
PR.R.V_GBL9026272	1
PRAS40_pT246.R.V_GBL9026273	1
PTCH.R.C_GBL9026274	-1
PTEN.R.V_GBL9026275	-1
Rab11.R.V_GBL9026276	1
Rab25.R.C_GBL9026277	1
Rad50.M.C_GBL9026320	-1
Rad51.M.C_GBL9026321	-1
Rb.M.V_GBL9026323	-1
Rb_pS807_S811.R.V_GBL9026280	1
S6_pS235_S236.R.V_GBL9026281	1
S6_pS240_S244.R.V_GBL9026282	1
Smac.M.V_GBL9026324	-1
Smad1.R.V_GBL9026283	0
Smad3.R.V_GBL9026284	0
Smad4.M.V_GBL9026325	0
Snail.M.C_GBL9026326	1
Src.M.V_GBL9026327	1
Src_pY416.R.C_GBL9026285	1
Src_pY527.R.V_GBL9026286	-1
STAT3_pY705.R.V_GBL9026287	1
STAT5.alpha.R.V_GBL9026288	1
Stathmin.R.V_GBL9026289	1
Syk.M.V_GBL9026328	1
Tau.M.C_GBL9026329	1
TAZ_pS89.R.C_GBL9026290	1
TFF1.R.V_GBL9026291	-1
TIGAR.R.V_GBL9026292	0
Tuberin.R.C_GBL9026293	-1
VASP.R.C_GBL9026294	1
VEGFR2.R.V_GBL9026347	1
XIAP.R.C_GBL9026296	1
XRCC1.R.C_GBL9026297	0
YAP.R.V_GBL9026298	1
YAP_pS127.R.C_GBL9026299	1
YB.1.R.V_GBL9026332	1
YB.1_pS102.R.V_GBL9026333	1
