ID1	ID2	Symbols	Sites	Effect
Akt (phospho.Thr308)	Akt_pT308	AKT2	T308	a
Akt (phospho.Thr308)	Akt_pT308	AKT3	T308	a
AKT_pS308_RS00269150	AKTpS308	AKT1	S308	a
AKT_pS308_RS00269150	AKTpS308	AKT2	S308	a
AKT_pS308_RS00269150	AKTpS308	AKT3	S308	a
Akt_pS473.R.V_GBL9026175	AKTpS473	AKT1	S473	a
Akt_pS473.R.V_GBL9026175	AKTpS473	AKT2	S474	a
Akt_pS473.R.V_GBL9026175	AKTpS473	AKT3	S472	a
AKT_pS473_RS00269149	AKTpS473	AKT1	S473	a
AKT_pS473_RS00275811	AKTpS473	AKT1	S473	a
Akt_pS473.R.V_GBL1033793	AktpS473	AKT1	S473	a
Akt_pS473.R.V_GBL1113186	AktpS473	AKT1	S473	a
Akt_pS473.R.V_GBL1114876	AktpS473	AKT1	S473	a
Akt_pS473.R.V_GBL.9013808	AktpS473	AKT1	S473	a
AKT_pS473(V)_GBL9008597	AKTpS473	AKT1	S473	a
AKT_pS473_RS00269149	AKTpS473	AKT2	S473	a
AKT_pS473_RS00275811	AKTpS473	AKT2	S473	a
Akt_pS473.R.V_GBL1033793	AktpS473	AKT2	S473	a
Akt_pS473.R.V_GBL1113186	AktpS473	AKT2	S473	a
Akt_pS473.R.V_GBL1114876	AktpS473	AKT2	S473	a
Akt_pS473.R.V_GBL.9013808	AktpS473	AKT2	S473	a
AKT_pS473(V)_GBL9008597	AKTpS473	AKT2	S473	a
AKT_pS473_RS00269149	AKTpS473	AKT3	S473	a
AKT_pS473_RS00275811	AKTpS473	AKT3	S473	a
Akt_pS473.R.V_GBL1033793	AktpS473	AKT3	S473	a
Akt_pS473.R.V_GBL1113186	AktpS473	AKT3	S473	a
Akt_pS473.R.V_GBL1114876	AktpS473	AKT3	S473	a
Akt_pS473.R.V_GBL.9013808	AktpS473	AKT3	S473	a
AKT_pS473(V)_GBL9008597	AKTpS473	AKT3	S473	a
Akt_pT308.R.V_GBL9026176	AKTpT308	AKT1	T308	a
Akt_pT308.R.V_GBL9026176	AKTpT308	AKT2	T309	a
Akt_pT308.R.V_GBL9026176	AKTpT308	AKT3	T305	a
AKT_pT308_RS00275813	AKTpT308	AKT1	T308	a
Akt_pT308.R.V_GBL1033851	AktpT308	AKT1	T308	a
Akt_pT308.R.V_GBL1113312	AktpT308	AKT1	T308	a
Akt_pT308.R.V_GBL1114967	AktpT308	AKT1	T308	a
Akt_pT308.R.V_GBL.9013809	AktpT308	AKT1	T308	a
AKT_pT308(V)_GBL9008599	AKTpT308	AKT1	T308	a
AKT_pT308_RS00275813	AKTpT308	AKT2	T308	a
Akt_pT308.R.V_GBL1033851	AktpT308	AKT2	T308	a
Akt_pT308.R.V_GBL1113312	AktpT308	AKT2	T308	a
Akt_pT308.R.V_GBL1114967	AktpT308	AKT2	T308	a
Akt_pT308.R.V_GBL.9013809	AktpT308	AKT2	T308	a
AKT_pT308(V)_GBL9008599	AKTpT308	AKT2	T308	a
alpha.Catenin.M.V_GBL.9012880	alphaCatenin	CTNNA1		c
Total AMPK ALPHA	AMPKa	PRKAA1		c
Total AMPK ALPHA	AMPKa	PRKAA2		c
AMPK_alpha.R.C_GBL9026177	AMPKa	PRKAA1		c
AMPK_alpha.R.C_GBL9026177	AMPKa	PRKAA2		c
AMPK.A_RS00276030	AMPKA	PRKAA1		c
AMPKa_RS00273428	AMPKa	PRKAA1		c
AMPKa.R.C_GBL1114856	AMPKa	PRKAA1		c
AMPKa(C )_GBL9007913	AMPKa	PRKAA1		c
AMPK.A_RS00276030	AMPKA	PRKAA2		c
AMPKa_RS00273428	AMPKa	PRKAA2		c
AMPKa.R.C_GBL1114856	AMPKa	PRKAA2		c
AMPKa(C )_GBL9007913	AMPKa	PRKAA2		c
AMPK alpha (phospho.Thr172)	AMPKa_pT172	PRKAA1	T172	a
AMPK alpha (phospho.Thr172)	AMPKa_pT172	PRKAA2	T172	a
AMPK_alpha.R.C_GBL.9013810	AMPKalpha	PRKAA1		c
AMPK.alpha.R.C_GBL1033675	AMPKalpha	PRKAA1		c
AMPK.alpha.R.C_GBL1113154	AMPKalpha	PRKAA1		c
AMPK.alpha_pT172.R.V_GBL1033676	AMPKalphapT172	PRKAA1	T172	a
AMPK.alpha_pT172.R.V_GBL1113155	AMPKalphapT172	PRKAA1	T172	a
AMPK_alpha.R.C_GBL.9013810	AMPKalpha	PRKAA2		c
AMPK.alpha.R.C_GBL1033675	AMPKalpha	PRKAA2		c
AMPK.alpha.R.C_GBL1113154	AMPKalpha	PRKAA2		c
AMPK.alpha_pT172.R.V_GBL1033676	AMPKalphapT172	PRKAA2	T172	a
AMPK.alpha_pT172.R.V_GBL1113155	AMPKalphapT172	PRKAA2	T172	a
AMPK_pT172.R.V_GBL9026178	AMPKapT172	PRKAA1	T172|S172	a
AMPK_pT172.R.V_GBL9026178	AMPKapT172	PRKAA2	T172|S172	a
AMPKa_pT172_RS00273427	AMPKapT172	PRKAA1	T172	a
AMPKa_pT172.R.V_GBL1114859	AMPKapT172	PRKAA1	T172	a
AMPK.A_pT272_RS00276029	AMPKApT272	PRKAA1	T272	a
AMPK_pT172.R.V_GBL.9013811	AMPKpT172	PRKAA1	T172	a
AMPK_pT172(V)_GBL9007911	AMPKpT172	PRKAA1	T172	a
AMPKa_pT172_RS00273427	AMPKapT172	PRKAA2	T172	a
AMPKa_pT172.R.V_GBL1114859	AMPKapT172	PRKAA2	T172	a
AMPK.A_pT272_RS00276029	AMPKApT272	PRKAA2	T272	a
AMPK_pT172.R.V_GBL.9013811	AMPKpT172	PRKAA2	T172	a
AMPK_pT172(V)_GBL9007911	AMPKpT172	PRKAA2	T172	a
Annexin_GBL9008513	Annexin	ANXA1		c
Annexin_I.R.V_GBL9026179	AnnexinI	ANXA1		c
Annexin_I.R.V_GBL.9013812	AnnexinI	ANXA1		c
Annexin.I.M.V_GBL1033912	AnnexinI	ANXA1		c
Annexin.I.M.V_GBL1113376	AnnexinI	ANXA1		c
Annexin.I.M.V_GBL1115055	AnnexinI	ANXA1		c
Annexin.VII.M.V_GBL1033907	AnnexinVII	ANXA1		c
Annexin.VII.M.V_GBL1113371	AnnexinVII	ANXA1		c
Annexin.VII.M.V_GBL1115050	AnnexinVII	ANXA1		c
AR.R.V_GBL9026335	AR	AR		c
AR_RS00273605	AR	AR		c
AR_RS00275696	AR	AR		c
AR.R.V_GBL1033738	AR	AR		c
AR.R.V_GBL1113229	AR	AR		c
AR.R.V_GBL1115200	AR	AR		c
AR.R.V_GBL.9013813	AR	AR		c
AR(AR441)(mouse)_GBL9008523	AR	AR		c
AR(C19)_GBL9008565	AR	AR		c
AR(N20)_GBL9008524	AR	AR		c
AR(N20)_GBL9008580	AR	AR		c
AR(V)_GBL9007914	AR	AR		c
A.Raf.R.V_GBL1033858	ARaf	ARAF		c
A.Raf.R.V_GBL1113319	ARaf	ARAF		c
A.Raf.R.V_GBL1114978	ARaf	ARAF		c
A.RAF_pS299_GBL9008341	ARAFpS299	ARAF	S299	a
A.Raf_pS299.R.C_GBL1115225	ARafpS299	ARAF	S299	a
ARHI.M.C_GBL1033929	ARHI	DIRAS3 		c
ARHI.M.C_GBL1113379	ARHI	DIRAS3 		c
ARHI.M.C_GBL1115171	ARHI	DIRAS3 		c
ARID1A.R.C_GBL1115009	ARID1A	ARID1A		c
ASNS_GBL9008566	ASNS	ASNS		c
ATM_GBL9008598	ATM	ATM		c
ATM_RS00275792	ATM	ATM		c
ATM.R.V_GBL1033874	ATM	ATM		c
ATM.R.V_GBL1113335	ATM	ATM		c
ATM.R.V_GBL1115001	ATM	ATM		c
ATM.R_GBL.9013814	ATM	ATM		c
ATM_pS1981_RS00276380 (mouse)	ATMpS1981	ATM	S1981	a
ATM_pS1981_RS00276600 (mouse) (1_4000)	ATMpS1981	ATM	S1981	a
ATM_pS1981.R.V_GBL1033875	ATMpS1981	ATM	S1981	a
ATM_pS1981.R.V_GBL1113336	ATMpS1981	ATM	S1981	a
ATM_pS1981.wR.V_GBL1115133	ATMpS1981	ATM	S1981	a
ATM_pS1981(mouse)(V)_GBL9007888	ATMpS1981	ATM	S1981	a
ATP5A.M.C_GBL1115060	ATP5A	ATP5A1		c
ATP5H.M.C_GBL1033913	ATP5H	ATP5H		c
ATP5H.M.C_GBL1113414	ATP5H	ATP5H		c
ATP5H.M.C_GBL1115057	ATP5H	ATP5H		c
ATR_GBL9008404	ATR	ATR		c
ATR_RS00276594	ATR	ATR		c
ATR.R.C_GBL1033779	ATR	ATR		c
ATR.R.C_GBL1113256	ATR	ATR		c
ATR.wR.C_GBL1115116	ATR	ATR		c
ATRIP_GBL9008406	ATRIP	ATRIP		c
ATRIP_RS00275795	ATRIP	ATRIP		c
ATR_pS428_GBL9008405	ATRpS428	ATR	S428	a
ATR_pS428_RS00275794	ATRpS428	ATR	S428	a
a.Tubulin_GBL9008350	aTubulin	TUBA1A		c
Aurora A (phospho.Thr288)	AuroraA_pT288	AURKA	T288	a
Aurora.B.wR.V_GBL1115238	AuroraB	AURKB		c
b.Actin	b.Actin	AURKB		c
b.Actin.R.C_GBL1115228	bActin	AURKA		c
Bad (phospho.Ser112)	Bad_pS112	BAD	S112	i
Bad_pS112.R.V_GBL9026336	BadpS112	BAD	S112|S118	a
Bad_pS112.R.V_GBL1033677	BadpS112	BAD	S112	a
Bad_pS112.R.V_GBL1113156	BadpS112	BAD	S112	a
Bad_pS112.R.V_GBL1114860	BadpS112	BAD	S112	a
BAD_pS112(C)_GBL9007892	BADpS112	BAD	S112	a
Bak.R.C_GBL9026182	Bak	BAK1		c
Bak.R.C_GBL1033678	Bak	BAK1		c
Bak.R.C_GBL1113416	Bak	BAK1		c
Bak.wR.C_GBL1115097	Bak	BAK1		c
Bak.R.C_GBL.9013815	Bak	BAK1		c
BAK(C)_GBL9007893	BAK	BAK1		c
BAP1.M.V_GBL1033930	BAP1	BAP1		c
BAP1.M.V_GBL1113396	BAP1	BAP1		c
BAP1.M.V_GBL1115082	BAP1	BAP1		c
Bax	Bax	BAX		c
Bax.R.V_GBL9026183	Bax	BAX		c
Bax.R.V_GBL1033679	Bax	BAX		c
Bax.R.V_GBL1113158	Bax	BAX		c
Bax.R.V_GBL1114861	Bax	BAX		c
Bax.R.V_GBL.9013816	Bax	BAX		c
BAX(C)_GBL9007894	BAX	BAX		c
beta.Catenin	bCatenin	CTNNB1		c
beta.Catenin.R.V_GBL9026194	bCatenin	CTNNB1		c
B.Catenin_RS00273592	BCatenin	CTNNB1		c
B.Catenin_RS00275590	BCatenin	CTNNB1		c
b.Catenin.R.V_GBL1033680	bCatenin	CTNNB1		c
b.Catenin.R.V_GBL1113159	bCatenin	CTNNB1		c
b.Catenin.R.V_GBL1114862	bCatenin	CTNNB1		c
b.Catenin(V)_GBL9008600	bCatenin	CTNNB1		c
B.Catenin_pS33_RS00273497	BCateninpS33	CTNNB1	S33	i
b.Catenin_pT41_S45.R.V_GBL1033855	bCateninpT41S45	CTNNB1	T41|S45	a
b.Catenin_pT41_S45.R.V_GBL1113316	bCateninpT41S45	CTNNB1	T41|S45	a
b.Catenin_pT41_S45.wR.V_GBL1115129	bCateninpT41S45	CTNNB1	T41|S45	a
Bcl.2	Bcl2	BCL2		c
Bcl.2.M.V_GBL9026303	Bcl2	BCL2		c
Bcl.2.M.V_GBL.9012878	Bcl2	BCL2		c
BCL2_RS00273415 (MOUSE)	BCL2	BCL2		c
BCl2_RS00276603 (mouse)	BCl2	BCL2		c
Bcl2.M.V_GBL1033931	Bcl2	BCL2		c
Bcl2.M.V_GBL1113381	Bcl2	BCL2		c
Bcl2.M.V_GBL1115070	Bcl2	BCL2		c
BCl2(C)_GBL9007916	BCl2	BCL2		c
BCl2(mouse)(V)_GBL9007872	BCl2	BCL2		c
Bcl2A1.R.V_GBL1114992	Bcl2A1	BCL2A1		c
BCl2_pS70_GBL9008319	BCl2pS70	BCL2	S70	a
Bcl2.R.S_GBL1113364	Bcl2RS	BCL2RS		c
Bcl.X.R.C_GBL9026338	BclX	BCL2L1		c
BCl.X(C)_GBL9007895	BClX	BCL2L1		c
Bcl.X.R.V_GBL.9012872	BclX	BCL2L1		c
Bcl.xL.R.V_GBL9026339	BclxL	BCL2L1		c
Bcl.xL.R.V_GBL1033682	BclxL	BCL2L1		c
Bcl.xL.R.V_GBL1113160	BclxL	BCL2L1		c
Bcl.xL.wR.V_GBL1115099	BclxL	BCL2L1		c
BCl.XL(C)_GBL9007896	BClXL	BCL2L1		c
Bcl.xL.R.V_GBL.9013819	BclxL	BCL2L1		c
Beclin.G.V_GBL9026330	Beclin	BCL2L1		c
Beclin.G.C_GBL1033953	Beclin	BECN1		c
Beclin.G.C_GBL1113406	Beclin	BECN1		c
Beclin.G.C_GBL1115093	Beclin	BECN1		c
Beclin.G.V_GBL.9014285	Beclin	BECN1		c
beta.Catenin.R.V_GBL.9013817	betaCatenin	CTNNB1		c
beta.Catenin.R.V_GBL.9013828	betaCatenin	CTNNB1		c
Bid.R.C_GBL9026340	Bid	BID		c
Bid	Bid	BID		c
Bid.R.C_GBL1033683	Bid	BID		c
Bid.R.C_GBL1113161	Bid	BID		c
Bid.wR.C_GBL1115100	Bid	BID		c
Bid.R.C_GBL.9013820	Bid	BID		c
Bim	Bim	BCL2L11		c
Bim.R.V_GBL9026351	Bim	BCL2L11		c
BIM_RS00273727	BIM	BCL2L11		c
BIM_RS00276021	BIM	BCL2L11		c
Bim.R.V_GBL1033684	Bim	BCL2L11		c
Bim.R.V_GBL1113162	Bim	BCL2L11		c
Bim.R.V_GBL1114863	Bim	BCL2L11		c
Bim.R.V_GBL.9013821	Bim	BCL2L11		c
BIM(V))_GBL9008601	BIM	BCL2L11		c
BOP1(N16)_GBL9008583	BOP1	BOP1		c
B.Raf.M.C_GBL1033932	BRaf	BRAF		c
B.Raf.M.C_GBL1113382	BRaf	BRAF		c
B.Raf.R.V_GBL1114864	BRaf	BRAF		c
b.RAF(mouse)_GBL9008385	bRAF	BRAF		c
b.RAF(mouse)(V)_GBL9007887	bRAF	BRAF		c
B.Raf.M.DNU_GBL.9012898	BRafMDNU	BRAF		c
B.Raf.M.DNU_GBL.9014280	BRafMDNU	BRAF		c
b.RAF_pS445_GBL9008382	bRAFpS445	BRAF	S445	a
B.Raf_pS445.R.V_GBL1033685	BRafpS445	BRAF	S445	a
B.Raf_pS445.R.V_GBL1113180	BRafpS445	BRAF	S445	a
B.Raf_pS445.R.V_GBL1114878	BRafpS445	BRAF	S445	a
BRCA1_RS00273571	BRCA1	BRCA1		c
BRCA2_RS00275700	BRCA2	BRCA2		c
BRCA2.R.C_GBL1033740	BRCA2	BRCA2		c
BRCA2.R.C_GBL1113231	BRCA2	BRCA2		c
BRCA2(C )_GBL9008400	BRCA2	BRCA2		c
c.Abl.R.V_GBL1115011	cAbl	ABL1		c
Casein Kinase 1.Epsillon(mouse)_GBL9008363	Casein Kinase 1Epsillon	CSNK1E		c
CASK(mouse)_GBL9008353	CASK	CASK		c
Caspase.3_active.R.C_GBL9026352	Casp3ac	CASP3		a
Caspase.7_cleavedD198.R.C_GBL9026353	Casp7clD198	CASP7		a
Caspase.9_cleavedD330.R.C_GBL9026193	Casp9clD330	CASP9		a
Caspase 3_RS00273572	Caspase 3	CASP3		c
Caspase 3_RS00275709 (better)	Caspase 3	CASP3		c
Caspase 3_RS00275860	Caspase 3	CASP3		c
Caspase 7_RS00273726	Caspase 7	CASP7		c
Caspase 7_RS00275470	Caspase 7	CASP7		c
Caspase 7_RS00276020	Caspase 7	CASP7		c
Caspase.3.R.C_GBL1114866	Caspase3	CASP3		c
Caspase.3(Active)(C )_GBL9008562	Caspase3	CASP3		a
Caspase 3 (cleaved.Asp175)	Caspase3(cleavedAsp175)	CASP3		a
Caspase.3_active.R.C_GBL.9013825	Caspase3active	CASP3		a
Caspase.7(cleaved)(C)_GBL9007918	Caspase7	CASP7		a
Caspase.7.cleaved.R.C_GBL1033686	Caspase7cleaved	CASP7		a
Caspase.7.cleaved.R.C_GBL1113164	Caspase7cleaved	CASP7		a
Caspase.7.cleaved.R.C_GBL1114867	Caspase7cleaved	CASP7		a
Caspase.7_cleavedD198.R.C_GBL.9013826	Caspase7cleavedD198	CASP7		a
Caspase.8.M.Q_GBL1115045	Caspase8	CASP8		a
Caspase.8.M.QC_GBL1033903	Caspase8	CASP8		c
Caspase.8.M.QC_GBL1113363	Caspase8	CASP8		c
Caspase.8(mouse)_GBL9008354	Caspase8	CASP8		c
Caspase.8.M.C_GBL.9012879	Caspase8	CASP8		c
Caspase.9_GBL9008548	Caspase9	CASP9		c
Caspase.9.cleaved.R.C_GBL1115222	Caspase9cleaved	CASP9		a
Caspase.9_cleavedD330.R.C_GBL.9013827	Caspase9cleavedD330	CASP9		a
Catenin.alpha(mouse)_GBL9008376	Cateninalpha	CTNNA1		c
Caveolin_RS00273722	Caveolin	CAV1		c
Caveolin_RS00276017	Caveolin	CAV1		c
Caveolin.1.R.V_GBL9026195	Caveolin1	CAV1		c
Caveolin.1.R.V_GBL1033687	Caveolin1	CAV1		c
Caveolin.1.R.V_GBL1113165	Caveolin1	CAV1		c
Caveolin.1.R.V_GBL1114868	Caveolin1	CAV1		c
Caveolin.1(V)_GBL9008603	Caveolin1	CAV1		c
Caveolin.1.R.V_GBL.9013829	Caveolin1	CAV1		c
CD20(C )_GBL90085557	CD20	MS4A1		c
CD20(C)_GBL9008604	CD20	MS4A1		c
CD26.R.V_GBL1114995	CD26	DPP4		c
CD29.M.V_GBL1033911	CD29	DPP4		c
CD29.M.V_GBL1113413	CD29	DPP4		c
CD29.M.V_GBL1115054	CD29	DPP4		c
CD31.M.V_GBL9026349	CD31	PECAM1		c
CD31_RS00273758 (MOUSE)	CD31	PECAM1		c
CD31_RS00276604 (mouse)	CD31	PECAM1		c
CD31.M.V_GBL1033933	CD31	PECAM1		c
CD31.M.V_GBL1113383	CD31	PECAM1		c
CD31.wM.V_GBL1115138	CD31	PECAM1		c
CD31.M.V_GBL.9012881	CD31	PECAM1		c
CD31(mouse)(V)_GBL9007873	CD31	PECAM1		c
CD44.M.C_GBL1115173	CD44	CD44		c
CD49.M.V_GBL.9012882	CD49	ITGA2		c
CD49b.M.V_GBL1033902	CD49b	ITGA2		c
CD49b.M.V_GBL1113362	CD49b	ITGA2		c
CD49b.wM.V_GBL1115137	CD49b	ITGA2		c
CD49b(mouse)_GBL9008351	CD49b	ITGA2		c
CDC2(mouse)_GBL9008375	CDC2	CDC2		c
CDC2.p34.M.V_GBL1115091	CDC2p34	CDC2		c
CDK1.R.V_GBL9026196	CDK1	CDC2		c
CDK1.R.V_GBL1033788	CDK1	CDK1		c
CDK1.R.V_GBL1113265	CDK1	CDK1		c
CDK1.R.V_GBL1114937	CDK1	CDK1		c
CDK1.R.V_GBL.9012883	CDK1	CDK1		c
CDK1.R.V_GBL.9013830	CDK1	CDK1		c
CDK1(mouse)_GBL9008515	CDK1	CDK1		c
CDK1 (p34cdc2) (phospho.Thr161)	CDK1_pT161	CDK1	T161	a
CDK1 (p34cdc2) (phospho.Tyr15)	CDK1_pY15	CDK1	Y15	i
CDK4	CDK4	CDK4		c
Chk1.R.C_GBL9026197	Chk1	CHEK1		c
CHK1_GBL9008605	CHK1	CHEK1		c
CHK1_RS00275796	CHK1	CHEK1		c
Chk1.M.C_GBL1033910	Chk1	CHEK1		c
Chk1.M.C_GBL1113374	Chk1	CHEK1		c
Chk1.M.C_GBL1115053	Chk1	CHEK1		c
Chk1.R.C_GBL.9013831	Chk1	CHEK1		c
CHK1(mouse)_GBL9008345	CHK1	CHEK1		c
Chk1_pS296.R.V_GBL1114999	Chk1pS296	CHEK1	S296	a
Chk1_pS345.R.C_GBL9026198	Chk1pS345	CHEK1	S345	a
CHK1_pS345_GBL9008407	CHK1pS345	CHEK1	S345	a
CHK1_pS345_RS00275797	CHK1pS345	CHEK1	S345	a
Chk1_pS345.R.C_GBL1033780	Chk1pS345	CHEK1	S345	a
Chk1_pS345.R.C_GBL1113257	Chk1pS345	CHEK1	S345	a
Chk1_pS345.wR.C_GBL1115117	Chk1pS345	CHEK1	S345	a
