abname2	TS	abname	spCorr	p_val
MSH6.R.C_GBL9026238	11.60665219	MSH6.R.C_GBL9026238	-0.878787875	0.000813862
X4E.BP1.R.V_GBL9026169	11.51617708	X4E.BP1.R.V_GBL9026169	-0.212121218	0.556305763
CD31.M.V_GBL9026349	11.39973884	CD31.M.V_GBL9026349	-0.612121224	0.059972136
EGFR.CST2232..R.C_GBL9026334	11.26555255	EGFR.CST2232..R.C_GBL9026334	-0.600000024	0.066687986
Caspase.3_active.R.C_GBL9026352	10.07024894	Caspase.3_active.R.C_GBL9026352	0.200000003	0.579583994
Bcl.X.R.C_GBL9026338	10.0701058	Bcl.X.R.C_GBL9026338	-0.793939412	0.006099921
Bax.R.V_GBL9026183	8.977874768	Bax.R.V_GBL9026183	-0.551515162	0.098401169
HER3.R.V_GBL9026224	8.230506684	HER3.R.V_GBL9026224	0.24848485	0.488776302
P.Cadherin.R.C_GBL9026342	8.060996702	P.Cadherin.R.C_GBL9026342	-0.466666669	0.173938595
Bcl.xL.R.V_GBL9026339	7.795267163	Bcl.xL.R.V_GBL9026339	-0.733333349	0.015800593
Claudin.7.R.V_GBL9026201	7.684209938	Claudin.7.R.V_GBL9026201	0.612121224	0.059972136
NF2.R.C_GBL9026243	7.59847488	NF2.R.C_GBL9026243	-0.818181813	0.003814921
PR.R.V_GBL9026272	7.2906326	PR.R.V_GBL9026272	0.648484826	0.042540137
Caspase.9_cleavedD330.R.C_GBL9026193	7.211225522	Caspase.9_cleavedD330.R.C_GBL9026193	0.054545455	0.881036181
PDK1_pS241.R.V_GBL9026258	6.32404005	PDK1_pS241.R.V_GBL9026258	-0.684848487	0.028882797
YB.1.R.V_GBL9026332	6.172327598	YB.1.R.V_GBL9026332	0.696969688	0.025096679
Rb.M.V_GBL9026323	5.871638657	Rb.M.V_GBL9026323	-0.406060606	0.244282294
Tuberin.R.C_GBL9026293	5.851758417	Tuberin.R.C_GBL9026293	0.115151517	0.751419648
Stathmin.R.V_GBL9026289	5.787471052	Stathmin.R.V_GBL9026289	-0.236363634	0.510885321
p53.R.V_GBL9026346	4.834436566	p53.R.V_GBL9026346	-0.74545455	0.013330145
beta.Catenin.R.V_GBL9026194	4.598136789	beta.Catenin.R.V_GBL9026194	-0.006060606	0.986742912
Caveolin.1.R.V_GBL9026195	4.319242681	Caveolin.1.R.V_GBL9026195	0.600000024	0.066687986
c.Kit.R.V_GBL9026344	4.240365136	c.Kit.R.V_GBL9026344	-0.781818211	0.007547004
FAK.R.C_GBL9026218	3.528943119	FAK.R.C_GBL9026218	0.030303031	0.933772956
MEK1.R.V_GBL9026234	1.095169303	MEK1.R.V_GBL9026234	-0.478787869	0.161522938
Notch3.R.C_GBL9026246	0.541070658	Notch3.R.C_GBL9026246	0.648484826	0.042540137
MEK1_pS217_S221.R.V_GBL9026345	0.390563058	MEK1_pS217_S221.R.V_GBL9026345	-0.200000003	0.579583994
c.Jun_pS73.R.C_GBL9026231	0.018026792	c.Jun_pS73.R.C_GBL9026231	-0.74545455	0.013330145
Beclin.G.V_GBL9026330	0	Beclin.G.V_GBL9026330	NaN	NaN
Chk1.R.C_GBL9026197	0	Chk1.R.C_GBL9026197	NaN	NaN
Chk1_pS345.R.C_GBL9026198	0	Chk1_pS345.R.C_GBL9026198	NaN	NaN
Chk2.M.C_GBL9026306	0	Chk2.M.C_GBL9026306	NaN	NaN
Chk2_pT68.R.C_GBL9026199	0	Chk2_pT68.R.C_GBL9026199	NaN	NaN
PARP_cleaved.M.C_GBL9026317	0	PARP_cleaved.M.C_GBL9026317	NaN	NaN
PCNA.M.V_GBL9026318	0	PCNA.M.V_GBL9026318	NaN	NaN
Smad1.R.V_GBL9026283	0	Smad1.R.V_GBL9026283	NaN	NaN
Smad3.R.V_GBL9026284	0	Smad3.R.V_GBL9026284	NaN	NaN
Smad4.M.V_GBL9026325	0	Smad4.M.V_GBL9026325	NaN	NaN
TIGAR.R.V_GBL9026292	0	TIGAR.R.V_GBL9026292	NaN	NaN
XRCC1.R.C_GBL9026297	0	XRCC1.R.C_GBL9026297	NaN	NaN
Snail.M.C_GBL9026326	-0.737563854	Snail.M.C_GBL9026326	0.793939412	0.006099921
Akt.R.V_GBL9026174	-0.982689803	Akt.R.V_GBL9026174	-0.284848481	0.425038161
AIB1.M.V_GBL9026302	-1.31307744	AIB1.M.V_GBL9026302	0.903030276	0.000343613
E.Cadherin.R.V_GBL9026188	-1.872520949	E.Cadherin.R.V_GBL9026188	0.769696951	0.009221956
FOXO3a.R.C_GBL9026219	-2.749175853	FOXO3a.R.C_GBL9026219	0.5030303	0.138333701
IGF.1R.beta.R.C_GBL9026226	-3.064766439	IGF.1R.beta.R.C_GBL9026226	0.636363626	0.047911731
p90RSK_pT359_S363.R.C_GBL9026256	-3.209387248	p90RSK_pT359_S363.R.C_GBL9026256	-0.781818211	0.007547004
VEGFR2.R.V_GBL9026347	-3.510089567	VEGFR2.R.V_GBL9026347	-0.660606086	0.037588368
mTOR_.pS2448.R.C_GBL9026240	-5.224455684	mTOR_.pS2448.R.C_GBL9026240	-0.26060605	0.467089072
PTCH.R.C_GBL9026274	-5.922053078	PTCH.R.C_GBL9026274	0.830303013	0.002940228
Src.M.V_GBL9026327	-6.745054078	Src.M.V_GBL9026327	-0.26060605	0.467089072
PKC.alpha_pS657.R.V_GBL9026271	-9.53566825	PKC.alpha_pS657.R.V_GBL9026271	-0.696969688	0.025096679
X53BP1.R.C_GBL9026171	-10.1648616	X53BP1.R.C_GBL9026171	-0.393939406	0.259997751
X14.3.3_epsilon.M.C_GBL9026348	-10.4539235	X14.3.3_epsilon.M.C_GBL9026348	-0.048632443	0.893867783
Bcl.2.M.V_GBL9026303	-10.46791174	Bcl.2.M.V_GBL9026303	-0.842424214	0.002220033
S6_pS240_S244.R.V_GBL9026282	-10.76421957	S6_pS240_S244.R.V_GBL9026282	0.018181818	0.960240419
Rad51.M.C_GBL9026321	-10.90437227	Rad51.M.C_GBL9026321	-0.600000024	0.066687986
p27.R.V_GBL9026248	-11.08241324	p27.R.V_GBL9026248	0.26060605	0.467089072
GATA3.M.V_GBL9026310	-11.12940878	GATA3.M.V_GBL9026310	0.733333349	0.015800593
PI3K.p110.alpha.R.C_GBL9026269	-11.15463081	PI3K.p110.alpha.R.C_GBL9026269	0.672727287	0.033041217
Mre11.R.C_GBL9026237	-11.23697874	Mre11.R.C_GBL9026237	-0.806060612	0.004862061
eEF2K.R.V_GBL9026209	-12.2947805	eEF2K.R.V_GBL9026209	0.15805544	0.662762301
Paxillin.R.V_GBL9026257	-12.67862139	Paxillin.R.V_GBL9026257	0.090909094	0.802771725
S6_pS235_S236.R.V_GBL9026281	-12.79960648	S6_pS235_S236.R.V_GBL9026281	0.054545455	0.881036181
Cyclin_E1.M.V_GBL9026308	-13.1840423	Cyclin_E1.M.V_GBL9026308	0.769696951	0.009221956
mTOR.R.V_GBL9026239	-13.57443226	mTOR.R.V_GBL9026239	0.018181818	0.960240419
p70S6K.R.V_GBL9026254	-13.71549419	p70S6K.R.V_GBL9026254	-0.06666667	0.854813081
Akt_pT308.R.V_GBL9026176	-13.81466494	Akt_pT308.R.V_GBL9026176	-0.660606086	0.037588368
HER2_pY1248.R.V_GBL9026223	-14.03102541	HER2_pY1248.R.V_GBL9026223	-0.769696951	0.009221956
Rad50.M.C_GBL9026320	-14.06497713	Rad50.M.C_GBL9026320	-0.212121218	0.556305763
eEF2.R.V_GBL9026208	-14.11078244	eEF2.R.V_GBL9026208	-0.345454544	0.328226514
Dvl3.R.V_GBL9026207	-14.95096206	Dvl3.R.V_GBL9026207	-0.115151517	0.751419648
Bid.R.C_GBL9026340	-15.06172122	Bid.R.C_GBL9026340	0.818181813	0.003814921
Tau.M.C_GBL9026329	-15.25257301	Tau.M.C_GBL9026329	-0.018181818	0.960240419
AMPK_alpha.R.C_GBL9026177	-15.86229049	AMPK_alpha.R.C_GBL9026177	-0.182371661	0.614067756
AMPK_pT172.R.V_GBL9026178	-16.35472786	AMPK_pT172.R.V_GBL9026178	-0.587878764	0.073877722
Bak.R.C_GBL9026182	-16.39012509	Bak.R.C_GBL9026182	-0.309090912	0.384841225
C.Raf.R.V_GBL9026278	-18.18809933	C.Raf.R.V_GBL9026278	0.272727281	0.445838327
c.Myc.R.C_GBL9026241	-18.23519293	c.Myc.R.C_GBL9026241	0.866666675	0.001173538
DJ.1.R.C_GBL9026206	-18.58779908	DJ.1.R.C_GBL9026206	-0.418181807	0.229112855
IGFBP2.R.V_GBL9026227	-19.36604455	IGFBP2.R.V_GBL9026227	0.660606086	0.037588368
CDK1.R.V_GBL9026196	-19.87639981	CDK1.R.V_GBL9026196	0.333333343	0.346593492
Syk.M.V_GBL9026328	-19.91555456	Syk.M.V_GBL9026328	0.345454544	0.328226514
ACC1.R.C_GBL9026173	-19.96315545	ACC1.R.C_GBL9026173	0.733333349	0.015800593
PI3K.p85.R.V_GBL9026270	-20.19664787	PI3K.p85.R.V_GBL9026270	-0.06666667	0.854813081
EGFR_pY1173.R.C_GBL9026212	-20.23138174	EGFR_pY1173.R.C_GBL9026212	-0.842424214	0.002220033
STAT5.alpha.R.V_GBL9026288	-21.21540072	STAT5.alpha.R.V_GBL9026288	0.551515162	0.098401169
Bim.R.V_GBL9026351	-22.06532463	Bim.R.V_GBL9026351	0.648484826	0.042540137
GSK3.alpha.beta_pS21_S9.R.V_GBL9026222	-22.31390454	GSK3.alpha.beta_pS21_S9.R.V_GBL9026222	-0.563636363	0.089724029
COX.2.R.C_GBL9026203	-22.73905495	COX.2.R.C_GBL9026203	-0.24848485	0.488776302
Caspase.7_cleavedD198.R.C_GBL9026353	-22.81999563	Caspase.7_cleavedD198.R.C_GBL9026353	0.915151536	0.000204472
alpha.Catenin.M.V_GBL9026304	-22.90921209	alpha.Catenin.M.V_GBL9026304	0.802435338	0.00521146
cIAP.R.V_GBL9026200	-23.12595817	cIAP.R.V_GBL9026200	0.563636363	0.089724029
XIAP.R.C_GBL9026296	-23.9774635	XIAP.R.C_GBL9026296	0.806060612	0.004862061
JNK2.R.C_GBL9026230	-25.72802647	JNK2.R.C_GBL9026230	0.321212113	0.365468324
EGFR_pY992.R.V_GBL9026213	-25.87251997	EGFR_pY992.R.V_GBL9026213	-0.866666675	0.001173538
MIG.6.M.V_GBL9026315	-26.21060818	MIG.6.M.V_GBL9026315	0.527272701	0.117308087
p38_MAPK.R.C_GBL9026251	-27.99258951	p38_MAPK.R.C_GBL9026251	-0.006060606	0.986742912
Akt_pS473.R.V_GBL9026175	-31.01972672	Akt_pS473.R.V_GBL9026175	-0.527272701	0.117308087
ACC_pS79.R.V_GBL9026172	-31.40910493	ACC_pS79.R.V_GBL9026172	0.381818175	0.276255342
Smac.M.V_GBL9026324	-31.65354706	Smac.M.V_GBL9026324	0.139393941	0.700931882
YB.1_pS102.R.V_GBL9026333	-32.83459615	YB.1_pS102.R.V_GBL9026333	-0.151515156	0.676065167
Cyclin_B1.R.V_GBL9026204	-33.40766701	Cyclin_B1.R.V_GBL9026204	0.951515138	2.28E-05
TFF1.R.V_GBL9026291	-36.23555239	TFF1.R.V_GBL9026291	-0.672727287	0.033041217
Rb_pS807_S811.R.V_GBL9026280	-40.44366659	Rb_pS807_S811.R.V_GBL9026280	-0.030303031	0.933772956
Bad_pS112.R.V_GBL9026336	-41.28490695	Bad_pS112.R.V_GBL9026336	-0.127272725	0.726057019
EGFR_pY1068.R.V_GBL9026211	-43.43628291	EGFR_pY1068.R.V_GBL9026211	-0.551515162	0.098401169
YAP_pS127.R.C_GBL9026299	-44.13366778	YAP_pS127.R.C_GBL9026299	0.442424238	0.200422692
p70S6K_pT389.R.V_GBL9026255	-45.26158592	p70S6K_pT389.R.V_GBL9026255	0.042424243	0.907363817
C.Raf_pS338.R.C_GBL9026279	-48.75190576	C.Raf_pS338.R.C_GBL9026279	-0.042424243	0.907363817
p38_pT180_Y182.R.V_GBL9026252	-49.44417937	p38_pT180_Y182.R.V_GBL9026252	0.054545455	0.881036181
PRAS40_pT246.R.V_GBL9026273	-51.01085656	PRAS40_pT246.R.V_GBL9026273	0.575757563	0.081552823
GSK3_pS9.R.V_GBL9026221	-53.61917503	GSK3_pS9.R.V_GBL9026221	-0.430303037	0.214492324
ER.alpha_pS118.R.V_GBL9026217	-58.43623218	ER.alpha_pS118.R.V_GBL9026217	0.018181818	0.960240419
p21.R.C_GBL9026247	-59.92360406	p21.R.C_GBL9026247	0.842424214	0.002220033
X4E.BP1_pS65.R.V_GBL9026170	-60.48814332	X4E.BP1_pS65.R.V_GBL9026170	0.381818175	0.276255342
NF.kB.p65_pS536.R.C_GBL9026242	-65.27423319	NF.kB.p65_pS536.R.C_GBL9026242	0.139393941	0.700931882
STAT3_pY705.R.V_GBL9026287	-70.77539206	STAT3_pY705.R.V_GBL9026287	-0.393939406	0.259997751
Src_pY527.R.V_GBL9026286	-80.67883506	Src_pY527.R.V_GBL9026286	0.733333349	0.015800593
