abname2	TS	abname	spCorr	p_val
K.Ras.M.C_GBL9026322	5.208962569	K.Ras.M.C_GBL9026322	-0.4909091	0.149655665
p38_MAPK.R.C_GBL9026251	5.02580221	p38_MAPK.R.C_GBL9026251	-0.890909076	0.000542145
YAP_pS127.R.C_GBL9026299	5.023505007	YAP_pS127.R.C_GBL9026299	-0.74545455	0.013330145
HER3.R.V_GBL9026224	4.102492867	HER3.R.V_GBL9026224	-0.175757572	0.627188352
Smac.M.V_GBL9026324	3.898589482	Smac.M.V_GBL9026324	-0.357575744	0.310376111
Collagen_VI.R.V_GBL9026202	3.859904301	Collagen_VI.R.V_GBL9026202	-0.284848481	0.425038161
Rad51.M.C_GBL9026321	3.789821607	Rad51.M.C_GBL9026321	-0.74545455	0.013330145
HER2.M.V_GBL9026313	3.754374851	HER2.M.V_GBL9026313	-0.042424243	0.907363817
MAPK_pT202_Y204.R.V_GBL9026233	3.642226826	MAPK_pT202_Y204.R.V_GBL9026233	-0.369696975	0.293050068
c.Kit.R.V_GBL9026344	3.25035021	c.Kit.R.V_GBL9026344	0.430303037	0.214492324
IGFBP2.R.V_GBL9026227	2.931515827	IGFBP2.R.V_GBL9026227	-0.030303031	0.933772956
ER.alpha_pS118.R.V_GBL9026217	2.885949602	ER.alpha_pS118.R.V_GBL9026217	-0.527272701	0.117308087
ERCC1.M.C_GBL9026309	2.443041516	ERCC1.M.C_GBL9026309	-0.291794658	0.413326608
Tau.M.C_GBL9026329	2.305646446	Tau.M.C_GBL9026329	0.696969688	0.025096679
X4E.BP1_pS65.R.V_GBL9026170	1.975330907	X4E.BP1_pS65.R.V_GBL9026170	-0.575757563	0.081552823
Cyclin_B1.R.V_GBL9026204	1.941454949	Cyclin_B1.R.V_GBL9026204	-0.369696975	0.293050068
PI3K.p85.R.V_GBL9026270	1.891508348	PI3K.p85.R.V_GBL9026270	-0.648484826	0.042540137
CDK1.R.V_GBL9026196	1.796489154	CDK1.R.V_GBL9026196	-0.674775183	0.032311798
IRS1.R.V_GBL9026228	1.730938782	IRS1.R.V_GBL9026228	0.236363634	0.510885321
ACC1.R.C_GBL9026173	1.68701093	ACC1.R.C_GBL9026173	-0.696969688	0.025096679
Syk.M.V_GBL9026328	1.570934031	Syk.M.V_GBL9026328	-0.587878764	0.073877722
N.Cadherin.R.V_GBL9026341	1.531135414	N.Cadherin.R.V_GBL9026341	-0.206687883	0.566695142
p21.R.C_GBL9026247	1.347860784	p21.R.C_GBL9026247	0.430303037	0.214492324
c.Jun_pS73.R.C_GBL9026231	1.124249887	c.Jun_pS73.R.C_GBL9026231	-0.793939412	0.006099921
Caspase.9_cleavedD330.R.C_GBL9026193	0.995872466	Caspase.9_cleavedD330.R.C_GBL9026193	0.721212149	0.018573148
Caspase.3_active.R.C_GBL9026352	0.879031106	Caspase.3_active.R.C_GBL9026352	0.115151517	0.751419648
HER3_pY1298.R.C_GBL9026225	0.825349125	HER3_pY1298.R.C_GBL9026225	-0.018181818	0.960240419
mTOR_.pS2448.R.C_GBL9026240	0.396501524	mTOR_.pS2448.R.C_GBL9026240	0.030303031	0.933772956
Src_pY527.R.V_GBL9026286	0.33440541	Src_pY527.R.V_GBL9026286	-0.224242419	0.533400571
Beclin.G.V_GBL9026330	0	Beclin.G.V_GBL9026330	NaN	NaN
Chk1.R.C_GBL9026197	0	Chk1.R.C_GBL9026197	NaN	NaN
Chk1_pS345.R.C_GBL9026198	0	Chk1_pS345.R.C_GBL9026198	NaN	NaN
Chk2.M.C_GBL9026306	0	Chk2.M.C_GBL9026306	NaN	NaN
Chk2_pT68.R.C_GBL9026199	0	Chk2_pT68.R.C_GBL9026199	NaN	NaN
PARP_cleaved.M.C_GBL9026317	0	PARP_cleaved.M.C_GBL9026317	NaN	NaN
PCNA.M.V_GBL9026318	0	PCNA.M.V_GBL9026318	NaN	NaN
Smad1.R.V_GBL9026283	0	Smad1.R.V_GBL9026283	NaN	NaN
Smad3.R.V_GBL9026284	0	Smad3.R.V_GBL9026284	NaN	NaN
Smad4.M.V_GBL9026325	0	Smad4.M.V_GBL9026325	NaN	NaN
TIGAR.R.V_GBL9026292	0	TIGAR.R.V_GBL9026292	NaN	NaN
XRCC1.R.C_GBL9026297	0	XRCC1.R.C_GBL9026297	NaN	NaN
Claudin.7.R.V_GBL9026201	-0.113003087	Claudin.7.R.V_GBL9026201	-0.5030303	0.138333701
PR.R.V_GBL9026272	-0.161834939	PR.R.V_GBL9026272	-0.563636363	0.089724029
COX.2.R.C_GBL9026203	-0.280043993	COX.2.R.C_GBL9026203	-0.575757563	0.081552823
cIAP.R.V_GBL9026200	-0.546807546	cIAP.R.V_GBL9026200	-0.660606086	0.037588368
X14.3.3_epsilon.M.C_GBL9026348	-0.783013981	X14.3.3_epsilon.M.C_GBL9026348	-0.018181818	0.960240419
Annexin_I.R.V_GBL9026179	-1.114425122	Annexin_I.R.V_GBL9026179	0.551515162	0.098401169
Bcl.2.M.V_GBL9026303	-1.114522751	Bcl.2.M.V_GBL9026303	-0.212121218	0.556305763
Rab11.R.V_GBL9026276	-1.185559193	Rab11.R.V_GBL9026276	-0.527272701	0.117308087
P.Cadherin.R.C_GBL9026342	-1.203452688	P.Cadherin.R.C_GBL9026342	-0.012158111	0.973408064
Akt.R.V_GBL9026174	-1.329304262	Akt.R.V_GBL9026174	-0.806060612	0.004862061
INPP4B.G.C_GBL9026331	-1.425903987	INPP4B.G.C_GBL9026331	0.236363634	0.510885321
Bak.R.C_GBL9026182	-1.708439119	Bak.R.C_GBL9026182	0.103030302	0.776998466
mTOR.R.V_GBL9026239	-1.878490626	mTOR.R.V_GBL9026239	0.24848485	0.488776302
GSK3.alpha.beta.M.V_GBL9026312	-1.917105637	GSK3.alpha.beta.M.V_GBL9026312	0.830303013	0.002940228
STAT5.alpha.R.V_GBL9026288	-1.99601303	STAT5.alpha.R.V_GBL9026288	-0.466666669	0.173938595
C.Raf.R.V_GBL9026278	-2.095748071	C.Raf.R.V_GBL9026278	-0.551515162	0.098401169
XIAP.R.C_GBL9026296	-2.27127749	XIAP.R.C_GBL9026296	0.175757572	0.627188352
p27_pT157.R.C_GBL9026249	-2.647310546	p27_pT157.R.C_GBL9026249	0.74545455	0.013330145
MIG.6.M.V_GBL9026315	-2.773469317	MIG.6.M.V_GBL9026315	0.466666669	0.173938595
Cyclin_D1.R.V_GBL9026205	-2.79778394	Cyclin_D1.R.V_GBL9026205	0.272727281	0.445838327
Rb_pS807_S811.R.V_GBL9026280	-2.851890849	Rb_pS807_S811.R.V_GBL9026280	-0.030303031	0.933772956
Rab25.R.C_GBL9026277	-3.349147488	Rab25.R.C_GBL9026277	0.139393941	0.700931882
AR.R.V_GBL9026335	-3.370847759	AR.R.V_GBL9026335	-0.5030303	0.138333701
p27_pT198.R.V_GBL9026250	-3.644687627	p27_pT198.R.V_GBL9026250	0.709090889	0.021665929
X4E.BP1.R.V_GBL9026169	-3.694665014	X4E.BP1.R.V_GBL9026169	0.866666675	0.001173538
FOXO3a_pS318_S321.R.C_GBL9026220	-3.965183408	FOXO3a_pS318_S321.R.C_GBL9026220	0.733333349	0.015800593
NF.kB.p65_pS536.R.C_GBL9026242	-4.077114714	NF.kB.p65_pS536.R.C_GBL9026242	-0.466666669	0.173938595
Src_pY416.R.C_GBL9026285	-4.084461674	Src_pY416.R.C_GBL9026285	0.042424243	0.907363817
Cyclin_E1.M.V_GBL9026308	-4.31258305	Cyclin_E1.M.V_GBL9026308	0.636363626	0.047911731
FOXO3a.R.C_GBL9026219	-4.409678304	FOXO3a.R.C_GBL9026219	0.212121218	0.556305763
PRAS40_pT246.R.V_GBL9026273	-4.461643643	PRAS40_pT246.R.V_GBL9026273	0.563636363	0.089724029
Stathmin.R.V_GBL9026289	-4.843297275	Stathmin.R.V_GBL9026289	-0.478787869	0.161522938
TAZ_pS89.R.C_GBL9026290	-4.881228714	TAZ_pS89.R.C_GBL9026290	0.893621147	0.000491873
Tuberin.R.C_GBL9026293	-5.345811817	Tuberin.R.C_GBL9026293	0.151515156	0.676065167
YAP.R.V_GBL9026298	-6.132734062	YAP.R.V_GBL9026298	0.042424243	0.907363817
p38_pT180_Y182.R.V_GBL9026252	-6.176017513	p38_pT180_Y182.R.V_GBL9026252	-0.018181818	0.960240419
TFF1.R.V_GBL9026291	-6.570813827	TFF1.R.V_GBL9026291	0.030303031	0.933772956
PTEN.R.V_GBL9026275	-6.801677329	PTEN.R.V_GBL9026275	0.75757575	0.011143448
CD31.M.V_GBL9026349	-8.486472247	CD31.M.V_GBL9026349	0.563636363	0.089724029
EGFR.R.C_GBL9026210	-8.502017178	EGFR.R.C_GBL9026210	0.090909094	0.802771725
S6_pS235_S236.R.V_GBL9026281	-8.603489936	S6_pS235_S236.R.V_GBL9026281	0.830303013	0.002940228
S6_pS240_S244.R.V_GBL9026282	-8.628784839	S6_pS240_S244.R.V_GBL9026282	0.75757575	0.011143448
beta.Catenin.R.V_GBL9026194	-9.072318671	beta.Catenin.R.V_GBL9026194	0.890909076	0.000542145
Bim.R.V_GBL9026351	-9.132228998	Bim.R.V_GBL9026351	0.369696975	0.293050068
E.Cadherin.R.V_GBL9026188	-9.137176993	E.Cadherin.R.V_GBL9026188	0.684848487	0.028882797
Fibronectin.R.C_GBL9026216	-9.441368186	Fibronectin.R.C_GBL9026216	0.212121218	0.556305763
IGF.1R.beta.R.C_GBL9026226	-10.16063378	IGF.1R.beta.R.C_GBL9026226	0.74545455	0.013330145
YB.1_pS102.R.V_GBL9026333	-11.01525249	YB.1_pS102.R.V_GBL9026333	0.903030276	0.000343613
alpha.Catenin.M.V_GBL9026304	-11.3047551	alpha.Catenin.M.V_GBL9026304	0.492403477	0.148230428
GATA3.M.V_GBL9026310	-11.55153988	GATA3.M.V_GBL9026310	0.284848481	0.425038161
VEGFR2.R.V_GBL9026347	-12.58892883	VEGFR2.R.V_GBL9026347	0.454545468	0.186904796
Bad_pS112.R.V_GBL9026336	-12.71864386	Bad_pS112.R.V_GBL9026336	-0.612121224	0.059972136
ER.alpha.R.V_GBL9026215	-12.86351568	ER.alpha.R.V_GBL9026215	0.236363634	0.510885321
Caspase.7_cleavedD198.R.C_GBL9026353	-13.41436299	Caspase.7_cleavedD198.R.C_GBL9026353	0.951515138	2.28E-05
VASP.R.C_GBL9026294	-13.64900049	VASP.R.C_GBL9026294	0.866666675	0.001173538
MEK1_pS217_S221.R.V_GBL9026345	-14.58250824	MEK1_pS217_S221.R.V_GBL9026345	-0.369696975	0.293050068
Paxillin.R.V_GBL9026257	-16.19726545	Paxillin.R.V_GBL9026257	-0.127272725	0.726057019
EGFR.CST2232..R.C_GBL9026334	-16.30015109	EGFR.CST2232..R.C_GBL9026334	0.600000024	0.066687986
c.Met.M.C_GBL9026314	-17.15916209	c.Met.M.C_GBL9026314	0.806060612	0.004862061
eIF4E.R.V_GBL9026214	-17.67720351	eIF4E.R.V_GBL9026214	0.709090889	0.021665929
Bcl.xL.R.V_GBL9026339	-18.23265314	Bcl.xL.R.V_GBL9026339	0.369696975	0.293050068
Snail.M.C_GBL9026326	-19.27093963	Snail.M.C_GBL9026326	-0.696969688	0.025096679
Notch3.R.C_GBL9026246	-19.31106465	Notch3.R.C_GBL9026246	0.636363626	0.047911731
Mre11.R.C_GBL9026237	-19.82094571	Mre11.R.C_GBL9026237	0.357575744	0.310376111
JNK_pT183_pT185.R.V_GBL9026343	-19.99316148	JNK_pT183_pT185.R.V_GBL9026343	0.212121218	0.556305763
Bcl.X.R.C_GBL9026338	-20.58800919	Bcl.X.R.C_GBL9026338	0.175757572	0.627188352
YB.1.R.V_GBL9026332	-21.68292299	YB.1.R.V_GBL9026332	0.781818211	0.007547004
c.Myc.R.C_GBL9026241	-21.8163063	c.Myc.R.C_GBL9026241	0.830303013	0.002940228
p27.R.V_GBL9026248	-23.44995593	p27.R.V_GBL9026248	0.75757575	0.011143448
Caveolin.1.R.V_GBL9026195	-25.89237282	Caveolin.1.R.V_GBL9026195	0.927272737	0.000112034
Src.M.V_GBL9026327	-26.32003708	Src.M.V_GBL9026327	0.951515138	2.28E-05
